[BSB | EN | OT | Job | Chapter 41 | Verse 1] “Can you pull in Leviathan with a hook or tie down his tongue with a rope?
[BSB | EN | OT | Job | Chapter 41 | Verse 2] Can you put a cord through his nose or pierce his jaw with a hook?
[BSB | EN | OT | Job | Chapter 41 | Verse 3] Will he beg you for mercy or speak to you softly?
[BSB | EN | OT | Job | Chapter 41 | Verse 4] Will he make a covenant with you to take him as a slave for life?
[BSB | EN | OT | Job | Chapter 41 | Verse 5] Can you pet him like a bird or put him on a leash for your maidens?
[BSB | EN | OT | Job | Chapter 41 | Verse 6] Will traders barter for him or divide him among the merchants?
[BSB | EN | OT | Job | Chapter 41 | Verse 7] Can you fill his hide with harpoons or his head with fishing spears?
[BSB | EN | OT | Job | Chapter 41 | Verse 8] If you lay a hand on him, you will remember the battle and never repeat it!
[BSB | EN | OT | Job | Chapter 41 | Verse 9] Surely hope of overcoming him is false. Is not the sight of him overwhelming?
[BSB | EN | OT | Job | Chapter 41 | Verse 10] No one is so fierce as to rouse Leviathan. Then who is able to stand against Me?
[BSB | EN | OT | Job | Chapter 41 | Verse 11] Who has given to Me that I should repay him? Everything under heaven is Mine.
[BSB | EN | OT | Job | Chapter 41 | Verse 12] I cannot keep silent about his limbs, his power and graceful form.
[BSB | EN | OT | Job | Chapter 41 | Verse 13] Who can strip off his outer coat? Who can approach him with a bridle?
[BSB | EN | OT | Job | Chapter 41 | Verse 14] Who can open his jaws, ringed by his fearsome teeth?
[BSB | EN | OT | Job | Chapter 41 | Verse 15] His rows of scales are his pride, tightly sealed together.
[BSB | EN | OT | Job | Chapter 41 | Verse 16] One scale is so near to another that no air can pass between them.
[BSB | EN | OT | Job | Chapter 41 | Verse 17] They are joined to one another; they clasp and cannot be separated.
[BSB | EN | OT | Job | Chapter 41 | Verse 18] His snorting flashes with light, and his eyes are like the rays of dawn.
[BSB | EN | OT | Job | Chapter 41 | Verse 19] Firebrands stream from his mouth; fiery sparks shoot forth!
[BSB | EN | OT | Job | Chapter 41 | Verse 20] Smoke billows from his nostrils as from a boiling pot over burning reeds.
[BSB | EN | OT | Job | Chapter 41 | Verse 21] His breath sets coals ablaze, and flames pour from his mouth.
[BSB | EN | OT | Job | Chapter 41 | Verse 22] Strength resides in his neck, and dismay leaps before him.
[BSB | EN | OT | Job | Chapter 41 | Verse 23] The folds of his flesh are tightly joined; they are firm and immovable.
[BSB | EN | OT | Job | Chapter 41 | Verse 24] His chest is as hard as a rock, as hard as a lower millstone!
[BSB | EN | OT | Job | Chapter 41 | Verse 25] When Leviathan rises up, the mighty are terrified; they withdraw before his thrashing.
[BSB | EN | OT | Job | Chapter 41 | Verse 26] The sword that reaches him has no effect, nor does the spear or dart or arrow.
