[BSB | EN | OT | Job | Chapter 32 | Verse 1] So these three men stopped answering Job, because he was righteous in his own eyes.
[BSB | EN | OT | Job | Chapter 32 | Verse 2] This kindled the anger of Elihu son of Barachel the Buzite, of the family of Ram. He burned with anger against Job for justifying himself rather than God,
[BSB | EN | OT | Job | Chapter 32 | Verse 3] and he burned with anger against Job’s three friends because they had failed to refute Job, and yet had condemned him.
[BSB | EN | OT | Job | Chapter 32 | Verse 4] Now Elihu had waited to speak to Job because the others were older than he.
[BSB | EN | OT | Job | Chapter 32 | Verse 5] But when he saw that the three men had no further reply, his anger was kindled.
[BSB | EN | OT | Job | Chapter 32 | Verse 6] So Elihu son of Barachel the Buzite declared: “I am young in years, while you are old; that is why I was timid and afraid to tell you what I know.
[BSB | EN | OT | Job | Chapter 32 | Verse 7] I thought that age should speak, and many years should teach wisdom.
[BSB | EN | OT | Job | Chapter 32 | Verse 8] But there is a spirit in a man, the breath of the Almighty, that gives him understanding.
[BSB | EN | OT | Job | Chapter 32 | Verse 9] It is not only the old who are wise, or the elderly who understand justice.
[BSB | EN | OT | Job | Chapter 32 | Verse 10] Therefore I say, ‘Listen to me; I too will declare what I know.’
[BSB | EN | OT | Job | Chapter 32 | Verse 11] Indeed, I waited while you spoke; I listened to your reasoning; as you searched for words,
[BSB | EN | OT | Job | Chapter 32 | Verse 12] I paid you full attention. But no one proved Job wrong; not one of you rebutted his arguments.
[BSB | EN | OT | Job | Chapter 32 | Verse 13] So do not claim, ‘We have found wisdom; let God, not man, refute him.’
[BSB | EN | OT | Job | Chapter 32 | Verse 14] But Job has not directed his words against me, and I will not answer him with your arguments.
[BSB | EN | OT | Job | Chapter 32 | Verse 15] Job’s friends are dismayed, with no more to say; words have escaped them.
[BSB | EN | OT | Job | Chapter 32 | Verse 16] Must I wait, now that they are silent, now that they stand and no longer reply?
[BSB | EN | OT | Job | Chapter 32 | Verse 17] I too will answer; yes, I will declare what I know.
[BSB | EN | OT | Job | Chapter 32 | Verse 18] For I am full of words, and my spirit within me compels me.
[BSB | EN | OT | Job | Chapter 32 | Verse 19] Behold, my belly is like unvented wine; it is about to burst like a new wineskin.
[BSB | EN | OT | Job | Chapter 32 | Verse 20] I must speak and find relief; I must open my lips and respond.
[BSB | EN | OT | Job | Chapter 32 | Verse 21] I will be partial to no one, nor will I flatter any man.
[BSB | EN | OT | Job | Chapter 32 | Verse 22] For I do not know how to flatter, or my Maker would remove me in an instant.
