[BSB | EN | OT | Job | Chapter 23 | Verse 1] Then Job answered:
[BSB | EN | OT | Job | Chapter 23 | Verse 2] “Even today my complaint is bitter. His hand is heavy despite my groaning.
[BSB | EN | OT | Job | Chapter 23 | Verse 3] If only I knew where to find Him, so that I could go to His seat.
[BSB | EN | OT | Job | Chapter 23 | Verse 4] I would plead my case before Him and fill my mouth with arguments.
[BSB | EN | OT | Job | Chapter 23 | Verse 5] I would learn how He would answer, and consider what He would say.
[BSB | EN | OT | Job | Chapter 23 | Verse 6] Would He contend with me in His great power? No, He would certainly take note of me.
[BSB | EN | OT | Job | Chapter 23 | Verse 7] Then an upright man could reason with Him, and I would be delivered forever from my Judge.
[BSB | EN | OT | Job | Chapter 23 | Verse 8] If I go east, He is not there, and if I go west, I cannot find Him.
[BSB | EN | OT | Job | Chapter 23 | Verse 9] When He is at work in the north, I cannot behold Him; when He turns to the south, I cannot see Him.
[BSB | EN | OT | Job | Chapter 23 | Verse 10] Yet He knows the way I have taken; when He has tested me, I will come forth as gold.
[BSB | EN | OT | Job | Chapter 23 | Verse 11] My feet have followed in His tracks; I have kept His way without turning aside.
[BSB | EN | OT | Job | Chapter 23 | Verse 12] I have not departed from the command of His lips; I have treasured the words of His mouth more than my daily bread.
[BSB | EN | OT | Job | Chapter 23 | Verse 13] But He is unchangeable, and who can oppose Him? He does what He desires.
[BSB | EN | OT | Job | Chapter 23 | Verse 14] For He carries out His decree against me, and He has many such plans.
[BSB | EN | OT | Job | Chapter 23 | Verse 15] Therefore I am terrified in His presence; when I consider this, I fear Him.
[BSB | EN | OT | Job | Chapter 23 | Verse 16] God has made my heart faint; the Almighty has terrified me.
[BSB | EN | OT | Job | Chapter 23 | Verse 17] Yet I am not silenced by the darkness, by the thick darkness that covers my face.
