[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 1] જેઓએ મહોર મારી તેઓ આ હતા: હખાલ્યાનો દીકરો નહેમ્યા તે આગેવાન હતો. અને સિદકિયા,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 2] સરાયા, અઝાર્યા, યર્મિયા,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 3] પાશહૂર, અમાર્યા, માલ્કિયા.
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 4] હાટ્ટુશ, શબાન્યા, માલ્લૂખ,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 5] હારીમ મરેમોથ, ઓબાદ્યા,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 6] દાનિયેલ, ગિન્નથોન, બારુખ,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 7] મશુલ્લામ, અબિયા, મીયામીન,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 8] માઝયા, બિલ્ગાય, શમાયા આ બધા યાજકો હતા.
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 9] લેવીઓ આ હતા: અઝાન્યાહનો દીકરો યેશૂઆ, હેનાદાદના કુટુંબોમાંના બિન્નૂઈ તથા કાદમીએલ,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 10] અને તેઓના સાથી લેવીઓ, શબાન્યા, હોદિયા, કેલીટા, પલાયા, હાનાન,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 11] મીખા, રહોબ, હશાબ્યા,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 12] ઝાક્કૂર, શેરેબ્યા, શબાન્યા,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 13] હોદિયા, બાની અને બનીનુ.
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 14] લોકોના આગેવાનો: પારોશ, પાહાથ-મોઆબ, એલામ, ઝાત્તૂ, બાની.
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 15] બુન્ની, આઝગાદ, બેબાય,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 16] અદોનિયા, બિગ્વાય, આદીન,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 17] આટેર, હિઝકિયા, આઝઝુર,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 18] હોદિયા, હાશુમ, બેસાય,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 19] હારીફ, અનાથોથ, નેબાય,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 20] માગ્પીઆશ, મશુલ્લામ, હેઝીર,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 21] મશેઝાબએલ, સાદોક, યાદૂઆ.
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 22] પલાટયા, હાનાન, અનાયા,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 23] હોશિયા, હનાન્યા, હાશ્શૂબ,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 24] હાલ્લોહેશ, પિલ્હા, શોબેક,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 25] રહૂમ, હશાબનાહ, માસેયા,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 26] અહિયા, હાનાન, આનાન,
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 27] માલ્લૂખ, હારીમ તથા બાનાહ.
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 28] બાકીના લોકો, યાજકો, લેવીઓ, દ્વારપાળો, ગાનારાઓ, ભક્તિસ્થાનના સેવકો અને તે દરેક જેઓ ઈશ્વરના નિયમશાસ્ત્ર પ્રમાણે પડોશી દેશોથી અલગ થયા હતા તે સર્વ તેમ જ તેઓની પત્નીઓ, તેઓના પુત્રો અને પુત્રીઓ તેઓ સર્વ પાસે જ્ઞાન અને સમજણ હતાં.
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 29] તેઓ પોતાના ભાઈઓને અને ઉમરાવોને વળગી રહ્યા, તેઓએ શાપનો સ્વીકાર કર્યો અને સાથે મળીને ઈશ્વરના નિયમ પ્રમાણે ચાલવાની પ્રતિજ્ઞા લીધી કે, ઈશ્વરના સેવક મૂસા મારફતે અપાયેલા ઈશ્વરના નિયમશાસ્ત્ર પ્રમાણે અમે યહોવાહ અમારા ઈશ્વરની આજ્ઞા, નિયમો અને વિધિઓનું પાલન કરીશું.
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 30] અમે વચન આપીએ છીએ કે, અમારી પુત્રીઓના લગ્ન દેશના અન્ય લોકો સાથે કરીશું નહિ અને અમારા પુત્રોનાં લગ્ન તેઓની પુત્રીઓ સાથે કરાવીશું નહિ.
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 31] અમે એ વચન પણ આપીએ છીએ કે, બીજા દેશના લોકો વિશ્રામવારે કંઈ માલ કે અનાજ વેચવા આવે તો તે દિવસે અથવા બીજા કોઈ પવિત્ર દિવસે અમે તેઓની પાસેથી ખરીદીશું નહિ. અને પ્રત્યેક સાતમે વર્ષે અમે અમારા બીજા યહૂદી ભાઈઓનું બધું લેણું માફ કરીશું.
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 32] અમે પોતાના ઈશ્વરના સભાસ્થાનની સેવાને માટે દર વર્ષે એક તૃતીયાંશ શેકેલ આપવાનો નિયમ સ્વીકારીએ છીએ.
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 33] વળી અર્પણ કરવાની પવિત્ર રોટલીને માટે, નિત્યના ખાદ્યાર્પણને માટે, વિશ્રામવારનાં દહનીયાર્પણો માટે, ચંદ્રદર્શનના પર્વ માટે, ઠરાવેલાં પર્વો માટે, પવિત્ર કાર્યોને માટે તથા ઇઝરાયલના માટે પ્રાયશ્ચિત કરવાને માટે પાપાર્થાર્પણોને માટે અને ઈશ્વરના ભક્તિસ્થાનના સર્વ કાર્યોને માટે આપવાનો નિયમ તેઓએ ઠરાવ્યો.
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 34] નિયમશાસ્ત્રમાં લખ્યા પ્રમાણે, અમારા ઈશ્વર યહોવાહની વેદી પર બાળવા માટે, અમારા પિતૃઓનાં કુટુંબો પ્રમાણે પ્રતિવર્ષ ઠરાવેલા ચોક્કસ સમયે અમારા ઈશ્વરના ભક્તિસ્થાનમાં લાકડાંઓના અર્પણો લાવવા માટે, અમે એટલે યાજકોએ, લેવીઓએ તથા લોકોએ વચનો આપ્યાં.
[IRV | GU | OT | Nehemiah | Chapter 10 | Verse 35] અમે પ્રતિવર્ષ, અમારા ખેતરની પ્રથમ પેદાશ અને દરેક વૃક્ષના પ્રથમ ફળો યહોવાહનાં ભક્તિસ્થાનમાં લાવવા માટે પણ વચન આપ્યાં.
