[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 1] લોકોના તમામ આગેવાનો યરુશાલેમમાં વસ્યા અને બાકીના લોકોએ એ માટે ચિઠ્ઠીઓ નાખી કે દર દસમાંથી એક માણસ પવિત્ર નગર યરુશાલેમમાં રહેવા માટે જાય. બાકીના નવ અન્ય નગરોમાં જઈને વસે.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 2] યરુશાલેમમાં રહેવા માટે જે લોકો રાજીખુશીથી આગળ આવ્યા, તે સર્વ માણસોને બાકીના લોકોએ શુભેચ્છા પાઠવી.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 3] પ્રાંતના જે આગેવાનો યરુશાલેમમાં રહ્યા તેઓ આ છે. ઇઝરાયલના લોકો, યાજકો, લેવીઓ, ભક્તિસ્થાનના સેવકો અને સુલેમાનના ચાકરોના વંશજો યહૂદિયાના નગરોમાં પોતપોતાનાં વતનમાં રહ્યા.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 4] યહૂદાના કેટલાક અને બિન્યામીનના કેટલાક વંશજો યરુશાલેમમાં વસ્યા. તેઓ આ છે. યહૂદાના વંશજોમાંના: અથાયા ઉઝિયાનો પુત્ર, ઉઝિયા ઝખાર્યાનો, ઝખાર્યા અમાર્યાનો, અમાર્યા શફાટયાનો, શફાટયા માહલાલેલનો પુત્ર અને માહલાલેલ પેરેસના વંશજોમાંનો એક હતો.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 5] અને માસેયા બારુખનો પુત્ર, બારુખ કોલ-હોઝેનો, કોલ-હોઝે હઝાયાનો, હઝાયા અદાયાનો, અદાયા યોયારીબનો, યોયારીબ ઝખાર્યાનો પુત્ર, ઝખાર્યા શીલોનીનો પુત્ર હતો.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 6] પેરેસના સર્વ વંશજો જેઓ યરુશાલેમમાં વસ્યા તેઓ ચારસો અડસઠ હતા. તેઓ સર્વ પરાક્રમી પુરુષો હતા.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 7] બિન્યામીનના વંશજો આ છે: સાલ્લૂ તે મશુલ્લામનો પુત્ર, મશુલ્લામ યોએલનો, યોએલ પદાયાનો, પદાયા કોલાયાનો, કોલાયા માસેયાનો, માસેયા ઇથીએલનો, ઇથીએલ યશાયાનો પુત્ર હતો.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 8] અને તેના પછી ગાબ્બાય અને સાલ્લાય, તેઓ નવસો અઠ્ઠાવીસ હતા.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 9] ઝિખ્રીનો પુત્ર, યોએલ, તેઓનો આગેવાન હતો. હાસ્સેનુઆનો પુત્ર યહૂદા એ નગરનો દ્વિતીય ક્રમનો અધિકારી હતો.
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 10] યાજકોમાંના યોયારીબનો પુત્ર યદાયા, યાખીન,
[IRV | GU | OT | Nehemiah | Chapter 11 | Verse 11] સરાયા તે હિલ્કિયાનો પુત્ર, હિલ્કિયા મશુલ્લામનો, મશુલ્લામ સાદોકનો, સાદોક મરાયોથનો, મરાયોથ અહિટૂબનો પુત્ર હતો. સરાયા ઈશ્વરના સભાસ્થાનનો કારભારી હતો,
