[IRV | GU | OT | Nehemiah | Chapter 7 | Verse 1] જયારે કોટનું બાંધકામ પૂરું થયું અને મેં દરવાજાઓ ઊભા કર્યા, ત્યારે દ્વારપાળો, ગાનારાઓ તથા લેવીઓની નિમણૂક કરવામાં આવી.
[IRV | GU | OT | Nehemiah | Chapter 7 | Verse 2] મેં મારા ભાઈ હનાની અને કિલ્લાના અમલદાર હનાન્યાને યરુશાલેમનો હવાલો સોંપ્યો. કારણ કે તે ઘણો વિશ્વાસુ હતો તથા બીજા બધા કરતાં ઈશ્વરથી વિશેષ ડરનારો હતો.
[IRV | GU | OT | Nehemiah | Chapter 7 | Verse 3] અને મેં તેઓને કહ્યું, “દિવસ ચઢે ત્યાં સુધી યરુશાલેમના દરવાજા ખોલવા નહિ અને જ્યારે ચોકીદારો ચોકી કરતા હોય ત્યારે તેઓએ દરવાજાનાં બારણાં બંધ રાખવાં. યરુશાલેમના રહેવાસીઓમાંથી તમારે ચોકીદારો નીમવા. દરેક જણ નિયત જગ્યાએ ચોકી કરે અને બાકીના પોતાના ઘર આગળ ચોકી કરે.”
[IRV | GU | OT | Nehemiah | Chapter 7 | Verse 4] નગર ખૂબ વિસ્તારવાળું હતું. પણ તેમાં લોકો થોડા જ હતા અને ઘરો હજુ બંધાયાં નહોતા.
[IRV | GU | OT | Nehemiah | Chapter 7 | Verse 5] મારા ઈશ્વરે મારા હૃદયમાં એવી પ્રેરણા કરી કે, ઉમરાવોને, અધિકારીઓને અને લોકોને વંશાવળી પ્રમાણે તેઓની ગણતરી કરવા માટે એકઠા કરવા. જેઓ સૌથી પહેલા આવ્યા હતા તેઓની વંશાવળીની યાદી મને મળી. તેમાં મને આ લખાણ જોવા મળ્યું કે.
[IRV | GU | OT | Nehemiah | Chapter 7 | Verse 6] “બાબિલના રાજા નબૂખાદનેસ્સાર દ્વારા જે લોકોને બંદીવાન કરીને લઈ જવામાં આવ્યા હતા, તેઓમાંના જે લોકો યહૂદિયાનાં પોતપોતાનાં નગરોમાં અને યરુશાલેમમાં પાછા આવ્યા,
[IRV | GU | OT | Nehemiah | Chapter 7 | Verse 7] એટલે ઝરુબ્બાબેલ, યેશૂઆ, નહેમ્યા, અઝાર્યા, રામ્યા, નાહમાની, મોર્દખાય, બિલ્શાન, મિસ્પરેથ, બિગ્વાય, નહૂમ તથા બાનાહની સાથે આવ્યા તેઓ આ છે. ઇઝરાયલના લોકોના પુરુષોની સંખ્યાવાર યાદી આ પ્રમાણે છે.
[IRV | GU | OT | Nehemiah | Chapter 7 | Verse 8] પારોશના વંશજો બે હજાર એકસો બોતેર,
[IRV | GU | OT | Nehemiah | Chapter 7 | Verse 9] શફાટયાના વંશજો ત્રણસો બોતેર,
[IRV | GU | OT | Nehemiah | Chapter 7 | Verse 10] આરાહના વંશજો છસો બાવન,
[IRV | GU | OT | Nehemiah | Chapter 7 | Verse 11] યેશૂઆ તથા યોઆબના વંશજોમાંના પાહાથ-મોઆબના વંશજો બે હજાર આઠસો અઢાર,
[IRV | GU | OT | Nehemiah | Chapter 7 | Verse 12] એલામના વંશજો એક હજાર બસો ચોપન,
[IRV | GU | OT | Nehemiah | Chapter 7 | Verse 13] ઝાત્તૂના વંશજો આઠસો પિસ્તાળીસ,
[IRV | GU | OT | Nehemiah | Chapter 7 | Verse 14] ઝાકકાયના વંશજો સાતસો આઠ.
[IRV | GU | OT | Nehemiah | Chapter 7 | Verse 15] બિન્નૂઈના વંશજો છસો અડતાળીસ,
[IRV | GU | OT | Nehemiah | Chapter 7 | Verse 16] બેબાયના વંશજો છસો અઠ્ઠાવીસ,
[IRV | GU | OT | Nehemiah | Chapter 7 | Verse 17] આઝગાદના વંશજો બે હજાર ત્રણસો બાવીસ,
[IRV | GU | OT | Nehemiah | Chapter 7 | Verse 18] અદોનિકામના વંશજો છસો સડસઠ.
