[WEB | EN | OT | Proverbs | Chapter 15 | Verse 1] A gentle answer turns away wrath, but a harsh word stirs up anger.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 2] The tongue of the wise commends knowledge, but the mouths of fools gush out folly.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 3] The LORD’s eyes are everywhere, keeping watch on the evil and the good.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 4] A gentle tongue is a tree of life, but deceit in it crushes the spirit.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 5] A fool despises his father’s correction, but he who heeds reproof shows prudence.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 6] In the house of the righteous is much treasure, but the income of the wicked brings trouble.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 7] The lips of the wise spread knowledge; not so with the heart of fools.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 8] The sacrifice made by the wicked is an abomination to the LORD, but the prayer of the upright is his delight.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 9] The way of the wicked is an abomination to the LORD, but he loves him who follows after righteousness.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 10] There is stern discipline for one who forsakes the way. Whoever hates reproof shall die.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 11] Sheol and Abaddon are before the LORD— how much more then the hearts of the children of men!
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 12] A scoffer doesn’t love to be reproved; he will not go to the wise.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 13] A glad heart makes a cheerful face, but an aching heart breaks the spirit.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 14] The heart of one who has understanding seeks knowledge, but the mouths of fools feed on folly.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 15] All the days of the afflicted are wretched, but one who has a cheerful heart enjoys a continual feast.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 16] Better is little, with the fear of the LORD, than great treasure with trouble.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 17] Better is a dinner of herbs, where love is, than a fattened calf with hatred.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 18] A wrathful man stirs up contention, but one who is slow to anger appeases strife.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 19] The way of the sluggard is like a thorn patch, but the path of the upright is a highway.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 20] A wise son makes a father glad, but a foolish man despises his mother.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 21] Folly is joy to one who is void of wisdom, but a man of understanding keeps his way straight.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 22] Where there is no counsel, plans fail; but in a multitude of counselors they are established.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 23] Joy comes to a man with the reply of his mouth. How good is a word at the right time!
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 24] The path of life leads upward for the wise, to keep him from going downward to Sheol.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 25] The LORD will uproot the house of the proud, but he will keep the widow’s borders intact.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 26] The LORD detests the thoughts of the wicked, but the thoughts of the pure are pleasing.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 27] He who is greedy for gain troubles his own house, but he who hates bribes will live.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 28] The heart of the righteous weighs answers, but the mouth of the wicked gushes out evil.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 29] The LORD is far from the wicked, but he hears the prayer of the righteous.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 30] The light of the eyes rejoices the heart. Good news gives health to the bones.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 31] The ear that listens to reproof lives, and will be at home among the wise.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 32] He who refuses correction despises his own soul, but he who listens to reproof gets understanding.
[WEB | EN | OT | Proverbs | Chapter 15 | Verse 33] The fear of the LORD teaches wisdom. Before honor is humility.
