[WEB | EN | OT | Proverbs | Chapter 1 | Verse 1] The proverbs of Solomon, the son of David, king of Israel:
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 2] to know wisdom and instruction; to discern the words of understanding;
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 3] to receive instruction in wise dealing, in righteousness, justice, and equity;
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 4] to give prudence to the simple, knowledge and discretion to the young man—
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 5] that the wise man may hear, and increase in learning; that the man of understanding may attain to sound counsel;
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 6] to understand a proverb and parables, the words and riddles of the wise.
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 7] The fear of the LORD is the beginning of knowledge, but the foolish despise wisdom and instruction.
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 8] My son, listen to your father’s instruction, and don’t forsake your mother’s teaching;
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 9] for they will be a garland to grace your head, and chains around your neck.
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 10] My son, if sinners entice you, don’t consent.
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 11] If they say, “Come with us. Let’s lie in wait for blood. Let’s lurk secretly for the innocent without cause.
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 12] Let’s swallow them up alive like Sheol, and whole, like those who go down into the pit.
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 13] We’ll find all valuable wealth. We’ll fill our houses with plunder.
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 14] You shall cast your lot among us. We’ll all have one purse”—
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 15] my son, don’t walk on the path with them. Keep your foot from their path,
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 16] for their feet run to evil. They hurry to shed blood.
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 17] For the net is spread in vain in the sight of any bird;
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 18] but these lay in wait for their own blood. They lurk secretly for their own lives.
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 19] So are the ways of everyone who is greedy for gain. It takes away the life of its owners.
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 20] Wisdom calls aloud in the street. She utters her voice in the public squares.
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 21] She calls at the head of noisy places. At the entrance of the city gates, she utters her words:
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 22] “How long, you simple ones, will you love simplicity? How long will mockers delight themselves in mockery, and fools hate knowledge?
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 23] Turn at my reproof. Behold, I will pour out my spirit on you. I will make known my words to you.
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 24] Because I have called, and you have refused; I have stretched out my hand, and no one has paid attention;
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 25] but you have ignored all my counsel, and wanted none of my reproof;
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 26] I also will laugh at your disaster. I will mock when calamity overtakes you,
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 27] when calamity overtakes you like a storm, when your disaster comes on like a whirlwind, when distress and anguish come on you.
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 28] Then they will call on me, but I will not answer. They will seek me diligently, but they will not find me,
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 29] because they hated knowledge, and didn’t choose the fear of the LORD.
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 30] They wanted none of my counsel. They despised all my reproof.
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 31] Therefore they will eat of the fruit of their own way, and be filled with their own schemes.
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 32] For the backsliding of the simple will kill them. The careless ease of fools will destroy them.
[WEB | EN | OT | Proverbs | Chapter 1 | Verse 33] But whoever listens to me will dwell securely, and will be at ease, without fear of harm.”
