[WEB | EN | OT | Proverbs | Chapter 3 | Verse 1] My son, don’t forget my teaching, but let your heart keep my commandments,
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 2] for they will add to you length of days, years of life, and peace.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 3] Don’t let kindness and truth forsake you. Bind them around your neck. Write them on the tablet of your heart.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 4] So you will find favor, and good understanding in the sight of God and man.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 5] Trust in the LORD with all your heart, and don’t lean on your own understanding.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 6] In all your ways acknowledge him, and he will make your paths straight.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 7] Don’t be wise in your own eyes. Fear the LORD, and depart from evil.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 8] It will be health to your body, and nourishment to your bones.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 9] Honor the LORD with your substance, with the first fruits of all your increase;
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 10] so your barns will be filled with plenty, and your vats will overflow with new wine.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 11] My son, don’t despise the LORD’s discipline, neither be weary of his correction;
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 12] for whom the LORD loves, he corrects, even as a father reproves the son in whom he delights.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 13] Happy is the man who finds wisdom, the man who gets understanding.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 14] For her good profit is better than getting silver, and her return is better than fine gold.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 15] She is more precious than rubies. None of the things you can desire are to be compared to her.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 16] Length of days is in her right hand. In her left hand are riches and honor.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 17] Her ways are ways of pleasantness. All her paths are peace.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 18] She is a tree of life to those who lay hold of her. Happy is everyone who retains her.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 19] By wisdom the LORD founded the earth. By understanding, he established the heavens.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 20] By his knowledge, the depths were broken up, and the skies drop down the dew.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 21] My son, let them not depart from your eyes. Keep sound wisdom and discretion,
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 22] so they will be life to your soul, and grace for your neck.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 23] Then you shall walk in your way securely. Your foot won’t stumble.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 24] When you lie down, you will not be afraid. Yes, you will lie down, and your sleep will be sweet.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 25] Don’t be afraid of sudden fear, neither of the desolation of the wicked, when it comes;
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 26] for the LORD will be your confidence, and will keep your foot from being taken.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 27] Don’t withhold good from those to whom it is due, when it is in the power of your hand to do it.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 28] Don’t say to your neighbor, “Go, and come again; tomorrow I will give it to you,” when you have it by you.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 29] Don’t devise evil against your neighbor, since he dwells securely by you.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 30] Don’t strive with a man without cause, if he has done you no harm.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 31] Don’t envy the man of violence. Choose none of his ways.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 32] For the perverse is an abomination to the LORD, but his friendship is with the upright.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 33] The LORD’s curse is in the house of the wicked, but he blesses the habitation of the righteous.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 34] Surely he mocks the mockers, but he gives grace to the humble.
[WEB | EN | OT | Proverbs | Chapter 3 | Verse 35] The wise will inherit glory, but shame will be the promotion of fools.
