[WEB | EN | OT | Proverbs | Chapter 13 | Verse 1] A wise son listens to his father’s instruction, but a scoffer doesn’t listen to rebuke.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 2] By the fruit of his lips, a man enjoys good things, but the unfaithful crave violence.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 3] He who guards his mouth guards his soul. One who opens wide his lips comes to ruin.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 4] The soul of the sluggard desires, and has nothing, but the desire of the diligent shall be fully satisfied.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 5] A righteous man hates lies, but a wicked man brings shame and disgrace.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 6] Righteousness guards the way of integrity, but wickedness overthrows the sinner.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 7] There are some who pretend to be rich, yet have nothing. There are some who pretend to be poor, yet have great wealth.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 8] The ransom of a man’s life is his riches, but the poor hear no threats.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 9] The light of the righteous shines brightly, but the lamp of the wicked is snuffed out.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 10] Pride only breeds quarrels, but wisdom is with people who take advice.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 11] Wealth gained dishonestly dwindles away, but he who gathers by hand makes it grow.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 12] Hope deferred makes the heart sick, but when longing is fulfilled, it is a tree of life.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 13] Whoever despises instruction will pay for it, but he who respects a command will be rewarded.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 14] The teaching of the wise is a spring of life, to turn from the snares of death.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 15] Good understanding wins favor, but the way of the unfaithful is hard.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 16] Every prudent man acts from knowledge, but a fool exposes folly.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 17] A wicked messenger falls into trouble, but a trustworthy envoy gains healing.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 18] Poverty and shame come to him who refuses discipline, but he who heeds correction shall be honored.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 19] Longing fulfilled is sweet to the soul, but fools detest turning from evil.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 20] One who walks with wise men grows wise, but a companion of fools suffers harm.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 21] Misfortune pursues sinners, but prosperity rewards the righteous.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 22] A good man leaves an inheritance to his children’s children, but the wealth of the sinner is stored for the righteous.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 23] An abundance of food is in poor people’s fields, but injustice sweeps it away.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 24] One who spares the rod hates his son, but one who loves him is careful to discipline him.
[WEB | EN | OT | Proverbs | Chapter 13 | Verse 25] The righteous one eats to the satisfying of his soul, but the belly of the wicked goes hungry.
