[WEB | EN | OT | Proverbs | Chapter 25 | Verse 1] These also are proverbs of Solomon, which the men of Hezekiah king of Judah copied out.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 2] It is the glory of God to conceal a thing, but the glory of kings is to search out a matter.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 3] As the heavens for height, and the earth for depth, so the hearts of kings are unsearchable.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 4] Take away the dross from the silver, and material comes out for the refiner.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 5] Take away the wicked from the king’s presence, and his throne will be established in righteousness.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 6] Don’t exalt yourself in the presence of the king, or claim a place among great men;
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 7] for it is better that it be said to you, “Come up here,” than that you should be put lower in the presence of the prince, whom your eyes have seen.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 8] Don’t be hasty in bringing charges to court. What will you do in the end when your neighbor shames you?
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 9] Debate your case with your neighbor, and don’t betray the confidence of another,
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 10] lest one who hears it put you to shame, and your bad reputation never depart.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 11] A word fitly spoken is like apples of gold in settings of silver.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 12] As an earring of gold, and an ornament of fine gold, so is a wise reprover to an obedient ear.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 13] As the cold of snow in the time of harvest, so is a faithful messenger to those who send him; for he refreshes the soul of his masters.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 14] As clouds and wind without rain, so is he who boasts of gifts deceptively.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 15] By patience a ruler is persuaded. A soft tongue breaks the bone.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 16] Have you found honey? Eat as much as is sufficient for you, lest you eat too much, and vomit it.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 17] Let your foot be seldom in your neighbor’s house, lest he be weary of you, and hate you.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 18] A man who gives false testimony against his neighbor is like a club, a sword, or a sharp arrow.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 19] Confidence in someone unfaithful in time of trouble is like a bad tooth or a lame foot.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 20] As one who takes away a garment in cold weather, or vinegar on soda, so is one who sings songs to a heavy heart.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 21] If your enemy is hungry, give him food to eat. If he is thirsty, give him water to drink;
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 22] for you will heap coals of fire on his head, and the LORD will reward you.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 23] The north wind produces rain; so a backbiting tongue brings an angry face.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 24] It is better to dwell in the corner of the housetop than to share a house with a contentious woman.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 25] Like cold water to a thirsty soul, so is good news from a far country.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 26] Like a muddied spring and a polluted well, so is a righteous man who gives way before the wicked.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 27] It is not good to eat much honey, nor is it honorable to seek one’s own honor.
[WEB | EN | OT | Proverbs | Chapter 25 | Verse 28] Like a city that is broken down and without walls is a man whose spirit is without restraint.
