[WEB | EN | OT | Proverbs | Chapter 16 | Verse 1] The plans of the heart belong to man, but the answer of the tongue is from the LORD.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 2] All the ways of a man are clean in his own eyes, but the LORD weighs the motives.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 3] Commit your deeds to the LORD, and your plans shall succeed.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 4] The LORD has made everything for its own end— yes, even the wicked for the day of evil.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 5] Everyone who is proud in heart is an abomination to the LORD; they shall certainly not be unpunished.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 6] By mercy and truth iniquity is atoned for. By the fear of the LORD men depart from evil.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 7] When a man’s ways please the LORD, he makes even his enemies to be at peace with him.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 8] Better is a little with righteousness, than great revenues with injustice.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 9] A man’s heart plans his course, but the LORD directs his steps.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 10] Inspired judgments are on the lips of the king. He shall not betray his mouth.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 11] Honest balances and scales are the LORD’s; all the weights in the bag are his work.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 12] It is an abomination for kings to do wrong, for the throne is established by righteousness.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 13] Righteous lips are the delight of kings. They value one who speaks the truth.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 14] The king’s wrath is a messenger of death, but a wise man will pacify it.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 15] In the light of the king’s face is life. His favor is like a cloud of the spring rain.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 16] How much better it is to get wisdom than gold! Yes, to get understanding is to be chosen rather than silver.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 17] The highway of the upright is to depart from evil. He who keeps his way preserves his soul.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 18] Pride goes before destruction, and an arrogant spirit before a fall.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 19] It is better to be of a lowly spirit with the poor, than to divide the plunder with the proud.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 20] He who heeds the Word finds prosperity. Whoever trusts in the LORD is blessed.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 21] The wise in heart shall be called prudent. Pleasantness of the lips promotes instruction.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 22] Understanding is a fountain of life to one who has it, but the punishment of fools is their folly.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 23] The heart of the wise instructs his mouth, and adds learning to his lips.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 24] Pleasant words are a honeycomb, sweet to the soul, and health to the bones.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 25] There is a way which seems right to a man, but in the end it leads to death.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 26] The appetite of the laboring man labors for him, for his mouth urges him on.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 27] A worthless man devises mischief. His speech is like a scorching fire.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 28] A perverse man stirs up strife. A whisperer separates close friends.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 29] A man of violence entices his neighbor, and leads him in a way that is not good.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 30] One who winks his eyes to plot perversities, one who compresses his lips, is bent on evil.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 31] Gray hair is a crown of glory. It is attained by a life of righteousness.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 32] One who is slow to anger is better than the mighty; one who rules his spirit, than he who takes a city.
[WEB | EN | OT | Proverbs | Chapter 16 | Verse 33] The lot is cast into the lap, but its every decision is from the LORD.
