[WEB | EN | OT | Proverbs | Chapter 10 | Verse 1] The proverbs of Solomon. A wise son makes a glad father; but a foolish son brings grief to his mother.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 2] Treasures of wickedness profit nothing, but righteousness delivers from death.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 3] The LORD will not allow the soul of the righteous to go hungry, but he thrusts away the desire of the wicked.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 4] He becomes poor who works with a lazy hand, but the hand of the diligent brings wealth.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 5] He who gathers in summer is a wise son, but he who sleeps during the harvest is a son who causes shame.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 6] Blessings are on the head of the righteous, but violence covers the mouth of the wicked.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 7] The memory of the righteous is blessed, but the name of the wicked will rot.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 8] The wise in heart accept commandments, but a chattering fool will fall.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 9] He who walks blamelessly walks surely, but he who perverts his ways will be found out.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 10] One who winks with the eye causes sorrow, but a chattering fool will fall.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 11] The mouth of the righteous is a spring of life, but violence covers the mouth of the wicked.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 12] Hatred stirs up strife, but love covers all wrongs.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 13] Wisdom is found on the lips of him who has discernment, but a rod is for the back of him who is void of understanding.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 14] Wise men lay up knowledge, but the mouth of the foolish is near ruin.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 15] The rich man’s wealth is his strong city. The destruction of the poor is their poverty.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 16] The labor of the righteous leads to life. The increase of the wicked leads to sin.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 17] He is in the way of life who heeds correction, but he who forsakes reproof leads others astray.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 18] He who hides hatred has lying lips. He who utters a slander is a fool.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 19] In the multitude of words there is no lack of disobedience, but he who restrains his lips does wisely.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 20] The tongue of the righteous is like choice silver. The heart of the wicked is of little worth.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 21] The lips of the righteous feed many, but the foolish die for lack of understanding.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 22] The LORD’s blessing brings wealth, and he adds no trouble to it.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 23] It is a fool’s pleasure to do wickedness, but wisdom is a man of understanding’s pleasure.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 24] What the wicked fear will overtake them, but the desire of the righteous will be granted.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 25] When the whirlwind passes, the wicked is no more; but the righteous stand firm forever.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 26] As vinegar to the teeth, and as smoke to the eyes, so is the sluggard to those who send him.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 27] The fear of the LORD prolongs days, but the years of the wicked shall be shortened.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 28] The prospect of the righteous is joy, but the hope of the wicked will perish.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 29] The way of the LORD is a stronghold to the upright, but it is a destruction to the workers of iniquity.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 30] The righteous will never be removed, but the wicked will not dwell in the land.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 31] The mouth of the righteous produces wisdom, but the perverse tongue will be cut off.
[WEB | EN | OT | Proverbs | Chapter 10 | Verse 32] The lips of the righteous know what is acceptable, but the mouth of the wicked is perverse.
