[WEB | EN | OT | Proverbs | Chapter 22 | Verse 1] A good name is more desirable than great riches, and loving favor is better than silver and gold.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 2] The rich and the poor have this in common: The LORD is the maker of them all.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 3] A prudent man sees danger and hides himself; but the simple pass on, and suffer for it.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 4] The result of humility and the fear of the LORD is wealth, honor, and life.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 5] Thorns and snares are in the path of the wicked; whoever guards his soul stays far from them.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 6] Train up a child in the way he should go, and when he is old he will not depart from it.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 7] The rich rule over the poor. The borrower is servant to the lender.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 8] He who sows wickedness reaps trouble, and the rod of his fury will be destroyed.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 9] He who has a generous eye will be blessed, for he shares his food with the poor.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 10] Drive out the mocker, and strife will go out; yes, quarrels and insults will stop.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 11] He who loves purity of heart and speaks gracefully is the king’s friend.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 12] The LORD’s eyes watch over knowledge, but he frustrates the words of the unfaithful.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 13] The sluggard says, “There is a lion outside! I will be killed in the streets!”
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 14] The mouth of an adulteress is a deep pit. He who is under the LORD’s wrath will fall into it.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 15] Folly is bound up in the heart of a child; the rod of discipline drives it far from him.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 16] Whoever oppresses the poor for his own increase and whoever gives to the rich, both come to poverty.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 17] Turn your ear, and listen to the words of the wise. Apply your heart to my teaching.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 18] For it is a pleasant thing if you keep them within you, if all of them are ready on your lips.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 19] I teach you today, even you, so that your trust may be in the LORD.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 20] Haven’t I written to you thirty excellent things of counsel and knowledge,
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 21] To teach you truth, reliable words, to give sound answers to the ones who sent you?
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 22] Don’t exploit the poor because he is poor; and don’t crush the needy in court;
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 23] for the LORD will plead their case, and plunder the life of those who plunder them.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 24] Don’t befriend a hot-tempered man. Don’t associate with one who harbors anger,
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 25] lest you learn his ways and ensnare your soul.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 26] Don’t you be one of those who strike hands, of those who are collateral for debts.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 27] If you don’t have means to pay, why should he take away your bed from under you?
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 28] Don’t move the ancient boundary stone which your fathers have set up.
[WEB | EN | OT | Proverbs | Chapter 22 | Verse 29] Do you see a man skilled in his work? He will serve kings. He won’t serve obscure men.
