[WEB | EN | OT | Proverbs | Chapter 31 | Verse 1] The words of King Lemuel—the revelation which his mother taught him:
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 2] “Oh, my son! Oh, son of my womb! Oh, son of my vows!
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 3] Don’t give your strength to women, nor your ways to that which destroys kings.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 4] It is not for kings, Lemuel, it is not for kings to drink wine, nor for princes to say, ‘Where is strong drink?’
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 5] lest they drink, and forget the law, and pervert the justice due to anyone who is afflicted.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 6] Give strong drink to him who is ready to perish, and wine to the bitter in soul.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 7] Let him drink, and forget his poverty, and remember his misery no more.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 8] Open your mouth for the mute, in the cause of all who are left desolate.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 9] Open your mouth, judge righteously, and serve justice to the poor and needy.”
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 10] Who can find a worthy woman? For her value is far above rubies.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 11] The heart of her husband trusts in her. He shall have no lack of gain.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 12] She does him good, and not harm, all the days of her life.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 13] She seeks wool and flax, and works eagerly with her hands.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 14] She is like the merchant ships. She brings her bread from afar.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 15] She rises also while it is yet night, gives food to her household, and portions for her servant girls.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 16] She considers a field, and buys it. With the fruit of her hands, she plants a vineyard.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 17] She arms her waist with strength, and makes her arms strong.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 18] She perceives that her merchandise is profitable. Her lamp doesn’t go out by night.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 19] She lays her hands to the distaff, and her hands hold the spindle.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 20] She opens her arms to the poor; yes, she extends her hands to the needy.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 21] She is not afraid of the snow for her household, for all her household are clothed with scarlet.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 22] She makes for herself carpets of tapestry. Her clothing is fine linen and purple.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 23] Her husband is respected in the gates, when he sits among the elders of the land.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 24] She makes linen garments and sells them, and delivers sashes to the merchant.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 25] Strength and dignity are her clothing. She laughs at the time to come.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 26] She opens her mouth with wisdom. Kind instruction is on her tongue.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 27] She looks well to the ways of her household, and doesn’t eat the bread of idleness.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 28] Her children rise up and call her blessed. Her husband also praises her:
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 29] “Many women do noble things, but you excel them all.”
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 30] Charm is deceitful, and beauty is vain; but a woman who fears the LORD, she shall be praised.
[WEB | EN | OT | Proverbs | Chapter 31 | Verse 31] Give her of the fruit of her hands! Let her works praise her in the gates!
