[WEB | EN | OT | Proverbs | Chapter 9 | Verse 1] Wisdom has built her house. She has carved out her seven pillars.
[WEB | EN | OT | Proverbs | Chapter 9 | Verse 2] She has prepared her meat. She has mixed her wine. She has also set her table.
[WEB | EN | OT | Proverbs | Chapter 9 | Verse 3] She has sent out her maidens. She cries from the highest places of the city:
[WEB | EN | OT | Proverbs | Chapter 9 | Verse 4] “Whoever is simple, let him turn in here!” As for him who is void of understanding, she says to him,
[WEB | EN | OT | Proverbs | Chapter 9 | Verse 5] “Come, eat some of my bread, Drink some of the wine which I have mixed!
[WEB | EN | OT | Proverbs | Chapter 9 | Verse 6] Leave your simple ways, and live. Walk in the way of understanding.”
[WEB | EN | OT | Proverbs | Chapter 9 | Verse 7] One who corrects a mocker invites insult. One who reproves a wicked man invites abuse.
[WEB | EN | OT | Proverbs | Chapter 9 | Verse 8] Don’t reprove a scoffer, lest he hate you. Reprove a wise person, and he will love you.
[WEB | EN | OT | Proverbs | Chapter 9 | Verse 9] Instruct a wise person, and he will be still wiser. Teach a righteous person, and he will increase in learning.
[WEB | EN | OT | Proverbs | Chapter 9 | Verse 10] The fear of the LORD is the beginning of wisdom. The knowledge of the Holy One is understanding.
[WEB | EN | OT | Proverbs | Chapter 9 | Verse 11] For by me your days will be multiplied. The years of your life will be increased.
[WEB | EN | OT | Proverbs | Chapter 9 | Verse 12] If you are wise, you are wise for yourself. If you mock, you alone will bear it.
[WEB | EN | OT | Proverbs | Chapter 9 | Verse 13] The foolish woman is loud, undisciplined, and knows nothing.
[WEB | EN | OT | Proverbs | Chapter 9 | Verse 14] She sits at the door of her house, on a seat in the high places of the city,
[WEB | EN | OT | Proverbs | Chapter 9 | Verse 15] to call to those who pass by, who go straight on their ways,
[WEB | EN | OT | Proverbs | Chapter 9 | Verse 16] “Whoever is simple, let him turn in here.” As for him who is void of understanding, she says to him,
[WEB | EN | OT | Proverbs | Chapter 9 | Verse 17] “Stolen water is sweet. Food eaten in secret is pleasant.”
[WEB | EN | OT | Proverbs | Chapter 9 | Verse 18] But he doesn’t know that the departed spirits are there, that her guests are in the depths of Sheol.
