[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 1] An ancient man rebuke not, but entreat him as a father: young men, as brethren:
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 2] Old women, as mothers: young women, as sisters, in all chastity.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 3] Honour widows, that are widows indeed.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 4] But if any widow have children, or grandchildren, let her learn first to govern her own house, and to make a return of duty to her parents: for this is acceptable before God.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 5] But she that is a widow indeed, and desolate, let her trust in God, and continue in supplications and prayers night and day.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 6] For she that liveth in pleasures, is dead while she is living.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 7] And this give in charge, that they may be blameless.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 8] But if any man have not care of his own, and especially of those of his house, he hath denied the faith, and is worse than an infidel.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 9] Let a widow be chosen of no less than threescore years of age, who hath been the wife of one husband.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 10] Having testimony for her good works, if she have brought up children, if she have received to harbour, if she have washed the saints’ feet, if she have ministered to them that suffer tribulation, if she have diligently followed every good work.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 11] But the younger widows avoid. For when they have grown wanton in Christ, they will marry:
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 12] Having damnation, because they have made void their first faith.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 13] And withal being idle they learn to go about from house to house: and are not only idle, but tattlers also, and busybodies, speaking things which they ought not.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 14] I will therefore that the younger should marry, bear children, be mistresses of families, give no occasion to the adversary to speak evil.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 15] For some are already turned aside after Satan.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 16] If any of the faithful have widows, let him minister to them, and let not the church be charged: that there may be sufficient for them that are widows indeed.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 17] Let the priests that rule well, be esteemed worthy of double honour: especially they who labour in the word and doctrine:
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 18] For the scripture saith: Thou shalt not muzzle the ox that treadeth out the corn: and, The labourer is worthy of his reward.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 19] Against a priest receive not an accusation, but under two or three witnesses.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 20] Them that sin reprove before all: that the rest also may have fear.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 21] I charge thee before God, and Christ Jesus, and the elect angels, that thou observe these things without prejudice, doing nothing by declining to either side.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 22] Impose not hands lightly upon any man, neither be partaker of other men’s sins. Keep thyself chaste.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 23] Do not still drink water, but use a little wine for thy stomach’s sake, and thy frequent infirmities.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 24] Some men’s sins are manifest, going before to judgment: and some men they follow after.
[DRA | EN | NT | 1 Timothy | Chapter 5 | Verse 25] In like manner also good deeds are manifest: and they that are otherwise, cannot be hid.
