[JPS | EN | OT | Exodus | Chapter 36 | Verse 1] And Bezalel and Oholiab shall work, and every wise-hearted man, in whom the LORD hath put wisdom and understanding to know how to work all the work for the service of the sanctuary, according to all that the LORD hath commanded.'
[JPS | EN | OT | Exodus | Chapter 36 | Verse 2] And Moses called Bezalel and Oholiab, and every wise-hearted man, in whose heart the LORD had put wisdom, even every one whose heart stirred him up to come unto the work to do it.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 3] And they received of Moses all the offering, which the children of Israel had brought for the work of the service of the sanctuary, wherewith to make it. And they brought yet unto him freewill-offerings every morning.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 4] And all the wise men, that wrought all the work of the sanctuary, came every man from his work which they wrought.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 5] And they spoke unto Moses, saying: 'The people bring much more than enough for the service of the work, which the LORD commanded to make.'
[JPS | EN | OT | Exodus | Chapter 36 | Verse 6] And Moses gave commandment, and they caused it to be proclaimed throughout the camp, saying: 'Let neither man nor woman make any more work for the offering of the sanctuary.' So the people were restrained from bringing.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 7] For the stuff they had was sufficient for all the work to make it, and too much.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 8] And every wise-hearted man among them that wrought the work made the tabernacle with ten curtains: of fine twined linen, and blue, and purple, and scarlet, with cherubim the work of the skilful workman made he them.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 9] The length of each curtain was eight and twenty cubits, and the breadth of each curtain four cubits; all the curtains had one measure.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 10] And he coupled five curtains one to another; and the other five curtains he coupled one to another.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 11] And he made loops of blue upon the edge of the one curtain that was outmost in the first set; likewise he made in the edge of the curtain that was outmost in the second set.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 12] Fifty loops made he in the one curtain, and fifty loops made he in the edge of the curtain that was in the second set; the loops were opposite one to another.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 13] And he made fifty clasps of gold, and coupled the curtains one to another with the clasps; so the tabernacle was one.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 14] And he made curtains of goats' hair for a tent over the tabernacle; eleven curtains he made them.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 15] The length of each curtain was thirty cubits, and four cubits the breadth of each curtain; the eleven curtains had one measure.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 16] And he coupled five curtains by themselves, and six curtains by themselves.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 17] And he made fifty loops on the edge of the curtain that was outmost in the first set, and fifty loops made he upon the edge of the curtain which was outmost in the second set.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 18] And he made fifty clasps of brass to couple the tent together, that it might be one.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 19] And he made a covering for the tent of rams' skins dyed red, and a covering of sealskins above.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 20] And he made the boards for the tabernacle of acacia-wood, standing up.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 21] Ten cubits was the length of a board, and a cubit and a half the breadth of each board.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 22] Each board had two tenons, joined one to another. Thus did he make for all the boards of the tabernacle.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 23] And he made the boards for the tabernacle; twenty boards for the south side southward.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 24] And he made forty sockets of silver under the twenty boards: two sockets under one board for its two tenons, and two sockets under another board for its two tenons.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 25] And for the second side of the tabernacle, on the north side, he made twenty boards,
[JPS | EN | OT | Exodus | Chapter 36 | Verse 26] and their forty sockets of silver: two sockets under one board, and two sockets under another board.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 27] And for the hinder part of the tabernacle westward he made six boards.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 28] And two boards made he for the corners of the tabernacle in the hinder part;
[JPS | EN | OT | Exodus | Chapter 36 | Verse 29] that they might be double beneath, and in like manner they should be complete unto the top thereof unto the first ring. Thus he did to both of them in the two corners.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 30] And there were eight boards, and their sockets of silver, sixteen sockets: under every board two sockets.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 31] And he made bars of acacia-wood: five for the boards of the one side of the tabernacle,
[JPS | EN | OT | Exodus | Chapter 36 | Verse 32] and five bars for the boards of the other side of the tabernacle, and five bars for the boards of the tabernacle for the hinder part westward.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 33] And he made the middle bar to pass through in the midst of the boards from the one end to the other.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 34] And he overlaid the boards with gold, and made their rings of gold for holders for the bars, and overlaid the bars with gold.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 35] And he made the veil of blue, and purple, and scarlet, and fine twined linen; with the cherubim the work of the skilful workman made he it.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 36] And he made thereunto four pillars of acacia, and overlaid them with gold, their hooks being of gold; and he cast for them four sockets of silver.
[JPS | EN | OT | Exodus | Chapter 36 | Verse 37] And he made a screen for the door of the Tent, of blue, and purple, and scarlet, and fine twined linen, the work of the weaver in colours;
[JPS | EN | OT | Exodus | Chapter 36 | Verse 38] and the five pillars of it with their hooks; and he overlaid their capitals and their fillets with gold; and their five sockets were of brass.
