[JPS | EN | OT | Exodus | Chapter 12 | Verse 1] And the LORD spoke unto Moses and Aaron in the land of Egypt, saying:
[JPS | EN | OT | Exodus | Chapter 12 | Verse 2] 'This month shall be unto you the beginning of months; it shall be the first month of the year to you.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 3] Speak ye unto all the congregation of Israel, saying: In the tenth day of this month they shall take to them every man a lamb, according to their fathers' houses, a lamb for a household;
[JPS | EN | OT | Exodus | Chapter 12 | Verse 4] and if the household be too little for a lamb, then shall he and his neighbour next unto his house take one according to the number of the souls; according to every man's eating ye shall make your count for the lamb.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 5] Your lamb shall be without blemish, a male of the first year; ye shall take it from the sheep, or from the goats;
[JPS | EN | OT | Exodus | Chapter 12 | Verse 6] and ye shall keep it unto the fourteenth day of the same month; and the whole assembly of the congregation of Israel shall kill it at dusk.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 7] And they shall take of the blood, and put it on the two side-posts and on the lintel, upon the houses wherein they shall eat it.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 8] And they shall eat the flesh in that night, roast with fire, and unleavened bread; with bitter herbs they shall eat it.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 9] Eat not of it raw, nor sodden at all with water, but roast with fire; its head with its legs and with the inwards thereof.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 10] And ye shall let nothing of it remain until the morning; but that which remaineth of it until the morning ye shall burn with fire.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 11] And thus shall ye eat it: with your loins girded, your shoes on your feet, and your staff in your hand; and ye shall eat it in haste — it is the LORD'S passover.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 12] For I will go through the land of Egypt in that night, and will smite all the first-born in the land of Egypt, both man and beast; and against all the gods of Egypt I will execute judgments: I am the LORD.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 13] And the blood shall be to you for a token upon the houses where ye are; and when I see the blood, I will pass over you, and there shall no plague be upon you to destroy you, when I smite the land of Egypt.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 14] And this day shall be unto you for a memorial, and ye shall keep it a feast to the LORD; throughout your generations ye shall keep it a feast by an ordinance for ever.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 15] Seven days shall ye eat unleavened bread; howbeit the first day ye shall put away leaven out of your houses; for whosoever eateth leavened bread from the first day until the seventh day, that soul shall be cut off from Israel.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 16] And in the first day there shall be to you a holy convocation, and in the seventh day a holy convocation; no manner of work shall be done in them, save that which every man must eat, that only may be done by you.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 17] And ye shall observe the feast of unleavened bread; for in this selfsame day have I brought your hosts out of the land of Egypt; therefore shall ye observe this day throughout your generations by an ordinance for ever.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 18] In the first month, on the fourteenth day of the month at even, ye shall eat unleavened bread, until the one and twentieth day of the month at even.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 19] Seven days shall there be no leaven found in your houses; for whosoever eateth that which is leavened, that soul shall be cut off from the congregation of Israel, whether he be a sojourner, or one that is born in the land.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 20] Ye shall eat nothing leavened; in all your habitations shall ye eat unleavened bread.'
[JPS | EN | OT | Exodus | Chapter 12 | Verse 21] Then Moses called for all the elders of Israel, and said unto them: 'Draw out, and take you lambs according to your families, and kill the passover lamb.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 22] And ye shall take a bunch of hyssop, and dip it in the blood that is in the basin, and strike the lintel and the two side-posts with the blood that is in the basin; and none of you shall go out of the door of his house until the morning.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 23] For the LORD will pass through to smite the Egyptians; and when He seeth the blood upon the lintel, and on the two side-posts, the LORD will pass over the door, and will not suffer the destroyer to come in unto your houses to smite you.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 24] And ye shall observe this thing for an ordinance to thee and to thy sons for ever.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 25] And it shall come to pass, when ye be come to the land which the LORD will give you, according as He hath promised, that ye shall keep this service.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 26] And it shall come to pass, when your children shall say unto you: What mean ye by this service?
[JPS | EN | OT | Exodus | Chapter 12 | Verse 27] that ye shall say: It is the sacrifice of the LORD'S passover, for that He passed over the houses of the children of Israel in Egypt, when He smote the Egyptians, and delivered our houses.' And the people bowed the head and worshipped.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 28] And the children of Israel went and did so; as the LORD had commanded Moses and Aaron, so did they.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 29] And it came to pass at midnight, that the LORD smote all the firstborn in the land of Egypt, from the first-born of Pharaoh that sat on his throne unto the first-born of the captive that was in the dungeon; and all the first-born of cattle.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 30] And Pharaoh rose up in the night, he, and all his servants, and all the Egyptians; and there was a great cry in Egypt; for there was not a house where there was not one dead.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 31] And he called for Moses and Aaron by night and said: 'Rise up, get you forth from among my people, both ye and the children of Israel; and go, serve the LORD, as ye have said.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 32] Take both your flocks and your herds, as ye have said, and be gone; and bless me also.'
[JPS | EN | OT | Exodus | Chapter 12 | Verse 33] And the Egyptians were urgent upon the people, to send them out of the land in haste; for they said: 'We are all dead men.'
[JPS | EN | OT | Exodus | Chapter 12 | Verse 34] And the people took their dough before it was leavened, their kneading-troughs being bound up in their clothes upon their shoulders.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 35] And the children of Israel did according to the word of Moses; and they asked of the Egyptians jewels of silver, and jewels of gold, and raiment.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 36] And the LORD gave the people favour in the sight of the Egyptians, so that they let them have what they asked. And they despoiled the Egyptians.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 37] And the children of Israel journeyed from Rameses to Succoth, about six hundred thousand men on foot, beside children.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 38] And a mixed multitude went up also with them; and flocks, and herds, even very much cattle.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 39] And they baked unleavened cakes of the dough which they brought forth out of Egypt, for it was not leavened; because they were thrust out of Egypt, and could not tarry, neither had they prepared for themselves any victual.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 40] Now the time that the children of Israel dwelt in Egypt was four hundred and thirty years.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 41] And it came to pass at the end of four hundred and thirty years, even the selfsame day it came to pass, that all the host of the LORD went out from the land of Egypt.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 42] It was a night of watching unto the LORD for bringing them out from the land of Egypt; this same night is a night of watching unto the LORD for all the children of Israel throughout their generations.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 43] And the LORD said unto Moses and Aaron: 'This is the ordinance of the passover: there shall no alien eat thereof;
[JPS | EN | OT | Exodus | Chapter 12 | Verse 44] but every man's servant that is bought for money, when thou hast circumcised him, then shall he eat thereof.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 45] A sojourner and a hired servant shall not eat thereof.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 46] In one house shall it be eaten; thou shalt not carry forth aught of the flesh abroad out of the house; neither shall ye break a bone thereof.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 47] All the congregation of Israel shall keep it.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 48] And when a stranger shall sojourn with thee, and will keep the passover to the LORD, let all his males be circumcised, and then let him come near and keep it; and he shall be as one that is born in the land; but no uncircumcised person shall eat thereof.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 49] One law shall be to him that is homeborn, and unto the stranger that sojourneth among you.'
[JPS | EN | OT | Exodus | Chapter 12 | Verse 50] Thus did all the children of Israel; as the LORD commanded Moses and Aaron, so did they.
[JPS | EN | OT | Exodus | Chapter 12 | Verse 51] And it came to pass the selfsame day that the LORD did bring the children of Israel out of the land of Egypt by their hosts.
