[JPS | EN | OT | Exodus | Chapter 35 | Verse 1] And Moses assembled all the congregation of the children of Israel, and said unto them: 'These are the words which the LORD hath commanded, that ye should do them.
[JPS | EN | OT | Exodus | Chapter 35 | Verse 2] Six days shall work be done, but on the seventh day there shall be to you a holy day, a sabbath of solemn rest to the LORD; whosoever doeth any work therein shall be put to death.
[JPS | EN | OT | Exodus | Chapter 35 | Verse 3] Ye shall kindle no fire throughout your habitations upon the sabbath day.'
[JPS | EN | OT | Exodus | Chapter 35 | Verse 4] And Moses spoke unto all the congregation of the children of Israel, saying: 'This is the thing which the LORD commanded, saying:
[JPS | EN | OT | Exodus | Chapter 35 | Verse 5] Take ye from among you an offering unto the LORD, whosoever is of a willing heart, let him bring it, the LORD'S offering: gold, and silver, and brass;
[JPS | EN | OT | Exodus | Chapter 35 | Verse 6] and blue, and purple, and scarlet, and fine linen, and goats' hair;
[JPS | EN | OT | Exodus | Chapter 35 | Verse 7] and rams' skins dyed red, and sealskins, and acacia-wood;
[JPS | EN | OT | Exodus | Chapter 35 | Verse 8] and oil for the light, and spices for the anointing oil, and for the sweet incense;
[JPS | EN | OT | Exodus | Chapter 35 | Verse 9] and onyx stones, and stones to be set, for the ephod, and for the breastplate.
[JPS | EN | OT | Exodus | Chapter 35 | Verse 10] And let every wise-hearted man among you come, and make all that the LORD hath commanded:
[JPS | EN | OT | Exodus | Chapter 35 | Verse 11] the tabernacle, its tent, and its covering, its clasps, and its boards, its bars, its pillars, and its sockets;
[JPS | EN | OT | Exodus | Chapter 35 | Verse 12] the ark, and the staves thereof, the ark-cover, and the veil of the screen;
[JPS | EN | OT | Exodus | Chapter 35 | Verse 13] the table, and its staves, and all its vessels, and the showbread;
[JPS | EN | OT | Exodus | Chapter 35 | Verse 14] the candlestick also for the light, and its vessels, and its lamps, and the oil for the light;
[JPS | EN | OT | Exodus | Chapter 35 | Verse 15] and the altar of incense, and its staves, and the anointing oil, and the sweet incense, and the screen for the door, at the door of the tabernacle;
[JPS | EN | OT | Exodus | Chapter 35 | Verse 16] the altar of burnt-offering, with its grating of brass, its staves, and all its vessels, the laver and its base;
[JPS | EN | OT | Exodus | Chapter 35 | Verse 17] the hangings of the court, the pillars thereof, and their sockets, and the screen for the gate of the court;
[JPS | EN | OT | Exodus | Chapter 35 | Verse 18] the pins of the tabernacle, and the pins of the court, and their cords;
[JPS | EN | OT | Exodus | Chapter 35 | Verse 19] the plaited garments, for ministering in the holy place, the holy garments for Aaron the priest, and the garments of his sons, to minister in the priest's office.'
[JPS | EN | OT | Exodus | Chapter 35 | Verse 20] And all the congregation of the children of Israel departed from the presence of Moses.
[JPS | EN | OT | Exodus | Chapter 35 | Verse 21] And they came, every one whose heart stirred him up, and every one whom his spirit made willing, and brought the LORD'S offering, for the work of the tent of meeting, and for all the service thereof, and for the holy garments.
[JPS | EN | OT | Exodus | Chapter 35 | Verse 22] And they came, both men and women, as many as were willing-hearted, and brought nose-rings, and ear-rings, and signet-rings, and girdles, all jewels of gold; even every man that brought an offering of gold unto the LORD.
[JPS | EN | OT | Exodus | Chapter 35 | Verse 23] And every man, with whom was found blue, and purple, and scarlet, and fine linen, and goats' hair, and rams' skins dyed red, and sealskins, brought them.
[JPS | EN | OT | Exodus | Chapter 35 | Verse 24] Every one that did set apart an offering of silver and brass brought the LORD'S offering; and every man, with whom was found acacia-wood for any work of the service, brought it.
[JPS | EN | OT | Exodus | Chapter 35 | Verse 25] And all the women that were wise-hearted did spin with their hands, and brought that which they had spun, the blue, and the purple, the scarlet, and the fine linen.
[JPS | EN | OT | Exodus | Chapter 35 | Verse 26] And all the women whose heart stirred them up in wisdom spun the goats' hair.
[JPS | EN | OT | Exodus | Chapter 35 | Verse 27] And the rulers brought the onyx stones, and the stones to be set, for the ephod, and for the breastplate;
[JPS | EN | OT | Exodus | Chapter 35 | Verse 28] and the spice, and the oil, for the light, and for the anointing oil, and for the sweet incense.
[JPS | EN | OT | Exodus | Chapter 35 | Verse 29] The children of Israel brought a freewill-offering unto the LORD; every man and woman, whose heart made them willing to bring for all the work, which the LORD had commanded by the hand of Moses to be made.
[JPS | EN | OT | Exodus | Chapter 35 | Verse 30] And Moses said unto the children of Israel: 'See, the LORD hath called by name Bezalel the son of Uri, the son of Hur, of the tribe of Judah.
[JPS | EN | OT | Exodus | Chapter 35 | Verse 31] And He hath filled him with the spirit of God, in wisdom, in understanding, and in knowledge, and in all manner of workmanship.
[JPS | EN | OT | Exodus | Chapter 35 | Verse 32] And to devise skilful works, to work in gold, and in silver, and in brass,
[JPS | EN | OT | Exodus | Chapter 35 | Verse 33] and in cutting of stones for setting, and in carving of wood, to work in all manner of skilful workmanship.
[JPS | EN | OT | Exodus | Chapter 35 | Verse 34] And He hath put in his heart that he may teach, both he, and Oholiab, the son of Ahisamach, of the tribe of Dan.
[JPS | EN | OT | Exodus | Chapter 35 | Verse 35] Them hath He filled with wisdom of heart, to work all manner of workmanship, of the craftsman, and of the skilful workman, and of the weaver in colours, in blue, and in purple, in scarlet, and in fine linen, and of the weaver, even of them that do any workmanship, and of those that devise skilful works.
