[JPS | EN | OT | Exodus | Chapter 32 | Verse 1] And when the people saw that Moses delayed to come down from the mount, the people gathered themselves together unto Aaron, and said unto him: 'Up, make us a god who shall go before us; for as for this Moses, the man that brought us up out of the land of Egypt, we know not what is become of him.'
[JPS | EN | OT | Exodus | Chapter 32 | Verse 2] And Aaron said unto them: 'Break off the golden rings, which are in the ears of your wives, of your sons, and of your daughters, and bring them unto me.'
[JPS | EN | OT | Exodus | Chapter 32 | Verse 3] And all the people broke off the golden rings which were in their ears, and brought them unto Aaron.
[JPS | EN | OT | Exodus | Chapter 32 | Verse 4] And he received it at their hand, and fashioned it with a graving tool, and made it a molten calf; and they said: 'This is thy god, O Israel, which brought thee up out of the land of Egypt.'
[JPS | EN | OT | Exodus | Chapter 32 | Verse 5] And when Aaron saw this, he built an altar before it; and Aaron made proclamation, and said: 'To-morrow shall be a feast to the LORD.'
[JPS | EN | OT | Exodus | Chapter 32 | Verse 6] And they rose up early on the morrow, and offered burnt-offerings, and brought peace-offerings; and the people sat down to eat and to drink, and rose up to make merry.
[JPS | EN | OT | Exodus | Chapter 32 | Verse 7] And the LORD spoke unto Moses: 'Go, get thee down; for thy people, that thou broughtest up out of the land of Egypt, have dealt corruptly;
[JPS | EN | OT | Exodus | Chapter 32 | Verse 8] they have turned aside quickly out of the way which I commanded them; they have made them a molten calf, and have worshipped it, and have sacrificed unto it, and said: This is thy god, O Israel, which brought thee up out of the land of Egypt.'
[JPS | EN | OT | Exodus | Chapter 32 | Verse 9] And the LORD said unto Moses: 'I have seen this people, and, behold, it is a stiffnecked people.
[JPS | EN | OT | Exodus | Chapter 32 | Verse 10] Now therefore let Me alone, that My wrath may wax hot against them, and that I may consume them; and I will make of thee a great nation.'
[JPS | EN | OT | Exodus | Chapter 32 | Verse 11] And Moses besought the LORD his God, and said: 'LORD, why doth Thy wrath wax hot against Thy people, that Thou hast brought forth out of the land of Egypt with great power and with a mighty hand?
[JPS | EN | OT | Exodus | Chapter 32 | Verse 12] Wherefore should the Egyptians speak, saying: For evil did He bring them forth, to slay them in the mountains, and to consume them from the face of the earth? Turn from Thy fierce wrath, and repent of this evil against Thy people.
[JPS | EN | OT | Exodus | Chapter 32 | Verse 13] Remember Abraham, Isaac, and Israel, Thy servants, to whom Thou didst swear by Thine own self, and saidst unto them: I will multiply your seed as the stars of heaven, and all this land that I have spoken of will I give unto your seed, and they shall inherit it for ever.'
[JPS | EN | OT | Exodus | Chapter 32 | Verse 14] And the LORD repented of the evil which He said He would do unto His people.
[JPS | EN | OT | Exodus | Chapter 32 | Verse 15] And Moses turned, and went down from the mount, with the two tables of the testimony in his hand; tables that were written on both their sides; on the one side and on the other were they written.
[JPS | EN | OT | Exodus | Chapter 32 | Verse 16] And the tables were the work of God, and the writing was the writing of God, graven upon the tables.
[JPS | EN | OT | Exodus | Chapter 32 | Verse 17] And when Joshua heard the noise of the people as they shouted, he said unto Moses: 'There is a noise of war in the camp.'
[JPS | EN | OT | Exodus | Chapter 32 | Verse 18] And he said: 'It is not the voice of them that shout for mastery, neither is it the voice of them that cry for being overcome, but the noise of them that sing do I hear.'
[JPS | EN | OT | Exodus | Chapter 32 | Verse 19] And it came to pass, as soon as he came nigh unto the camp, that he saw the calf and the dancing; and Moses' anger waxed hot, and he cast the tables out of his hands, and broke them beneath the mount.
[JPS | EN | OT | Exodus | Chapter 32 | Verse 20] And he took the calf which they had made, and burnt it with fire, and ground it to powder, and strewed it upon the water, and made the children of Israel drink of it.
[JPS | EN | OT | Exodus | Chapter 32 | Verse 21] And Moses said unto Aaron: 'What did this people unto thee, that thou hast brought a great sin upon them?'
[JPS | EN | OT | Exodus | Chapter 32 | Verse 22] And Aaron said: 'Let not the anger of my lord wax hot; thou knowest the people, that they are set on evil.
[JPS | EN | OT | Exodus | Chapter 32 | Verse 23] So they said unto me: Make us a god, which shall go before us; for as for this Moses, the man that brought us up out of the land of Egypt, we know not what is become of him.
[JPS | EN | OT | Exodus | Chapter 32 | Verse 24] And I said unto them: Whosoever hath any gold, let them break it off; so they gave it me; and I cast it into the fire, and there came out this calf.'
[JPS | EN | OT | Exodus | Chapter 32 | Verse 25] And when Moses saw that the people were broken loose — for Aaron had let them loose for a derision among their enemies —
[JPS | EN | OT | Exodus | Chapter 32 | Verse 26] then Moses stood in the gate of the camp, and said: 'Whoso is on the LORD'S side, let him come unto me.' And all the sons of Levi gathered themselves together unto him.
[JPS | EN | OT | Exodus | Chapter 32 | Verse 27] And he said unto them: 'Thus saith the LORD, the God of Israel: Put ye every man his sword upon his thigh, and go to and fro from gate to gate throughout the camp, and slay every man his brother, and every man his companion, and every man his neighbour.'
[JPS | EN | OT | Exodus | Chapter 32 | Verse 28] And the sons of Levi did according to the word of Moses; and there fell of the people that day about three thousand men.
[JPS | EN | OT | Exodus | Chapter 32 | Verse 29] And Moses said: 'Consecrate yourselves to-day to the LORD, for every man hath been against his son and against his brother; that He may also bestow upon you a blessing this day.'
[JPS | EN | OT | Exodus | Chapter 32 | Verse 30] And it came to pass on the morrow, that Moses said unto the people: 'Ye have sinned a great sin; and now I will go up unto the LORD, peradventure I shall make atonement for your sin.'
[JPS | EN | OT | Exodus | Chapter 32 | Verse 31] And Moses returned unto the LORD, and said: 'Oh, this people have sinned a great sin, and have made them a god of gold.
[JPS | EN | OT | Exodus | Chapter 32 | Verse 32] Yet now, if Thou wilt forgive their sin — ; and if not, blot me, I pray Thee, out of Thy book which Thou hast written.'
[JPS | EN | OT | Exodus | Chapter 32 | Verse 33] And the LORD said unto Moses: 'Whosoever hath sinned against Me, him will I blot out of My book.
[JPS | EN | OT | Exodus | Chapter 32 | Verse 34] And now go, lead the people unto the place of which I have spoken unto thee; behold, Mine angel shall go before thee; nevertheless in the day when I visit, I will visit their sin upon them.'
[JPS | EN | OT | Exodus | Chapter 32 | Verse 35] And the LORD smote the people, because they made the calf, which Aaron made.
