[JPS | EN | OT | Exodus | Chapter 31 | Verse 1] And the LORD spoke unto Moses, saying:
[JPS | EN | OT | Exodus | Chapter 31 | Verse 2] 'See, I have called by name Bezalel the son of Uri, the son of Hur, of the tribe of Judah;
[JPS | EN | OT | Exodus | Chapter 31 | Verse 3] and I have filled him with the spirit of God, in wisdom, and in understanding, and in knowledge, and in all manner of workmanship,
[JPS | EN | OT | Exodus | Chapter 31 | Verse 4] to devise skilful works, to work in gold, and in silver, and in brass,
[JPS | EN | OT | Exodus | Chapter 31 | Verse 5] and in cutting of stones for setting, and in carving of wood, to work in all manner of workmanship.
[JPS | EN | OT | Exodus | Chapter 31 | Verse 6] And I, behold, I have appointed with him Oholiab, the son of Ahisamach, of the tribe of Dan; and in the hearts of all that are wise-hearted I have put wisdom, that they may make all that I have commanded thee:
[JPS | EN | OT | Exodus | Chapter 31 | Verse 7] the tent of meeting, and the ark of the testimony, and the ark-cover that is thereupon, and all the furniture of the Tent;
[JPS | EN | OT | Exodus | Chapter 31 | Verse 8] and the table and its vessels, and the pure candlestick with all its vessels, and the altar of incense;
[JPS | EN | OT | Exodus | Chapter 31 | Verse 9] and the altar of burnt-offering with all its vessels, and the laver and its base;
[JPS | EN | OT | Exodus | Chapter 31 | Verse 10] and the plaited garments, and the holy garments for Aaron the priest, and the garments of his sons, to minister in the priest's office;
[JPS | EN | OT | Exodus | Chapter 31 | Verse 11] and the anointing oil, and the incense of sweet spices for the holy place; according to all that I have commanded thee shall they do.'
[JPS | EN | OT | Exodus | Chapter 31 | Verse 12] And the LORD spoke unto Moses, saying:
[JPS | EN | OT | Exodus | Chapter 31 | Verse 13] 'Speak thou also unto the children of Israel, saying: Verily ye shall keep My sabbaths, for it is a sign between Me and you throughout your generations, that ye may know that I am the LORD who sanctify you.
[JPS | EN | OT | Exodus | Chapter 31 | Verse 14] Ye shall keep the sabbath therefore, for it is holy unto you; every one that profaneth it shall surely be put to death; for whosoever doeth any work therein, that soul shall be cut off from among his people.
[JPS | EN | OT | Exodus | Chapter 31 | Verse 15] Six days shall work be done; but on the seventh day is a sabbath of solemn rest, holy to the LORD; whosoever doeth any work in the sabbath day, he shall surely be put to death.
[JPS | EN | OT | Exodus | Chapter 31 | Verse 16] Wherefore the children of Israel shall keep the sabbath, to observe the sabbath throughout their generations, for a perpetual covenant.
[JPS | EN | OT | Exodus | Chapter 31 | Verse 17] It is a sign between Me and the children of Israel for ever; for in six days the LORD made heaven and earth, and on the seventh day He ceased from work and rested.'
[JPS | EN | OT | Exodus | Chapter 31 | Verse 18] And He gave unto Moses, when He had made an end of speaking with him upon mount Sinai, the two tables of the testimony, tables of stone, written with the finger of God.
