[OEB | EN | OT | Nahum | Chapter 2 | Verse 1] Nineveh! The destroyer has come up against you; mount guard upon the rampart; watch the road; brace yourselves; strengthen your might to the utmost.
[OEB | EN | OT | Nahum | Chapter 2 | Verse 2] For the Lord is restoring the majesty of Jacob and of Israel, though the devastators have plundered them and destroyed their vines.
[OEB | EN | OT | Nahum | Chapter 2 | Verse 3] The shields of his warriors are dyed red, his soldiers are clothed in scarlet, his chariots gleam like fire on the day he prepares for battle spears are shaken.
[OEB | EN | OT | Nahum | Chapter 2 | Verse 4] Chariots rush across the fields, storm through the squares; they flame like torches, they dart like lightening.
[OEB | EN | OT | Nahum | Chapter 2 | Verse 5] A leader rallies his nobles, they hurl themselves forward. They speed on toward the wall; the storming-shield is set up.
[OEB | EN | OT | Nahum | Chapter 2 | Verse 6] The water-gates are thrown open, and the palace dissolves in ruins.
[OEB | EN | OT | Nahum | Chapter 2 | Verse 7] The queen is stripped, she is carried off. Her maids moan like doves, beating upon their breasts.
[OEB | EN | OT | Nahum | Chapter 2 | Verse 8] Like a pool of water is Nineveh, her waters fast ebbing away. ‘Stand firm! Stand firm!’ someone cries, but no one turns back.
[OEB | EN | OT | Nahum | Chapter 2 | Verse 9] ‘Loot the silver, loot the gold, for there is no end to the treasure, the wealth and precious things.’
[OEB | EN | OT | Nahum | Chapter 2 | Verse 10] Nineveh is empty, desolate, devastated, with faint heart and knocking knee. There is weakness in every limb, and faces grow pale.
[OEB | EN | OT | Nahum | Chapter 2 | Verse 11] Where now is the den of lions? Where now the lair of their young? Where the lion used to withdraw, with his cubs, with none to disturb them?
[OEB | EN | OT | Nahum | Chapter 2 | Verse 12] The lion tore enough for his cubs, and strangled prey for his lionesses. He filled his caves with the kill, he filled his lairs with fresh meat.
[OEB | EN | OT | Nahum | Chapter 2 | Verse 13] ‘But see, I am against you,’ the Lord of hosts declares, ‘I will burn your chariots in smoke and fire. The sword will devour your young lions. You will never again prey on the land. No more will your messengers be heard.’
