[OEB | EN | OT | Nahum | Chapter 3 | Verse 1] Woe to the bloody city! Full of lies and plunder, without end is the spoil.
[OEB | EN | OT | Nahum | Chapter 3 | Verse 2] Hear the crack of the whip, hear the rattle of wheels. Galloping horses, jolting chariots.
[OEB | EN | OT | Nahum | Chapter 3 | Verse 3] Horsemen charging, swords flashing, spears glittering, a multitude of slain, a heap of bodies, no end to the corpses over which people stumble!
[OEB | EN | OT | Nahum | Chapter 3 | Verse 4] ‘Because you acted like a whore, bewitching the nations, enticing the peoples,
[OEB | EN | OT | Nahum | Chapter 3 | Verse 5] I am against you, Nineveh’ the Lord of hosts declares. ‘I will strip your clothes and show the nations your nakedness, and the kingdoms your shame.
[OEB | EN | OT | Nahum | Chapter 3 | Verse 6] ‘I will fling loathsome filth at you, and make you an object of contempt, a spectacle,
[OEB | EN | OT | Nahum | Chapter 3 | Verse 7] so that everyone who sees you will flee from you and say: “Nineveh is laid waste, who will mourn for her?”
[OEB | EN | OT | Nahum | Chapter 3 | Verse 8] ‘Are you any better than Thebes, which stood on the banks of the Nile, with waters around as a rampart, whose wall was the sea of waters?
[OEB | EN | OT | Nahum | Chapter 3 | Verse 9] Her strength was Ethiopia and Egypt. The Libyans were her helpers, and Put with its countless people.
[OEB | EN | OT | Nahum | Chapter 3 | Verse 10] Yet she was exiled and made captive. On all corners of the streets her infants were dashed to pieces. Lots were cast for her nobles, all her great ones were bound in chains.
[OEB | EN | OT | Nahum | Chapter 3 | Verse 11] ‘You too, Nineveh, will be drunk with fear; you too will seek a place of escape from the foe.
[OEB | EN | OT | Nahum | Chapter 3 | Verse 12] All your fortresses are fig trees with the first ripe figs; if shaken, they fall into the mouth of the eater!
[OEB | EN | OT | Nahum | Chapter 3 | Verse 13] Your troops are weak as women before your foes; the gates of your land are wide open; your defenses burned down.
[OEB | EN | OT | Nahum | Chapter 3 | Verse 14] ‘Draw water for the siege, strengthen your forts. Go to the clay pits and tread the clay; take up the brick moulds.
[OEB | EN | OT | Nahum | Chapter 3 | Verse 15] There the fire will consume you, the sword will cut you down. Multiply like the locust or a swarm of grasshoppers.
[OEB | EN | OT | Nahum | Chapter 3 | Verse 16] Increase the numbers of your merchants until they are more than the stars of heaven,
[OEB | EN | OT | Nahum | Chapter 3 | Verse 17] until your watchmen are locusts, and your scribes like grasshoppers, which swarm in the hedges on a cold day; but when the sun rises they fly away, no one knows where.
[OEB | EN | OT | Nahum | Chapter 3 | Verse 18] ‘King of Assyria: your princes slumber, your nobles sleep! Your people are scattered on the mountains with no one to gather them!
[OEB | EN | OT | Nahum | Chapter 3 | Verse 19] There is no healing for your hurt, your wound is incurable. All who hear of your fate clap their hands in joy, for who has escaped your limitless cruelty?’
