[GNV | EN | OT | Judges | Chapter 12 | Verse 1] And the me of Ephraim gathered themselues together, and went Northwarde, and saide vnto Iphtah, Wherefore wentest thou to fight against the children of Ammon, and diddest not call vs to goe with thee? we will therefore burne thine house vpon thee with fire.
[GNV | EN | OT | Judges | Chapter 12 | Verse 2] And Iphtah said vnto them, I and my people were at great strife with the children of Ammon, and when I called you, ye deliuered me not out of their handes.
[GNV | EN | OT | Judges | Chapter 12 | Verse 3] So when I sawe that ye deliuered me not, I put my life in mine hands, and went vpon the children of Ammon: so the Lord deliuered them into mine handes. Wherefore then are ye come vpon me nowe to fight against me?
[GNV | EN | OT | Judges | Chapter 12 | Verse 4] Then Iphtah gathered all the men of Gilead, and fought with Ephraim: and the men of Gilead smote Ephraim, because they said, Ye Gileadites are runnagates of Ephraim among the Ephraimites, and among the Manassites.
[GNV | EN | OT | Judges | Chapter 12 | Verse 5] Also the Gileadites tooke the passages of Iorden before the Ephraimites, and when the Ephraimites that were escaped, saide, Let me passe, then the men of Gilead said vnto him, Art thou an Ephraimite? If he said, Nay,
[GNV | EN | OT | Judges | Chapter 12 | Verse 6] Then said they vnto him, Say nowe Shibboleth: and he said, Sibboleth: for he could not so pronounce: then they tooke him, and slewe him at the passages of Iorden: and there fel at that time of the Ephraimites two and fourtie thousand.
[GNV | EN | OT | Judges | Chapter 12 | Verse 7] And Iphtah iudged Israel sixe yeere: then dyed Iphtah the Gileadite, and was buryed in one of the cities of Gilead.
[GNV | EN | OT | Judges | Chapter 12 | Verse 8] After him Ibzan of Beth-lehem iudged Israel,
[GNV | EN | OT | Judges | Chapter 12 | Verse 9] Who had thirtie sonnes and thirtie daughters, which he sent out, and tooke in thirtie daughters from abroade for his sonnes. and he iudged Israel seuen yeere.
[GNV | EN | OT | Judges | Chapter 12 | Verse 10] Then Ibzan died, and was buryed at Bethlehem.
[GNV | EN | OT | Judges | Chapter 12 | Verse 11] And after him iudged Israel Elon, a Zebulonite, and he iudged Israel tenne yeere.
[GNV | EN | OT | Judges | Chapter 12 | Verse 12] Then Elon the Zebulonite dyed, and was buryed in Aijalon in the countrey of Zebulun.
[GNV | EN | OT | Judges | Chapter 12 | Verse 13] And after him Abdon the sonne of Hillel the Pirathonite iudged Israel.
[GNV | EN | OT | Judges | Chapter 12 | Verse 14] And he had fourty sonnes and thirtie nephewes that rode on seuentie assecoltes: and he iudged Israel eight yeeres.
[GNV | EN | OT | Judges | Chapter 12 | Verse 15] Then dyed Abdon the sonne of Hillel the Pirathonite, and was buryed in Pirathon, in ye lande of Ephraim, in the Mount of the Amalekites.
