[GNV | EN | OT | Judges | Chapter 10 | Verse 1] After Abimelech there arose to defend Israel, Tola, the sonne of Puah, the sone of Dodo, a man of Issachar, which dwelt in Shamir in mount Ephraim.
[GNV | EN | OT | Judges | Chapter 10 | Verse 2] And he iudged Israel three and twentie yeere and dyed, and was buried in Shamir.
[GNV | EN | OT | Judges | Chapter 10 | Verse 3] And after him arose Iair a Gileadite, and iudged Israel two and twenty yeere.
[GNV | EN | OT | Judges | Chapter 10 | Verse 4] And he had thirtie sonnes that rode on thirtie assecolts, and they had thirtie cities, which are called Hauoth-Iair vnto this day, and are in the land of Gilead.
[GNV | EN | OT | Judges | Chapter 10 | Verse 5] And Iair dyed, and was buried in Kamon.
[GNV | EN | OT | Judges | Chapter 10 | Verse 6] And the children of Israel wrought wickednesse againe in the sight of the Lord, and serued Baalim and Ashtaroth, and the gods of Aram, and the gods of Zidon, and the gods of Moab, and the gods of the children of Ammon, and the gods of the Philistims, and forsooke the Lord and serued not him.
[GNV | EN | OT | Judges | Chapter 10 | Verse 7] Therefore the wrath of the Lord was kindled against Israel, and he solde them into the hands of the Philistims, and into the handes of the children of Ammon:
[GNV | EN | OT | Judges | Chapter 10 | Verse 8] Who from that yere vexed and oppressed the children of Israel eighteene yeres, euen all the children of Israel that were beyond Iorden, in the land of the Amorites, which is in Gilead.
[GNV | EN | OT | Judges | Chapter 10 | Verse 9] Moreouer, the children of Ammon went ouer Iorden to fight against Iudah, and against Beniamin, and against the house of Ephraim: so that Israel was sore tormented.
[GNV | EN | OT | Judges | Chapter 10 | Verse 10] Then the children of Israel cryed vnto the Lord, saying, We haue sinned against thee, euen because we haue forsaken our owne God, and haue serued Baalim.
[GNV | EN | OT | Judges | Chapter 10 | Verse 11] And the Lord sayd vnto the children of Israel, Did not I deliuer you from the Egyptians and from the Amorites, from the children of Ammon and from the Philistims?
[GNV | EN | OT | Judges | Chapter 10 | Verse 12] The Zidonians also, and the Amalekites, and the Maonites did oppresse you, and ye cryed to me and I saued you out of their hands.
[GNV | EN | OT | Judges | Chapter 10 | Verse 13] Yet ye haue forsaken me, and serued other gods: wherefore I will deliuer you no more.
[GNV | EN | OT | Judges | Chapter 10 | Verse 14] Goe, and cry vnto the gods which ye haue chosen: let them saue you in the time of your tribulation.
[GNV | EN | OT | Judges | Chapter 10 | Verse 15] And the children of Israel sayde vnto the Lord, We haue sinned: doe thou vnto vs whatsoeuer please thee: onely we pray thee to deliuer vs this day.
[GNV | EN | OT | Judges | Chapter 10 | Verse 16] Then they put away the strange gods from among them and serued the Lord: and his soule was grieued for the miserie of Israel.
[GNV | EN | OT | Judges | Chapter 10 | Verse 17] Then the children of Ammon gathered themselues together, and pitched in Gilead: and the children of Israel assembled themselues, and pitched in Mizpeh.
[GNV | EN | OT | Judges | Chapter 10 | Verse 18] And the people and princes of Gilead said one to another, Whosoeuer will beginne the battell against the children of Ammon, the same shall be head ouer all the inhabitants of Gilead.
