[DARBY | EN | OT | 1 Kings | Chapter 4 | Verse 1] And king Solomon was king over all Israel.
[DARBY | EN | OT | 1 Kings | Chapter 4 | Verse 2] And these are the princes whom he had: Azariah the son of Zadok was priest;
[DARBY | EN | OT | 1 Kings | Chapter 4 | Verse 3] Elihoreph and Ahiah, the sons of Shisha, scribes; Jehoshaphat the son of Ahilud, chronicler;
[DARBY | EN | OT | 1 Kings | Chapter 4 | Verse 4] and Benaiah the son of Jehoiada was over the host; and Zadok and Abiathar were priests;
[DARBY | EN | OT | 1 Kings | Chapter 4 | Verse 5] and Azariah the son of Nathan was over the superintendents; and Zabud the son of Nathan was principal officer, the king's friend;
[DARBY | EN | OT | 1 Kings | Chapter 4 | Verse 6] and Ahishar was over the household; and Adoniram the son of Abda was over the levy-service.
[DARBY | EN | OT | 1 Kings | Chapter 4 | Verse 7] And Solomon had twelve superintendents over all Israel; and they provided food for the king and his household: each man his month in the year had to make provision.
[DARBY | EN | OT | 1 Kings | Chapter 4 | Verse 8] And these are their names: Ben-Hur, in mount Ephraim.
[DARBY | EN | OT | 1 Kings | Chapter 4 | Verse 9] Ben-Deker in Makaz, and in Shaalbim, and Beth-shemesh, and Elon-Beth-hanan.
[DARBY | EN | OT | 1 Kings | Chapter 4 | Verse 10] Ben-Hesed, in Arubboth; he had Sochoh, and all the land of Hepher.
[DARBY | EN | OT | 1 Kings | Chapter 4 | Verse 11] Ben-Abinadab had all the upland of Dor; Taphath the daughter of Solomon was his wife.
[DARBY | EN | OT | 1 Kings | Chapter 4 | Verse 12] Baana the son of Ahilud had Taanach and Megiddo, and all Beth-shean, which is by Zaretan beneath Jizreel, from Beth-shean to Abel-Meholah, as far as beyond Jokneam.
[DARBY | EN | OT | 1 Kings | Chapter 4 | Verse 13] Ben-Geber, in Ramoth-Gilead; he had the villages of Jair the son of Manasseh, which are in Gilead; he had the region of Argob, which is in Bashan, sixty great cities with walls and bars of bronze.
[DARBY | EN | OT | 1 Kings | Chapter 4 | Verse 14] Ahinadab the son of Iddo, at Mahanaim.
[DARBY | EN | OT | 1 Kings | Chapter 4 | Verse 15] Ahimaaz, in Nephtali; he also took Basmath the daughter of Solomon as wife.
[DARBY | EN | OT | 1 Kings | Chapter 4 | Verse 16] Baanah the son of Hushai, in Asher and in Aloth.
[DARBY | EN | OT | 1 Kings | Chapter 4 | Verse 17] Jehoshaphat the son of Paruah, in Issachar.
[DARBY | EN | OT | 1 Kings | Chapter 4 | Verse 18] Shimei the son of Ela, in Benjamin.
[DARBY | EN | OT | 1 Kings | Chapter 4 | Verse 19] Geber the son of Uri, in the land of Gilead, the land of Sihon the king of the Amorites, and of Og the king of Bashan; and [he was] the only superintendent that was in the land.
[DARBY | EN | OT | 1 Kings | Chapter 4 | Verse 20] Judah and Israel were many, as the sand which is by the sea in multitude, eating and drinking and making merry.
