[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 1] And it came to pass in the four hundred and eightieth year after the children of Israel were come out of the land of Egypt, in the fourth year of Solomon's reign over Israel, in the month Zif, which is the second month, that he began to build the house of Jehovah.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 2] And the house that king Solomon built for Jehovah was sixty cubits in length, and twenty in breadth, and thirty cubits in height.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 3] And the porch, in front of the temple of the house, was twenty cubits in length, in front of the house broadways, [and] ten cubits was its breadth, in front of the house.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 4] And for the house he made closed windows with fixed lattices.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 5] And against the wall of the house he built floors round about, [against] the walls of the house, round about the temple and the oracle; and he made side-chambers round about.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 6] The lowest floor was five cubits broad, and the middle one was six cubits broad, and the third was seven cubits broad; for in the [thickness of the wall of] the house he made resets round about outside, that nothing should be fastened in the walls of the house.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 7] And the house, when it was being built, was built of stone entirely made ready before it was brought thither; so that there was neither hammer nor axe nor any tool of iron heard in the house while it was being built.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 8] The entrance to the side-chambers of the middle [floor] was in the right side of the house; and they went up by winding stairs into the middle [floor], and out of the middle into the third.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 9] And he built the house, and finished it; and covered the house with beams and boards of cedar.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 10] And he built the floors against all the house, five cubits high; and they held to the house by the timbers of cedar.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 11] And the word of Jehovah came to Solomon saying,
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 12] As to this house which thou art building, if thou wilt walk in my statutes, and practise mine ordinances, and keep all my commandments to walk in them, then will I perform my word as to thee which I spoke unto David thy father;
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 13] and I will dwell among the children of Israel, and will not forsake my people Israel.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 14] And Solomon built the house and finished it.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 15] And he built the walls of the house within with boards of cedar, from the floor of the house to the walls of the roof; he overlaid [them] on the inside with wood, and overlaid the floor of the house with boards of cypress.
[DARBY | EN | OT | 1 Kings | Chapter 6 | Verse 16] And he built twenty cubits of the innermost part of the house, both floor and walls, with boards of cedar; and he built [them] for it within, to [be] the oracle, the most holy place.
