[ERV | EN | NT | Romans | Chapter 9 | Verse 1] I say the truth in Christ, I lie not, my conscience bearing witness with me in the Holy Ghost,
[ERV | EN | NT | Romans | Chapter 9 | Verse 2] that I have great sorrow and unceasing pain in my heart.
[ERV | EN | NT | Romans | Chapter 9 | Verse 3] For I could wish that I myself were anathema from Christ for my brethren’s sake, my kinsmen according to the flesh:
[ERV | EN | NT | Romans | Chapter 9 | Verse 4] who are Israelites; whose is the adoption, and the glory, and the covenants, and the giving of the law, and the service of God, and the promises;
[ERV | EN | NT | Romans | Chapter 9 | Verse 5] whose are the fathers, and of whom is Christ as concerning the flesh, who is over all, God blessed for ever. Amen.
[ERV | EN | NT | Romans | Chapter 9 | Verse 6] But it is not as though the word of God hath come to nought. For they are not all Israel, which are of Israel:
[ERV | EN | NT | Romans | Chapter 9 | Verse 7] neither, because they are Abraham’s seed, are they all children: but, In Isaac shall thy seed be called.
[ERV | EN | NT | Romans | Chapter 9 | Verse 8] That is, it is not the children of the flesh that are children of God; but the children of the promise are reckoned for a seed.
[ERV | EN | NT | Romans | Chapter 9 | Verse 9] For this is a word of promise, According to this season will I come, and Sarah shall have a son.
[ERV | EN | NT | Romans | Chapter 9 | Verse 10] And not only so; but Rebecca also having conceived by one, even by our father Isaac—
[ERV | EN | NT | Romans | Chapter 9 | Verse 11] for the children being not yet born, neither having done anything good or bad, that the purpose of God according to election might stand, not of works, but of him that calleth,
[ERV | EN | NT | Romans | Chapter 9 | Verse 12] it was said unto her, The elder shall serve the younger.
[ERV | EN | NT | Romans | Chapter 9 | Verse 13] Even as it is written, Jacob I loved, but Esau I hated.
[ERV | EN | NT | Romans | Chapter 9 | Verse 14] What shall we say then? Is there unrighteousness with God? God forbid.
[ERV | EN | NT | Romans | Chapter 9 | Verse 15] For he saith to Moses, I will have mercy on whom I have mercy, and I will have compassion on whom I have compassion.
[ERV | EN | NT | Romans | Chapter 9 | Verse 16] So then it is not of him that willeth, nor of him that runneth, but of God that hath mercy.
[ERV | EN | NT | Romans | Chapter 9 | Verse 17] For the scripture saith unto Pharaoh, For this very purpose did I raise thee up, that I might shew in thee my power, and that my name might be published abroad in all the earth.
[ERV | EN | NT | Romans | Chapter 9 | Verse 18] So then he hath mercy on whom he will, and whom he will he hardeneth.
[ERV | EN | NT | Romans | Chapter 9 | Verse 19] Thou wilt say then unto me, Why doth he still find fault? For who withstandeth his will?
[ERV | EN | NT | Romans | Chapter 9 | Verse 20] Nay but, O man, who art thou that repliest against God? Shall the thing formed say to him that formed it, Why didst thou make me thus?
[ERV | EN | NT | Romans | Chapter 9 | Verse 21] Or hath not the potter a right over the clay, from the same lump to make one part a vessel unto honour, and another unto dishonour?
[ERV | EN | NT | Romans | Chapter 9 | Verse 22] What if God, willing to shew his wrath, and to make his power known, endured with much longsuffering vessels of wrath fitted unto destruction:
[ERV | EN | NT | Romans | Chapter 9 | Verse 23] and that he might make known the riches of his glory upon vessels of mercy, which he afore prepared unto glory,
[ERV | EN | NT | Romans | Chapter 9 | Verse 24] even us, whom he also called, not from the Jews only, but also from the Gentiles?
[ERV | EN | NT | Romans | Chapter 9 | Verse 25] As he saith also in Hosea, I will call that my people, which was not my people; And her beloved, which was not beloved.
[ERV | EN | NT | Romans | Chapter 9 | Verse 26] And it shall be, that in the place where it was said unto them, Ye are not my people, There shall they be called sons of the living God.
[ERV | EN | NT | Romans | Chapter 9 | Verse 27] And Isaiah crieth concerning Israel, If the number of the children of Israel be as the sand of the sea, it is the remnant that shall be saved:
[ERV | EN | NT | Romans | Chapter 9 | Verse 28] for the Lord will execute his word upon the earth, finishing it and cutting it short.
[ERV | EN | NT | Romans | Chapter 9 | Verse 29] And, as Isaiah hath said before, Except the Lord of Sabaoth had left us a seed, We had become as Sodom, and had been made like unto Gomorrah.
[ERV | EN | NT | Romans | Chapter 9 | Verse 30] What shall we say then? That the Gentiles, which followed not after righteousness, attained to righteousness, even the righteousness which is of faith:
[ERV | EN | NT | Romans | Chapter 9 | Verse 31] but Israel, following after a law of righteousness, did not arrive at that law.
[ERV | EN | NT | Romans | Chapter 9 | Verse 32] Wherefore? Because they sought it not by faith, but as it were by works. They stumbled at the stone of stumbling;
[ERV | EN | NT | Romans | Chapter 9 | Verse 33] even as it is written, Behold, I lay in Zion a stone of stumbling and a rock of offence: And he that believeth on him shall not be put to shame.
