[ERV | EN | NT | Romans | Chapter 7 | Verse 1] Or are ye ignorant, brethren ( for I speak to men that know the law), how that the law hath dominion over a man for so long time as he liveth?
[ERV | EN | NT | Romans | Chapter 7 | Verse 2] For the woman that hath a husband is bound by law to the husband while he liveth; but if the husband die, she is discharged from the law of the husband.
[ERV | EN | NT | Romans | Chapter 7 | Verse 3] So then if, while the husband liveth, she be joined to another man, she shall be called an adulteress: but if the husband die, she is free from the law, so that she is no adulteress, though she be joined to another man.
[ERV | EN | NT | Romans | Chapter 7 | Verse 4] Wherefore, my brethren, ye also were made dead to the law through the body of Christ; that ye should be joined to another, even to him who was raised from the dead, that we might bring forth fruit unto God.
[ERV | EN | NT | Romans | Chapter 7 | Verse 5] For when we were in the flesh, the sinful passions, which were through the law, wrought in our members to bring forth fruit unto death.
[ERV | EN | NT | Romans | Chapter 7 | Verse 6] But now we have been discharged from the law, having died to that wherein we were holden; so that we serve in newness of the spirit, and not in oldness of the letter.
[ERV | EN | NT | Romans | Chapter 7 | Verse 7] What shall we say then? Is the law sin? God forbid. Howbeit, I had not known sin, except through the law: for I had not known coveting, except the law had said, Thou shalt not covet:
[ERV | EN | NT | Romans | Chapter 7 | Verse 8] but sin, finding occasion, wrought in me through the commandment all manner of coveting: for apart from the law sin is dead.
[ERV | EN | NT | Romans | Chapter 7 | Verse 9] And I was alive apart from the law once: but when the commandment came, sin revived, and I died;
[ERV | EN | NT | Romans | Chapter 7 | Verse 10] and the commandment, which was unto life, this I found to be unto death:
[ERV | EN | NT | Romans | Chapter 7 | Verse 11] for sin, finding occasion, through the commandment beguiled me, and through it slew me.
[ERV | EN | NT | Romans | Chapter 7 | Verse 12] So that the law is holy, and the commandment holy, and righteous, and good.
[ERV | EN | NT | Romans | Chapter 7 | Verse 13] Did then that which is good become death unto me? God forbid. But sin, that it might be shewn to be sin, by working death to me through that which is good;— that through the commandment sin might become exceeding sinful.
[ERV | EN | NT | Romans | Chapter 7 | Verse 14] For we know that the law is spiritual: but I am carnal, sold under sin.
[ERV | EN | NT | Romans | Chapter 7 | Verse 15] For that which I do I know not: for not what I would, that do I practise; but what I hate, that I do.
[ERV | EN | NT | Romans | Chapter 7 | Verse 16] But if what I would not, that I do, I consent unto the law that it is good.
[ERV | EN | NT | Romans | Chapter 7 | Verse 17] So now it is no more I that do it, but sin which dwelleth in me.
[ERV | EN | NT | Romans | Chapter 7 | Verse 18] For I know that in me, that is, in my flesh, dwelleth no good thing: for to will is present with me, but to do that which is good is not.
[ERV | EN | NT | Romans | Chapter 7 | Verse 19] For the good which I would I do not: but the evil which I would not, that I practise.
[ERV | EN | NT | Romans | Chapter 7 | Verse 20] But if what I would not, that I do, it is no more I that do it, but sin which dwelleth in me.
[ERV | EN | NT | Romans | Chapter 7 | Verse 21] I find then the law, that, to me who would do good, evil is present.
[ERV | EN | NT | Romans | Chapter 7 | Verse 22] For I delight in the law of God after the inward man:
[ERV | EN | NT | Romans | Chapter 7 | Verse 23] but I see a different law in my members, warring against the law of my mind, and bringing me into captivity under the law of sin which is in my members.
[ERV | EN | NT | Romans | Chapter 7 | Verse 24] O wretched man that I am! who shall deliver me out of the body of this death?
[ERV | EN | NT | Romans | Chapter 7 | Verse 25] I thank God through Jesus Christ our Lord. So then I myself with the mind serve the law of God; but with the flesh the law of sin.
