[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 1] Now Josaphat was rich and very glorious, and was joined by affinity to Achab.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 2] And he went down to him after some years to Samaria: and Achab at his coming killed sheep and oxen in abundance for him and the people that came with him: and he persuaded him to go up to Ramoth Galaad.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 3] And Achab king of Israel said to Josaphat king of Juda: Come with me to Ramoth Galaad. And he answered him: Thou art as I am, and my people as thy people, and we will be with thee in the war.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 4] And Josaphat said to the king of Israel: Inquire, I beseech thee, at present the word of the Lord.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 5] So the king of Israel gathered together of the prophets four hundred men, and he said to them: Shall we go to Ramoth Galaad to fight, or shall we forbear? But they said: Go up, and God will deliver it into the king’s hand.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 6] And Josaphat said: Is there not here a prophet of the Lord, that we may inquire also of him?
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 7] And the king of Israel said to Josaphat: There is one man, of whom we may ask the will of the Lord: but I hate him, for he never prophesieth good to me, but always evil: and it is Micheas the son of Jemla. And Josaphat said: Speak not thus, O king.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 8] And the king of Israel called one of the eunuchs, and said to him: Call quickly Micheas the son of Jemla.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 9] Now the king of Israel, and Josaphat king of Juda, both sat on their thrones, clothed in royal robes, and they sat in the open court by the gate of Samaria, and all the prophets prophesied before them.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 10] And Sedecias the son of Chanaana made him horns of iron, and said: Thus saith the Lord: With these shalt thou push Syria, till thou destroy it.
[DRA | EN | OT | 2 Chronicles | Chapter 18 | Verse 11] And all the prophets prophesied in like manner, and said: Go up to Ramoth Galaad, and thou shalt prosper, and the Lord will deliver them into the king’s hand.
