[JPS | EN | OT | Genesis | Chapter 16 | Verse 1] Now Sarai Abram's wife bore him no children; and she had a handmaid, an Egyptian, whose name was Hagar.
[JPS | EN | OT | Genesis | Chapter 16 | Verse 2] And Sarai said unto Abram: 'Behold now, the LORD hath restrained me from bearing; go in, I pray thee, unto my handmaid; it may be that I shall be builded up through her.' And Abram hearkened to the voice of Sarai.
[JPS | EN | OT | Genesis | Chapter 16 | Verse 3] And Sarai Abram's wife took Hagar the Egyptian, her handmaid, after Abram had dwelt ten years in the land of Canaan, and gave her to Abram her husband to be his wife.
[JPS | EN | OT | Genesis | Chapter 16 | Verse 4] And he went in unto Hagar, and she conceived; and when she saw that she had conceived, her mistress was despised in her eyes.
[JPS | EN | OT | Genesis | Chapter 16 | Verse 5] And Sarai said unto Abram: 'My wrong be upon thee: I gave my handmaid into thy bosom; and when she saw that she had conceived, I was despised in her eyes: the LORD judge between me and thee.'
[JPS | EN | OT | Genesis | Chapter 16 | Verse 6] But Abram said unto Sarai: 'Behold, thy maid is in thy hand; do to her that which is good in thine eyes.' And Sarai dealt harshly with her, and she fled from her face.
[JPS | EN | OT | Genesis | Chapter 16 | Verse 7] And the angel of the LORD found her by a fountain of water in the wilderness, by the fountain in the way to Shur.
[JPS | EN | OT | Genesis | Chapter 16 | Verse 8] And he said: 'Hagar, Sarai's handmaid, whence camest thou? and whither goest thou?' And she said: 'I flee from the face of my mistress Sarai.'
[JPS | EN | OT | Genesis | Chapter 16 | Verse 9] And the angel of the LORD said unto her: 'Return to thy mistress, and submit thyself under her hands.'
[JPS | EN | OT | Genesis | Chapter 16 | Verse 10] And the angel of the LORD said unto her: 'I will greatly multiply thy seed, that it shall not be numbered for multitude.
[JPS | EN | OT | Genesis | Chapter 16 | Verse 11] And the angel of the LORD said unto her: 'Behold, thou art with child, and shalt bear a son; and thou shalt call his name Ishmael, because the LORD hath heard thy affliction.
[JPS | EN | OT | Genesis | Chapter 16 | Verse 12] And he shall be a wild ass of a man: his hand shall be against every man, and every man's hand against him; and he shall dwell in the face of all his brethren.'
[JPS | EN | OT | Genesis | Chapter 16 | Verse 13] And she called the name of the LORD that spoke unto her, Thou art a God of seeing; for she said: 'Have I even here seen Him that seeth Me?'
[JPS | EN | OT | Genesis | Chapter 16 | Verse 14] Wherefore the well was called 'Beer-lahai-roi; behold, it is between Kadesh and Bered.
[JPS | EN | OT | Genesis | Chapter 16 | Verse 15] And Hagar bore Abram a son; and Abram called the name of his son, whom Hagar bore, Ishmael.
[JPS | EN | OT | Genesis | Chapter 16 | Verse 16] And Abram was fourscore and six years old, when Hagar bore Ishmael to Abram.
