[JPS | EN | OT | Genesis | Chapter 29 | Verse 1] Then Jacob went on his journey, and came to the land of the children of the east.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 2] And he looked, and behold a well in the field, and, lo, three flocks of sheep lying there by it. — For out of that well they watered the flocks. And the stone upon the well's mouth was great.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 3] And thither were all the flocks gathered; and they rolled the stone from the well's mouth, and watered the sheep, and put the stone back upon the well's mouth in its place. —
[JPS | EN | OT | Genesis | Chapter 29 | Verse 4] And Jacob said unto them: 'My brethren, whence are ye?' And they said: 'Of Haran are we.'
[JPS | EN | OT | Genesis | Chapter 29 | Verse 5] And he said unto them: 'Know ye Laban the son of Nahor?' And they said: 'We know him.'
[JPS | EN | OT | Genesis | Chapter 29 | Verse 6] And he said unto them: 'Is it well with him?' And they said: 'It is well; and, behold, Rachel his daughter cometh with the sheep.'
[JPS | EN | OT | Genesis | Chapter 29 | Verse 7] And he said: 'Lo, it is yet high day, neither is it time that the cattle should be gathered together; water ye the sheep, and go and feed them.'
[JPS | EN | OT | Genesis | Chapter 29 | Verse 8] And they said: 'We cannot, until all the flocks be gathered together, and they roll the stone from the well's mouth; then we water the sheep.'
[JPS | EN | OT | Genesis | Chapter 29 | Verse 9] While he was yet speaking with them, Rachel came with her father's sheep; for she tended them.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 10] And it came to pass, when Jacob saw Rachel the daughter of Laban his mother's brother, and the sheep of Laban his mother's brother, that Jacob went near, and rolled the stone from the well's mouth, and watered the flock of Laban his mother's brother.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 11] And Jacob kissed Rachel, and lifted up his voice, and wept.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 12] And Jacob told Rachel that he was her father's brother, and that he was Rebekah's son; and she ran and told her father.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 13] And it came to pass, when Laban heard the tidings of Jacob his sister's son, that he ran to meet him, and embraced him, and kissed him, and brought him to his house. And he told Laban all these things.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 14] And Laban said to him: 'Surely thou art my bone and my flesh.' And he abode with him the space of a month.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 15] And Laban said unto Jacob: 'Because thou art my brother, shouldest thou therefore serve me for nought? tell me, what shall thy wages be?'
[JPS | EN | OT | Genesis | Chapter 29 | Verse 16] Now Laban had two daughters: the name of the elder was Leah, and the name of the younger was Rachel.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 17] And Leah's eyes were weak; but Rachel was of beautiful form and fair to look upon.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 18] And Jacob loved Rachel; and he said: 'I will serve thee seven years for Rachel thy younger daughter.'
[JPS | EN | OT | Genesis | Chapter 29 | Verse 19] And Laban said: 'It is better that I give her to thee, than that I should give her to another man; abide with me.'
[JPS | EN | OT | Genesis | Chapter 29 | Verse 20] And Jacob served seven years for Rachel; and they seemed unto him but a few days, for the love he had to her.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 21] And Jacob said unto Laban: 'Give me my wife, for my days are filled, that I may go in unto her.'
[JPS | EN | OT | Genesis | Chapter 29 | Verse 22] And Laban gathered together all the men of the place, and made a feast.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 23] And it came to pass in the evening, that he took Leah his daughter, and brought her to him; and he went in unto her.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 24] And Laban gave Zilpah his handmaid unto his daughter Leah for a handmaid.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 25] And it came to pass in the morning that, behold, it was Leah; and he said to Laban: 'What is this thou hast done unto me? did not I serve with thee for Rachel? wherefore then hast thou beguiled me?'
[JPS | EN | OT | Genesis | Chapter 29 | Verse 26] And Laban said: 'It is not so done in our place, to give the younger before the first-born.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 27] Fulfil the week of this one, and we will give thee the other also for the service which thou shalt serve with me yet seven other years.'
[JPS | EN | OT | Genesis | Chapter 29 | Verse 28] And Jacob did so, and fulfilled her week; and he gave him Rachel his daughter to wife.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 29] And Laban gave to Rachel his daughter Bilhah his handmaid to be her handmaid.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 30] And he went in also unto Rachel, and he loved Rachel more than Leah, and served with him yet seven other years.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 31] And the LORD saw that Leah was hated, and he opened her womb; but Rachel was barren.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 32] And Leah conceived, and bore a son, and she called his name Reuben; for she said: 'Because the LORD hath looked upon my affliction; for now my husband will love me.'
[JPS | EN | OT | Genesis | Chapter 29 | Verse 33] And she conceived again, and bore a son; and said: 'Because the LORD hath heard that I am hated, He hath therefore given me this son also.' And she called his name Simeon.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 34] And she conceived again, and bore a son; and said: 'Now this time will my husband be joined unto me, because I have borne him three sons.' Therefore was his name called Levi.
[JPS | EN | OT | Genesis | Chapter 29 | Verse 35] And she conceived again, and bore a son; and she said: 'This time will I praise the LORD.' Therefore she called his name Judah; and she left off bearing.
