[JPS | EN | OT | Genesis | Chapter 50 | Verse 1] And Joseph fell upon his father's face, and wept upon him, and kissed him.
[JPS | EN | OT | Genesis | Chapter 50 | Verse 2] And Joseph commanded his servants the physicians to embalm his father. And the physicians embalmed Israel.
[JPS | EN | OT | Genesis | Chapter 50 | Verse 3] And forty days were fulfilled for him; for so are fulfilled the days of embalming. And the Egyptians wept for him threescore and ten days.
[JPS | EN | OT | Genesis | Chapter 50 | Verse 4] And when the days of weeping for him were past, Joseph spoke unto the house of Pharaoh, saying: 'If now I have found favour in your eyes, speak, I pray you, in the ears of Pharaoh, saying:
[JPS | EN | OT | Genesis | Chapter 50 | Verse 5] My father made me swear, saying: Lo, I die; in my grave which I have digged for me in the land of Canaan, there shalt thou bury me. Now therefore let me go up, I pray thee, and bury my father, and I will come back.'
[JPS | EN | OT | Genesis | Chapter 50 | Verse 6] And Pharaoh said: 'Go up, and bury thy father, according as he made thee swear.'
[JPS | EN | OT | Genesis | Chapter 50 | Verse 7] And Joseph went up to bury his father; and with him went up all the servants of Pharaoh, the elders of his house, and all the elders of the land of Egypt,
[JPS | EN | OT | Genesis | Chapter 50 | Verse 8] and all the house of Joseph, and his brethren, and his father's house; only their little ones, and their flocks, and their herds, they left in the land of Goshen.
[JPS | EN | OT | Genesis | Chapter 50 | Verse 9] And there went up with him both chariots and horsemen; and it was a very great company.
[JPS | EN | OT | Genesis | Chapter 50 | Verse 10] And they came to the threshing-floor of Atad, which is beyond the Jordan, and there they wailed with a very great and sore wailing; and he made a mourning for his father seven days.
[JPS | EN | OT | Genesis | Chapter 50 | Verse 11] And when the inhabitants of the land, the Canaanites, saw the mourning in the floor of Atad, they said: 'This is a grievous mourning to the Egyptians.' Wherefore the name of it was called Abel-mizraim, which is beyond the Jordan.
[JPS | EN | OT | Genesis | Chapter 50 | Verse 12] And his sons did unto him according as he commanded them.
[JPS | EN | OT | Genesis | Chapter 50 | Verse 13] For his sons carried him into the land of Canaan, and buried him in the cave of the field of Machpelah, which Abraham bought with the field, for a possession of a burying-place, of Ephron the Hittite, in front of Mamre.
[JPS | EN | OT | Genesis | Chapter 50 | Verse 14] And Joseph returned into Egypt, he, and his brethren, and all that went up with him to bury his father, after he had buried his father.
[JPS | EN | OT | Genesis | Chapter 50 | Verse 15] And when Joseph's brethren saw that their father was dead, they said: 'It may be that Joseph will hate us, and will fully requite us all the evil which we did unto him.'
[JPS | EN | OT | Genesis | Chapter 50 | Verse 16] And they sent a message unto Joseph, saying: 'Thy father did command before he died, saying:
[JPS | EN | OT | Genesis | Chapter 50 | Verse 17] So shall ye say unto Joseph: Forgive, I pray thee now, the transgression of thy brethren, and their sin, for that they did unto thee evil. And now, we pray thee, forgive the transgression of the servants of the God of thy father.' And Joseph wept when they spoke unto him.
[JPS | EN | OT | Genesis | Chapter 50 | Verse 18] And his brethren also went and fell down before his face; and they said: 'Behold, we are thy bondmen.'
[JPS | EN | OT | Genesis | Chapter 50 | Verse 19] And Joseph said unto them: 'Fear not; for am I in the place of God?
[JPS | EN | OT | Genesis | Chapter 50 | Verse 20] And as for you, ye meant evil against me; but God meant it for good, to bring to pass, as it is this day, to save much people alive.
[JPS | EN | OT | Genesis | Chapter 50 | Verse 21] Now therefore fear ye not; I will sustain you, and your little ones.' And he comforted them, and spoke kindly unto them.
[JPS | EN | OT | Genesis | Chapter 50 | Verse 22] And Joseph dwelt in Egypt, he, and his father's house; and Joseph lived a hundred and ten years.
[JPS | EN | OT | Genesis | Chapter 50 | Verse 23] And Joseph saw Ephraim's children of the third generation; the children also of Machir the son of Manasseh were born upon Joseph's knees.
[JPS | EN | OT | Genesis | Chapter 50 | Verse 24] And Joseph said unto his brethren: 'I die; but God will surely remember you, and bring you up out of this land unto the land which He swore to Abraham, to Isaac, and to Jacob.'
[JPS | EN | OT | Genesis | Chapter 50 | Verse 25] And Joseph took an oath of the children of Israel, saying: 'God will surely remember you, and ye shall carry up my bones from hence.'
[JPS | EN | OT | Genesis | Chapter 50 | Verse 26] So Joseph died, being a hundred and ten years old. And they embalmed him, and he was put in a coffin in Egypt.
