[JPS | EN | OT | Genesis | Chapter 23 | Verse 1] And the life of Sarah was a hundred and seven and twenty years; these were the years of the life of Sarah.
[JPS | EN | OT | Genesis | Chapter 23 | Verse 2] And Sarah died in Kiriatharba — the same is Hebron — in the land of Canaan; and Abraham came to mourn for Sarah, and to weep for her.
[JPS | EN | OT | Genesis | Chapter 23 | Verse 3] And Abraham rose up from before his dead, and spoke unto the children of Heth, saying:
[JPS | EN | OT | Genesis | Chapter 23 | Verse 4] 'I am a stranger and a sojourner with you: give me a possession of a burying-place with you, that I may bury my dead out of my sight.'
[JPS | EN | OT | Genesis | Chapter 23 | Verse 5] And the children of Heth answered Abraham, saying unto him:
[JPS | EN | OT | Genesis | Chapter 23 | Verse 6] 'Hear us, my lord: thou art a mighty prince among us; in the choice of our sepulchres bury thy dead; none of us shall withhold from thee his sepulchre, but that thou mayest bury thy dead.'
[JPS | EN | OT | Genesis | Chapter 23 | Verse 7] And Abraham rose up, and bowed down to the people of the land, even to the children of Heth.
[JPS | EN | OT | Genesis | Chapter 23 | Verse 8] And he spoke with them, saying: 'If it be your mind that I should bury my dead out of my sight, hear me, and entreat for me to Ephron the son of Zohar,
[JPS | EN | OT | Genesis | Chapter 23 | Verse 9] that he may give me the cave of Machpelah, which he hath, which is in the end of his field; for the full price let him give it to me in the midst of you for a possession of a burying-place.'
[JPS | EN | OT | Genesis | Chapter 23 | Verse 10] Now Ephron was sitting in the midst of the children of Heth; and Ephron the Hittite answered Abraham in the hearing of the children of Heth, even of all that went in at the gate of his city, saying:
[JPS | EN | OT | Genesis | Chapter 23 | Verse 11] 'Nay, my lord, hear me: the field give I thee, and the cave that is therein, I give it thee; in the presence of the sons of my people give I it thee; bury thy dead.'
[JPS | EN | OT | Genesis | Chapter 23 | Verse 12] And Abraham bowed down before the people of the land.
[JPS | EN | OT | Genesis | Chapter 23 | Verse 13] And he spoke unto Ephron in the hearing of the people of the land, saying: 'But if thou wilt, I pray thee, hear me: I will give the price of the field; take it of me, and I will bury my dead there.'
[JPS | EN | OT | Genesis | Chapter 23 | Verse 14] And Ephron answered Abraham, saying unto him:
[JPS | EN | OT | Genesis | Chapter 23 | Verse 15] 'My lord, hearken unto me: a piece of land worth four hundred shekels of silver, what is that betwixt me and thee? bury therefore thy dead.'
[JPS | EN | OT | Genesis | Chapter 23 | Verse 16] And Abraham hearkened unto Ephron; and Abraham weighed to Ephron the silver, which he had named in the hearing of the children of Heth, four hundred shekels of silver, current money with the merchant.
[JPS | EN | OT | Genesis | Chapter 23 | Verse 17] So the field of Ephron, which was in Machpelah, which was before Mamre, the field, and the cave which was therein, and all the trees that were in the field, that were in all the border thereof round about, were made sure
[JPS | EN | OT | Genesis | Chapter 23 | Verse 18] unto Abraham for a possession in the presence of the children of Heth, before all that went in at the gate of his city.
[JPS | EN | OT | Genesis | Chapter 23 | Verse 19] And after this, Abraham buried Sarah his wife in the cave of the field of Machpelah before Mamre — the same is Hebron — in the land of Canaan.
[JPS | EN | OT | Genesis | Chapter 23 | Verse 20] And the field, and the cave that is therein, were made sure unto Abraham for a possession of a burying-place by the children of Heth.
