[JPS | EN | OT | Genesis | Chapter 1 | Verse 1] IN THE beginning God created the heaven and the earth.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 2] Now the earth was unformed and void, and darkness was upon the face of the deep; and the spirit of God hovered over the face of the waters.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 3] And God said: 'Let there be light.' And there was light.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 4] And God saw the light, that it was good; and God divided the light from the darkness.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 5] And God called the light Day, and the darkness He called Night. And there was evening and there was morning, one day.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 6] And God said: 'Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.'
[JPS | EN | OT | Genesis | Chapter 1 | Verse 7] And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament; and it was so.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 8] And God called the firmament Heaven. And there was evening and there was morning, a second day.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 9] And God said: 'Let the waters under the heaven be gathered together unto one place, and let the dry land appear.' And it was so.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 10] And God called the dry land Earth, and the gathering together of the waters called He Seas; and God saw that it was good.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 11] And God said: 'Let the earth put forth grass, herb yielding seed, and fruit-tree bearing fruit after its kind, wherein is the seed thereof, upon the earth.' And it was so.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 12] And the earth brought forth grass, herb yielding seed after its kind, and tree bearing fruit, wherein is the seed thereof, after its kind; and God saw that it was good.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 13] And there was evening and there was morning, a third day.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 14] And God said: 'Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days and years;
[JPS | EN | OT | Genesis | Chapter 1 | Verse 15] and let them be for lights in the firmament of the heaven to give light upon the earth.' And it was so.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 16] And God made the two great lights: the greater light to rule the day, and the lesser light to rule the night; and the stars.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 17] And God set them in the firmament of the heaven to give light upon the earth,
[JPS | EN | OT | Genesis | Chapter 1 | Verse 18] and to rule over the day and over the night, and to divide the light from the darkness; and God saw that it was good.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 19] And there was evening and there was morning, a fourth day.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 20] And God said: 'Let the waters swarm with swarms of living creatures, and let fowl fly above the earth in the open firmament of heaven.'
[JPS | EN | OT | Genesis | Chapter 1 | Verse 21] And God created the great sea-monsters, and every living creature that creepeth, wherewith the waters swarmed, after its kind, and every winged fowl after its kind; and God saw that it was good.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 22] And God blessed them, saying: 'Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth.'
[JPS | EN | OT | Genesis | Chapter 1 | Verse 23] And there was evening and there was morning, a fifth day.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 24] And God said: 'Let the earth bring forth the living creature after its kind, cattle, and creeping thing, and beast of the earth after its kind.' And it was so.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 25] And God made the beast of the earth after its kind, and the cattle after their kind, and every thing that creepeth upon the ground after its kind; and God saw that it was good.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 26] And God said: 'Let us make man in our image, after our likeness; and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.'
[JPS | EN | OT | Genesis | Chapter 1 | Verse 27] And God created man in His own image, in the image of God created He him; male and female created He them.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 28] And God blessed them; and God said unto them: 'Be fruitful, and multiply, and replenish the earth, and subdue it; and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that creepeth upon the earth.'
[JPS | EN | OT | Genesis | Chapter 1 | Verse 29] And God said: 'Behold, I have given you every herb yielding seed, which is upon the face of all the earth, and every tree, in which is the fruit of a tree yielding seed — to you it shall be for food;
[JPS | EN | OT | Genesis | Chapter 1 | Verse 30] and to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is a living soul, I have given every green herb for food.' And it was so.
[JPS | EN | OT | Genesis | Chapter 1 | Verse 31] And God saw every thing that He had made, and, behold, it was very good. And there was evening and there was morning, the sixth day.
