[DRA | EN | OT | Numbers | Chapter 32 | Verse 1] And the sons of Ruben and Gad had many flocks of cattle, and their substance in beasts was infinite. And when they saw the lands of Jazer and Galaad fit for feeding cattle,
[DRA | EN | OT | Numbers | Chapter 32 | Verse 2] They came to Moses and Eleazar the priest, and the princes of the multitude, and said:
[DRA | EN | OT | Numbers | Chapter 32 | Verse 3] Ataroth, and Dibon, and Jazer, and Nemra, Hesebon, and Eleale, and Saban, and Nebo, and Beon,
[DRA | EN | OT | Numbers | Chapter 32 | Verse 4] The land, which the Lord hath conquered in the sight of the children of Israel, is a very fertile soil for the feeding of beasts: and we thy servants have very much cattle:
[DRA | EN | OT | Numbers | Chapter 32 | Verse 5] And we pray thee, if we have found favour in thy sight, that thou give it to us thy servants in possession, and make us not pass over the Jordan.
[DRA | EN | OT | Numbers | Chapter 32 | Verse 6] And Moses answered them: What, shall your brethren go to fight, and will you sit here?
[DRA | EN | OT | Numbers | Chapter 32 | Verse 7] Why do ye overturn the minds of the children of Israel, that they may not dare to pass into the place which the Lord hath given them?
[DRA | EN | OT | Numbers | Chapter 32 | Verse 8] Was it not thus your fathers did, when I sent from Cadesbarne to view the land?
[DRA | EN | OT | Numbers | Chapter 32 | Verse 9] And when they were come as far as the valley of the cluster, having viewed all the country, they overturned the hearts of the children of Israel, that they should not enter into the coasts, which the Lord gave them.
[DRA | EN | OT | Numbers | Chapter 32 | Verse 10] And he swore in his anger, saying:
[DRA | EN | OT | Numbers | Chapter 32 | Verse 11] If these men, that came up out of Egypt, from twenty years old and upward, shall see the land, which I promised with an oath to Abraham, Isaac, and Jacob: because they would not follow me,
[DRA | EN | OT | Numbers | Chapter 32 | Verse 12] Except Caleb the son of Jephone the Cenezite, and Josue the son of Nun: these have fulfilled my will.
[DRA | EN | OT | Numbers | Chapter 32 | Verse 13] And the Lord being angry against Israel, led them about through the desert forty years, until the whole generation, that had done evil in his sight, was consumed.
[DRA | EN | OT | Numbers | Chapter 32 | Verse 14] And behold, said he, you are risen up instead of your fathers, the increase and offspring of sinful men, to augment the fury of the Lord against Israel.
[DRA | EN | OT | Numbers | Chapter 32 | Verse 15] For if you will not follow him, he will leave the people in the wilderness, and you shall be the cause of the destruction of all.
