[DRA | EN | OT | Numbers | Chapter 35 | Verse 1] And the Lord spoke these things also to Moses in the plains of Moab by the Jordan, over against Jericho:
[DRA | EN | OT | Numbers | Chapter 35 | Verse 2] Command the children of Israel that they give to the Levites out of their possessions,
[DRA | EN | OT | Numbers | Chapter 35 | Verse 3] Cities to dwell in, and their suburbs round about: that they may abide in the towns, and the suburbs may be for their cattle and beasts:
[DRA | EN | OT | Numbers | Chapter 35 | Verse 4] Which suburbs shall reach from the walls of the cities outward, a thousand paces on every side:
[DRA | EN | OT | Numbers | Chapter 35 | Verse 5] Toward the east shall be two thousand cubits: and toward the south in like manner shall be two thousand cubits: toward the sea also, which looketh to the west, shall be the same extent: and the north side shall be bounded with the like limits. And the cities shall be in the midst, and the suburbs without.
[DRA | EN | OT | Numbers | Chapter 35 | Verse 6] And among the cities, which you shall give to the Levites, six shall be separated for refuge to fugitives, that he who hath shed blood may flee to them: and besides these there shall be other forty-two cities,
[DRA | EN | OT | Numbers | Chapter 35 | Verse 7] That is, in all forty-eight with their suburbs.
[DRA | EN | OT | Numbers | Chapter 35 | Verse 8] And of these cities which shall be given out of the possessions of the children of Israel, from them that have more, more shall be taken: and from them that have less, fewer. Each shall give towns to the Levites according to the extent of their inheritance.
[DRA | EN | OT | Numbers | Chapter 35 | Verse 9] The Lord said to Moses:
[DRA | EN | OT | Numbers | Chapter 35 | Verse 10] Speak to the children of Israel, and thou shalt say to them: When you shall have passed over the Jordan into the land of Chanaan,
[DRA | EN | OT | Numbers | Chapter 35 | Verse 11] Determine what cities shall be for the refuge of fugitives, who have shed blood against their will.
[DRA | EN | OT | Numbers | Chapter 35 | Verse 12] And when the fugitive shall be in them, the kinsman of him that is slain may not have power to kill him, until he stand before the multitude, and his cause be judged.
[DRA | EN | OT | Numbers | Chapter 35 | Verse 13] And of those cities, that are separated for the refuge of fugitives,
[DRA | EN | OT | Numbers | Chapter 35 | Verse 14] Three shall be beyond the Jordan, and three in the land of Chanaan,
[DRA | EN | OT | Numbers | Chapter 35 | Verse 15] As well for the children of Israel as for strangers and sojourners, that he may flee to them, who hath shed blood against his will.
[DRA | EN | OT | Numbers | Chapter 35 | Verse 16] If any man strike with iron, and he die that was struck: he shall be guilty of murder, and he himself shall die.
[DRA | EN | OT | Numbers | Chapter 35 | Verse 17] If he throw a stone, and he that is struck die: he shall be punished in the same manner.
[DRA | EN | OT | Numbers | Chapter 35 | Verse 18] If he that is struck with wood die: he shall be revenged by the blood of him that struck him.
[DRA | EN | OT | Numbers | Chapter 35 | Verse 19] The kinsman of him that was slain, shall kill the murderer: as soon as he apprehendeth him, he shall kill him.
[DRA | EN | OT | Numbers | Chapter 35 | Verse 20] If through hatred any one push a man, or fling any thing at him with ill design:
[DRA | EN | OT | Numbers | Chapter 35 | Verse 21] Or being his enemy, strike; him with his hand, and he die: the striker shall be guilty of murder: the kinsman of him that was slain as soon as he findeth him, shall kill him.
[DRA | EN | OT | Numbers | Chapter 35 | Verse 22] But if by chance medley, and without hatred,
[DRA | EN | OT | Numbers | Chapter 35 | Verse 23] And enmity, he do any of these things,
[DRA | EN | OT | Numbers | Chapter 35 | Verse 24] And this be proved in the hearing of the people, and the cause be debated between him that struck, and the next of kin:
[DRA | EN | OT | Numbers | Chapter 35 | Verse 25] The innocent shall be delivered from the hand of the revenger, and shall be brought back by sentence into the city, to which he had fled, and he shall abide there until the death of the high priest, that is anointed with the holy oil.
[DRA | EN | OT | Numbers | Chapter 35 | Verse 26] If the murderer be found without the limits of the cities that are appointed for the banished,
[DRA | EN | OT | Numbers | Chapter 35 | Verse 27] And be struck by him that is the avenger of blood: he shall not be guilty that killed him.
[DRA | EN | OT | Numbers | Chapter 35 | Verse 28] For the fugitive ought to have stayed in the city until the death of the high priest: and after he is dead, then shall the manslayer return to his own country.
[DRA | EN | OT | Numbers | Chapter 35 | Verse 29] These things shall be perpetual, and for an ordinance in all your dwellings.
[DRA | EN | OT | Numbers | Chapter 35 | Verse 30] The murderer shall be punished by witnesses: none shall be condemned upon the evidence of one man.
[DRA | EN | OT | Numbers | Chapter 35 | Verse 31] You shall not take money of him that is guilty of blood, but he shall die forthwith.
[DRA | EN | OT | Numbers | Chapter 35 | Verse 32] The banished and fugitives before the death of the high priest may by no means return into their own cities.
[DRA | EN | OT | Numbers | Chapter 35 | Verse 33] Defile not the land of your habitation, which is stained with the blood of the innocent: neither can it otherwise be expiated, but by his blood that hath shed the blood of another.
[DRA | EN | OT | Numbers | Chapter 35 | Verse 34] And thus shall your possession he cleansed, myself abiding with you. For I am the Lord that dwell among the children of Israel.
