[ASV | EN | OT | Sirach | Chapter 14 | Verse 1] Blessed is the man that hath not slipped with his mouth, And is not pricked with sorrow for sins.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 2] Blessed is he whose soul doth not condemn him, And who is not fallen from his hope.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 3] Riches are not comely for a niggard; And what should an envious man do with money?
[ASV | EN | OT | Sirach | Chapter 14 | Verse 4] He that gathereth by taking from his own soul gathereth for others; And others shall revel in his goods.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 5] He that is evil to himself, to whom will he be good? And he shall not rejoice in his possessions.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 6] There is none more evil than he that envieth himself; And this is a recompense of his wickedness.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 7] Even if he doeth good, he doeth it in forgetfulness; And at the last he showeth forth his wickedness.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 8] Evil is he that envieth with his eye, Turning away the face, and despising the souls of men.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 9] A covetous man’s eye is not satisfied with his portion; And wicked injustice drieth up his soul.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 10] An evil eye is grudging of bread, And he is miserly at his table.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 11] My son, according as thou hast, do well unto thyself, And bring offerings unto the Lord worthily.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 12] Remember that death will not tarry, And that the covenant of Hades is not shown unto thee.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 13] Do well unto thy friend before thou die; And according to thy ability stretch out thy hand and give to him.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 14] Defraud not thyself of a good day; And let not the portion of a good desire pass thee by.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 15] Shalt thou not leave thy labors unto another? And thy toils to be divided by lot?
[ASV | EN | OT | Sirach | Chapter 14 | Verse 16] Give, and take, and beguile thy soul; For there is no seeking of luxury in Hades.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 17] All flesh waxeth old as a garment; For the covenant from the beginning is, Thou shalt die the death.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 18] As of the leaves flourishing on a thick tree, Some it sheddeth, and some it maketh to grow; So also of the generations of flesh and blood, One cometh to an end, and another is born.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 19] Every work rotteth and falleth away, And the worker thereof shall depart with it.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 20] Blessed is the man that shall meditate in wisdom, And that shall discourse by his understanding.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 21] He that considereth her ways in his heart Shall also have knowledge in her secrets.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 22] Go forth after her as one that tracketh, And lie in wait in her ways.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 23] He that prieth in at her windows Shall also hearken at her doors.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 24] He that lodgeth close to her house Shall also fasten a nail in her walls.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 25] He shall pitch his tent nigh at hand to her, And shall lodge in a lodging where good things are.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 26] He shall set his children under her shelter, And shall rest under her branches.
[ASV | EN | OT | Sirach | Chapter 14 | Verse 27] By her he shall be covered from heat, And shall lodge in her glory.
