[ASV | EN | OT | Sirach | Chapter 7 | Verse 1] Do no evil, so shall no evil overtake thee.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 2] Depart from wrong, and it shall turn aside from thee.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 3] My son, sow not upon the furrows of unrighteousness, And thou shalt not reap them sevenfold.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 4] Seek not of the Lord preeminence, Neither of the king the seat of honor.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 5] Justify not thyself in the presence of the Lord; And display not thy wisdom before the king.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 6] Seek not to be a judge, Lest thou be not able to take away iniquities; Lest haply thou fear the person of a mighty man, And lay a stumbling block in the way of thy uprightness.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 7] Sin not against the multitude of the city, And cast not thyself down in the crowd.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 8] Bind not up sin twice; For in one sin thou shalt not be unpunished.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 9] Say not, He will look upon the multitude of my gifts, And when I offer to the Most High God, he will accept it.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 10] Be not fainthearted in thy prayer; And neglect not to give alms.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 11] Laugh not a man to scorn when he is in the bitterness of his soul; For there is one who humbleth and exalteth.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 12] Devise not a lie against thy brother; Neither do the like to a friend.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 13] Love not to make any manner of lie; For the custom thereof is not for good.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 14] Prate not in the multitude of elders; And repeat not thy words in thy prayer.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 15] Hate not laborious work; Neither husbandry, which the Most High hath ordained.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 16] Number not thyself among the multitude of sinners: Remember that wrath will not tarry.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 17] Humble thy soul greatly; For the punishment of the ungodly man is fire and the worm.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 18] Change not a friend for a thing indifferent; Neither a true brother for the gold of Ophir.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 19] Forego not a wise and good wife; For her grace is above gold.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 20] Treat not evil a servant that worketh truly, Nor a hireling that giveth thee his life.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 21] Let thy soul love a wise servant; Defraud him not of liberty.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 22] Hast thou cattle? have an eye to them; And if they are profitable to thee, let them stay by thee.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 23] Hast thou children? correct them, And bow down their neck from their youth.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 24] Hast thou daughters? give heed to their body, And make not thy face cheerful toward them.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 25] Give thy daughter in marriage, and thou shalt have accomplished a great matter: And give her to a man of understanding.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 26] Hast thou a wife after thy mind? cast her not out: But trust not thyself to one that is hateful.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 27] Give glory to thy father with thy whole heart; And forget not the pangs of thy mother.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 28] Remember that of them thou wast born: And what wilt thou recompense them for the things that they have done for thee?
[ASV | EN | OT | Sirach | Chapter 7 | Verse 29] Fear the Lord with all thy soul; And reverence his priests.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 30] With all thy strength love him that made thee; And forsake not his ministers.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 31] Fear the Lord, and glorify the priest; And give him his portion, even as it is commanded thee; The firstfruits, and the trespass offering, and the gift of the shoulders, And the sacrifice of sanctification, and the firstfruits of holy things.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 32] Also to the poor man stretch out thy hand, That thy blessing may be perfected.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 33] A gift hath grace in the sight of every man living; And for a dead man keep not back grace.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 34] Be not wanting to them that weep; And mourn with them that mourn.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 35] Be not slow to visit a sick man; For by such things thou shalt gain love.
[ASV | EN | OT | Sirach | Chapter 7 | Verse 36] In all thy matters remember thy last end, And thou shalt never do amiss.
