[ASV | EN | OT | Sirach | Chapter 36 | Verse 1] Have mercy upon us, O Lord the God of all, and behold;
[ASV | EN | OT | Sirach | Chapter 36 | Verse 2] And send thy fear upon all the nations:
[ASV | EN | OT | Sirach | Chapter 36 | Verse 3] Lift up thy hand against the strange nations; And let them see thy mighty power.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 4] As thou wast sanctified in us before them, So be thou magnified in them before us.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 5] And let them know thee, as we also have known thee, That there is no God but only thou, O God.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 6] Show new signs, and work diverse wonders; Glorify thy hand and thy right arm.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 7] Raise up indignation, and pour out wrath; Take away the adversary, and destroy the enemy.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 8] Hasten the time, and remember the oath; And let them declare thy mighty works.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 9] Let him that escapeth be devoured by the rage of fire; And may they that harm thy people find destruction.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 10] Crush the heads of the rulers of the enemies, That say, There is none but we.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 11] Gather all the tribes of Jacob together, And take them for thine inheritance, as from the beginning.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 12] O Lord, have mercy upon the people that is called by thy name, And upon Israel, whom thou didst liken unto a firstborn.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 13] Have compassion upon the city of thy sanctuary, Jerusalem, the place of thy rest.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 14] Fill Zion; exalt thine oracles, And fill thy people with thy glory.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 15] Give testimony unto those that were thy creatures in the beginning, And raise up the prophecies that have been in thy name.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 16] Give reward unto them that wait for thee: And men shall put their trust in thy prophets.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 17] Hearken, O Lord, to the prayer of thy suppliants, According to the blessing of Aaron concerning thy people; And all they that are on the earth shall know That thou art the Lord, the eternal God.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 18] The belly will eat any meat; Yet is one meat better than another.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 19] The mouth tasteth meats taken in hunting: So doth an understanding heart false speeches.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 20] A froward heart will cause heaviness: And a man of experience will recompense him.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 21] A woman will receive any man; But one daughter is better than another.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 22] The beauty of a woman cheereth the countenance; And a man desireth nothing so much.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 23] If there is on her tongue mercy and meekness, Her husband is not like the sons of men.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 24] He that getteth a wife entereth upon a possession: A help meet for him, and a pillar of rest.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 25] Where no hedge is, the possession will be laid waste: And he that hath no wife will mourn as he wandereth up and down.
[ASV | EN | OT | Sirach | Chapter 36 | Verse 26] For who will trust a nimble robber, that skippeth from city to city? Even so who shall trust a man that hath no nest, and lodgeth wheresoever he findeth himself at nightfall?
