[ASV | EN | OT | Sirach | Chapter 30 | Verse 1] He that loveth his son will continue to lay stripes upon him, That he may have joy of him in the end.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 2] He that chastiseth his son shall have profit of him, And shall glory of him among his acquaintance.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 3] He that teacheth his son shall provoke his enemy to jealousy; And before friends he shall rejoice of him.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 4] His father dieth, and is as though he had not died; For he hath left one behind him like himself.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 5] In his life, he saw and rejoiced in him; And when he died, he sorrowed not:
[ASV | EN | OT | Sirach | Chapter 30 | Verse 6] He left behind him an avenger against his enemies, And one to requite kindness to his friends.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 7] He that maketh too much of his son shall bind up his wounds; And his heart will be troubled at every cry.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 8] An unbroken horse becometh stubborn; And a son left at large becometh headstrong.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 9] Cocker thy child, and he shall make thee afraid: Play with him, and he will grieve thee.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 10] Laugh not with him, lest thou have sorrow with him; And thou shalt gnash thy teeth in the end.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 11] Give him no liberty in his youth, And wink not at his follies.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 12] Bow down his neck in his youth, And beat him on the sides while he is a child, Lest he wax stubborn, and be disobedient unto thee; And there shall be sorrow to thy soul.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 13] Chastise thy son, and take pains with him, Lest his shameless behavior be an offense unto thee.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 14] Better is a poor man, being sound and strong of constitution, Than a rich man that is plagued in his body.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 15] Health and a good constitution are better than all gold; And a strong body than wealth without measure.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 16] There is no riches better than health of body; And there is no gladness above the joy of the heart.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 17] Death is better than a bitter life, And eternal rest than a continual sickness.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 18] Good things poured out upon a mouth that is closed Are as messes of meat laid upon a grave.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 19] What doth an offering profit an idol? For neither shall it eat nor smell: So is he that is afflicted of the Lord,
[ASV | EN | OT | Sirach | Chapter 30 | Verse 20] Seeing with his eyes and groaning, As a eunuch embracing a virgin and groaning.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 21] Give not over thy soul to sorrow; And afflict not thyself in thine own counsel.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 22] Gladness of heart is the life of a man; And the joyfulness of a man is length of days.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 23] Love thine own soul, and comfort thy heart: And remove sorrow far from thee; For sorrow hath destroyed many, And there is no profit therein.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 24] Envy and wrath shorten a man’s days; And care bringeth old age before the time.
[ASV | EN | OT | Sirach | Chapter 30 | Verse 25] A cheerful and good heart Will have a care of his meat and diet.
