[ASV | EN | OT | Sirach | Chapter 45 | Verse 1] And he brought out of him a man of mercy, Who found favor in the sight of all flesh; A man beloved of God and men, even Moses, Whose memorial is blessed.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 2] He made him like to the glory of the saints, And magnified him in the fears of his enemies.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 3] By his words he caused the wonders to cease; He glorified him in the sight of kings; He gave him commandment for his people, And showed him part of his glory.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 4] He sanctified him in his faithfulness and meekness; He chose him out of all flesh.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 5] He made him to hear his voice, And led him into the thick darkness, And gave him commandments face to face, Even the law of life and knowledge, That he might teach Jacob the covenant, And Israel his judgments.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 6] He exalted Aaron, a holy man like unto him, Even his brother, of the tribe of Levi.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 7] He established for him an everlasting covenant, And gave him the priesthood of the people; He beautified him with comely ornaments, And girded him about with a robe of glory.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 8] He clothed him with the perfection of exultation; And strengthened him with apparel of honor, The linen breeches, the long robe, and the ephod.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 9] And he compassed him with pomegranates of gold, And with many bells round about, To send forth a sound as he went, To make a sound that might be heard in the temple, For a memorial to the children of his people;
[ASV | EN | OT | Sirach | Chapter 45 | Verse 10] With a holy garment, with gold and blue and purple, the work of the embroiderer, With an oracle of judgment, even with the Urim and Thummim;
[ASV | EN | OT | Sirach | Chapter 45 | Verse 11] With twisted scarlet, the work of the craftsman; With precious stones graven like a signet, in a setting of gold, the work of the jeweler, For a memorial engraved in writing, after the number of the tribes of Israel;
[ASV | EN | OT | Sirach | Chapter 45 | Verse 12] With a crown of gold upon the miter, having graven on it, as on a signet, HOLINESS, An ornament of honor, a work of might, The desires of the eyes, goodly and beautiful.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 13] Before him there never have been any such; No stranger put them on, but his sons only, and his offspring perpetually.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 14] His sacrifices shall be wholly consumed Every day twice continually.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 15] Moses consecrated him, And anointed him with holy oil: It was unto him for an everlasting covenant, And to his seed, all the days of heaven, To minister unto him, and to execute also the priest’s office, And bless his people in his name.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 16] He chose him out of all living To offer sacrifice to the Lord, Incense, and a sweet savor, for a memorial, To make reconciliation for thy people.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 17] He gave unto him in his commandments, Yea, authority in the covenants of judgments, To teach Jacob the testimonies, And to enlighten Israel in his law.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 18] Strangers gathered themselves together against him, And envied him in the wilderness, Even Dathan and Abiram with their company, And the congregation of Korah, with wrath and anger.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 19] The Lord saw it, and it displeased him; And in the wrath of his anger they were destroyed: He did wonders upon them, To consume them with flaming fire.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 20] And he added glory to Aaron, And gave him a heritage: He divided unto him the firstfruits of the increase; And first did he prepare bread in abundance:
[ASV | EN | OT | Sirach | Chapter 45 | Verse 21] For they shall eat the sacrifices of the Lord, Which he gave unto him and to his seed.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 22] Howbeit in the land of the people he shall have no inheritance, And he hath no portion among the people: For he himself is thy portion and inheritance.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 23] And Phinehas the son of Eleazar is the third in glory, In that he was zealous in the fear of the Lord, And stood fast in the good forwardness of his soul when the people turned away, And he made reconciliation for Israel.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 24] Therefore was there a covenant of peace established for him, That he should be leader of the saints and of his people; That he and his seed Should have the dignity of the priesthood forever.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 25] Also he made a covenant with David the son of Jesse, of the tribe of Judah; The inheritance of the king is his alone from son to son; So the inheritance of Aaron is also unto his seed.
[ASV | EN | OT | Sirach | Chapter 45 | Verse 26] God give you wisdom in your heart To judge his people in righteousness, That their good things be not abolished, And that their glory endure for all their generations.
