[ASV | EN | OT | Sirach | Chapter 4 | Verse 1] My son, deprive not the poor of his living, And make not the needy eyes to wait long.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 2] Make not a hungry soul sorrowful; Neither provoke a man in his distress.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 3] To a heart that is provoked add not more trouble; And defer not to give to him that is in need.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 4] Reject not a suppliant in his affliction; And turn not away thy face from a poor man.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 5] Turn not away thine eye from one that asketh of thee, And give none occasion to a man to curse thee:
[ASV | EN | OT | Sirach | Chapter 4 | Verse 6] For if he curse thee in the bitterness of his soul, He that made him will hear his supplication.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 7] Get thyself the love of the congregation; And to a great man bow thy head.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 8] Incline thine ear to a poor man, And answer him with peaceable words in meekness.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 9] Deliver him that is wronged from the hand of him that wrongeth him; And be not fainthearted in giving judgment.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 10] Be as a father unto the fatherless, And instead of a husband unto their mother: So shalt thou be as a son of the Most High, And he shall love thee more than thy mother doth.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 11] Wisdom exalteth her sons, And taketh hold of them that seek her.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 12] He that loveth her loveth life; And they that seek to her early shall be filled with gladness.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 13] He that holdeth her fast shall inherit glory; And where he entereth, the Lord will bless.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 14] They that do her service shall minister to the Holy One; And them that love her the Lord doth love.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 15] He that giveth ear unto her shall judge the nations; And he that giveth heed unto her shall dwell securely.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 16] If he trust her, he shall inherit her; And his generations shall have her in possession.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 17] For at the first she will walk with him in crooked ways, And will bring fear and dread upon him, And torment him with her discipline, Until she may trust his soul, and try him by her judgments:
[ASV | EN | OT | Sirach | Chapter 4 | Verse 18] Then will she return again the straight way unto him, And will gladden him, and reveal to him her secrets.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 19] If he go astray, she will forsake him, And give him over to his fall.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 20] Observe the opportunity, and beware of evil; And be not ashamed concerning thy soul.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 21] For there is a shame that bringeth sin; And there is a shame that is glory and grace.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 22] Accept not the person of any against thy soul; And reverence no man unto thy falling.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 23] Refrain not speech, when it tendeth to safety; And hide not thy wisdom for the sake of fair-seeming.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 24] For by speech wisdom shall be known; And instruction by the word of the tongue.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 25] Speak not against the truth; And be abashed for thine ignorance.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 26] Be not ashamed to make confession of thy sins; And force not the current of the river.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 27] Lay not thyself down for a fool to tread upon; And accept not the person of one that is mighty.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 28] Strive for the truth unto death, and the Lord God shall fight for thee.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 29] Be not hasty in thy tongue, And in thy deeds slack and remiss.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 30] Be not as a lion in thy house, Nor fanciful among thy servants.
[ASV | EN | OT | Sirach | Chapter 4 | Verse 31] Let not thy hand be stretched out to receive, and closed when thou shouldest repay.
