[ASV | EN | OT | Sirach | Chapter 15 | Verse 1] He that feareth the Lord will do this; And he that hath possession of the law shall obtain her.
[ASV | EN | OT | Sirach | Chapter 15 | Verse 2] And as a mother shall she meet him, And receive him as a wife married in her virginity.
[ASV | EN | OT | Sirach | Chapter 15 | Verse 3] With bread of understanding shall she feed him, And give him water of wisdom to drink.
[ASV | EN | OT | Sirach | Chapter 15 | Verse 4] He shall be stayed upon her, and shall not be moved; And shall rely upon her, and shall not be confounded.
[ASV | EN | OT | Sirach | Chapter 15 | Verse 5] And she shall exalt him above his neighbors; And in the midst of the congregation shall she open his mouth.
[ASV | EN | OT | Sirach | Chapter 15 | Verse 6] He shall inherit joy, and a crown of gladness, And an everlasting name.
[ASV | EN | OT | Sirach | Chapter 15 | Verse 7] Foolish men shall not obtain her; And sinners shall not see her.
[ASV | EN | OT | Sirach | Chapter 15 | Verse 8] She is far from pride; And liars shall not remember her.
[ASV | EN | OT | Sirach | Chapter 15 | Verse 9] Praise is not comely in the mouth of a sinner; For it was not sent him from the Lord.
[ASV | EN | OT | Sirach | Chapter 15 | Verse 10] For praise shall be spoken in wisdom; And the Lord will prosper it.
[ASV | EN | OT | Sirach | Chapter 15 | Verse 11] Say not thou, It is through the Lord that I fell away; For thou shalt not do the things that he hateth.
[ASV | EN | OT | Sirach | Chapter 15 | Verse 12] Say not thou, It is he that caused me to err; For he hath no need of a sinful man.
[ASV | EN | OT | Sirach | Chapter 15 | Verse 13] The Lord hateth every abomination; And they that fear him love it not.
[ASV | EN | OT | Sirach | Chapter 15 | Verse 14] He himself made man from the beginning, And left him in the hand of his own counsel.
[ASV | EN | OT | Sirach | Chapter 15 | Verse 15] If thou wilt, thou shalt keep the commandments; And to perform faithfulness is of thine own good pleasure.
[ASV | EN | OT | Sirach | Chapter 15 | Verse 16] He hath set fire and water before thee: Thou shalt stretch forth thy hand unto whichsoever thou wilt.
[ASV | EN | OT | Sirach | Chapter 15 | Verse 17] Before man is life and death; And whichsoever he liketh, it shall be given him.
[ASV | EN | OT | Sirach | Chapter 15 | Verse 18] For great is the wisdom of the Lord: He is mighty in power, and beholdeth all things;
[ASV | EN | OT | Sirach | Chapter 15 | Verse 19] And his eyes are upon them that fear him; And he will take knowledge of every work of man.
[ASV | EN | OT | Sirach | Chapter 15 | Verse 20] He hath not commanded any man to be ungodly; And he hath not given any man license to sin.
