[ASV | EN | OT | Sirach | Chapter 5 | Verse 1] Set not thy heart upon thy goods; And say not, They are sufficient for me.
[ASV | EN | OT | Sirach | Chapter 5 | Verse 2] Follow not thine own mind and thy strength, To walk in the desires of thy heart;
[ASV | EN | OT | Sirach | Chapter 5 | Verse 3] And say not, Who shall have dominion over me? For the Lord will surely take vengeance on thee.
[ASV | EN | OT | Sirach | Chapter 5 | Verse 4] Say not, I sinned, and what happened unto me? For the Lord is long-suffering.
[ASV | EN | OT | Sirach | Chapter 5 | Verse 5] Concerning atonement, be not without fear, To add sin upon sins:
[ASV | EN | OT | Sirach | Chapter 5 | Verse 6] And say not, His compassion is great; He will be pacified for the multitude of my sins: For mercy and wrath are with him, And his indignation will rest upon sinners.
[ASV | EN | OT | Sirach | Chapter 5 | Verse 7] Make no tarrying to turn to the Lord; And put not off from day to day: For suddenly shall the wrath of the Lord come forth; And thou shalt perish in the time of vengeance.
[ASV | EN | OT | Sirach | Chapter 5 | Verse 8] Set not thy heart upon unrighteous gains: For thou shalt profit nothing in the day of calamity.
[ASV | EN | OT | Sirach | Chapter 5 | Verse 9] Winnow not with every wind, And walk not in every path: Thus doeth the sinner that hath a double tongue.
[ASV | EN | OT | Sirach | Chapter 5 | Verse 10] Be steadfast in thy understanding; And let thy word be one.
[ASV | EN | OT | Sirach | Chapter 5 | Verse 11] Be swift to hear; And with patience make thine answer.
[ASV | EN | OT | Sirach | Chapter 5 | Verse 12] If thou hast understanding, answer thy neighbor; And if not, let thy hand be upon thy mouth.
[ASV | EN | OT | Sirach | Chapter 5 | Verse 13] Glory and dishonor is in talk: And the tongue of a man is his fall.
[ASV | EN | OT | Sirach | Chapter 5 | Verse 14] Be not called a whisperer; And lie not in wait with thy tongue: For upon the thief there is shame, And an evil condemnation upon him that hath a double tongue.
[ASV | EN | OT | Sirach | Chapter 5 | Verse 15] In a great matter and in a small, be not ignorant;
