[ASV | EN | OT | Sirach | Chapter 8 | Verse 1] Contend not with a mighty man, Lest haply thou fall into his hands.
[ASV | EN | OT | Sirach | Chapter 8 | Verse 2] Strive not with a rich man, lest haply he overweigh thee: For gold hath destroyed many, And turned aside the hearts of kings.
[ASV | EN | OT | Sirach | Chapter 8 | Verse 3] Contend not with a man that is full of tongue, And heap not wood upon his fire.
[ASV | EN | OT | Sirach | Chapter 8 | Verse 4] Jest not with a rude man, Lest thine ancestors be dishonored.
[ASV | EN | OT | Sirach | Chapter 8 | Verse 5] Reproach not a man when he turneth from sin: Remember that we are all worthy of punishment.
[ASV | EN | OT | Sirach | Chapter 8 | Verse 6] Dishonor not a man in his old age; For some of us also are waxing old.
[ASV | EN | OT | Sirach | Chapter 8 | Verse 7] Rejoice not over one that is dead: Remember that we die all.
[ASV | EN | OT | Sirach | Chapter 8 | Verse 8] Neglect not the discourse of the wise, And be conversant with their proverbs; For of them thou shalt learn instruction, And how to minister to great men.
[ASV | EN | OT | Sirach | Chapter 8 | Verse 9] Miss not the discourse of the aged; For they also learned of their fathers: Because from them thou shalt learn understanding, And to give answer in time of need.
[ASV | EN | OT | Sirach | Chapter 8 | Verse 10] Kindle not the coals of a sinner, Lest thou be burned with the flame of his fire.
[ASV | EN | OT | Sirach | Chapter 8 | Verse 11] Rise not up from the presence of an insolent man, Lest he lie in wait as an ambush for thy mouth.
[ASV | EN | OT | Sirach | Chapter 8 | Verse 12] Lend not to a man that is mightier than thyself; And if thou lend, be as one that hath lost.
[ASV | EN | OT | Sirach | Chapter 8 | Verse 13] Be not surety above thy power: And if thou be surety, take thought as one that will have to pay.
[ASV | EN | OT | Sirach | Chapter 8 | Verse 14] Go not to law with a judge; For according to his honor will they give judgment for him.
[ASV | EN | OT | Sirach | Chapter 8 | Verse 15] Go not in the way with a rash man, Lest he be aggrieved with thee; For he will do according to his own will, And thou shalt perish with his folly.
[ASV | EN | OT | Sirach | Chapter 8 | Verse 16] Fight not with a wrathful man, And travel not with him through the desert: For blood is as nothing in his sight; And where there is no help, he will overthrow thee.
[ASV | EN | OT | Sirach | Chapter 8 | Verse 17] Take not counsel with a fool; For he will not be able to conceal the matter.
[ASV | EN | OT | Sirach | Chapter 8 | Verse 18] Do no secret thing before a stranger; For thou knowest not what he will bring forth.
[ASV | EN | OT | Sirach | Chapter 8 | Verse 19] Open not thy heart to every man; And let him not return thee a favor.
