[ASV | EN | OT | Sirach | Chapter 51 | Verse 1] I will give thanks unto thee, O Lord, O King, And will praise thee, O God my Savior: I do give thanks unto thy name:
[ASV | EN | OT | Sirach | Chapter 51 | Verse 2] For thou wast my protector and helper, And didst deliver my body out of destruction, And out of the snare of a slanderous tongue, From lips that forge lies, And wast my helper before them that stood by;
[ASV | EN | OT | Sirach | Chapter 51 | Verse 3] And didst deliver me, according to the abundance of thy mercy, and greatness of thy name, From the gnashings of teeth ready to devour, Out of the hand of such as sought my life, Out of the manifold afflictions which I had;
[ASV | EN | OT | Sirach | Chapter 51 | Verse 4] From the choking of a fire on every side, And out of the midst of fire which I kindled not;
[ASV | EN | OT | Sirach | Chapter 51 | Verse 5] Out of the depth of the belly of Hades, And from an unclean tongue, And from lying words,
[ASV | EN | OT | Sirach | Chapter 51 | Verse 6] The slander of an unrighteous tongue unto the king. My soul drew near even unto death, And my life was near to Hades beneath.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 7] They compassed me on every side, And there was none to help me. I was looking for the succor of men, And it was not.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 8] And I remembered thy mercy, O Lord, And thy working which hath been from everlasting, How thou deliverest them that wait for thee, And savest them out of the hand of the enemies.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 9] And I lifted up my supplication from the earth, And prayed for deliverance from death.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 10] I called upon the Lord, the Father of my Lord, That he would not forsake me in the days of affliction, In the time when there was no help against the proud.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 11] I will praise thy name continually, And will sing praise with thanksgiving; And my supplication was heard:
[ASV | EN | OT | Sirach | Chapter 51 | Verse 12] For thou savedst me from destruction, And deliveredst me from the evil time: Therefore will I give thanks and praise unto thee, And bless the name of the Lord.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 13] When I was yet young, Or ever I went abroad, I sought wisdom openly in my prayer.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 14] Before the temple I asked for her, And I will seek her out even to the end.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 15] From her flower as from the ripening grape my heart delighted in her: My foot trod in uprightness, From my youth I tracked her out.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 16] I bowed down mine ear a little, and received her, And found for myself much instruction.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 17] I profited in her: Unto him that giveth me wisdom I will give glory.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 18] For I purposed to practice her, And I was zealous for that which is good; And I shall never be put to shame.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 19] My soul hath wrestled in her, And in my doing I was exact: I spread forth my hands to the heaven above, And bewailed my ignorances of her.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 20] I set my soul aright unto her, And in pureness I found her. I gat me a heart joined with her from the beginning: Therefore shall I not be forsaken.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 21] My inward part also was troubled to seek her: Therefore have I gotten a good possession.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 22] The Lord gave me a tongue for my reward; And I will praise him therewith.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 23] Draw near unto me, ye unlearned, And lodge in the house of instruction.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 24] Say, wherefore are ye lacking in these things, And your souls are very thirsty?
[ASV | EN | OT | Sirach | Chapter 51 | Verse 25] I opened my mouth, and spake, Get her for yourselves without money.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 26] Put your neck under the yoke, And let your soul receive instruction: She is hard at hand to find.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 27] Behold with your eyes, How that I labored but a little, And found for myself much rest.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 28] Get you instruction with a great sum of silver, And gain much gold by her.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 29] May your soul rejoice in his mercy, And may ye not be put to shame in praising him.
[ASV | EN | OT | Sirach | Chapter 51 | Verse 30] Work your work before the time cometh, And in his time he will give you your reward.
