[ASV | EN | OT | Sirach | Chapter 16 | Verse 1] Desire not a multitude of unprofitable children, Neither delight in ungodly sons.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 2] If they multiply, delight not in them, Except the fear of the Lord be with them.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 3] Trust not thou in their life, Neither rely on their condition: For one is better than a thousand; And to die childless than to have ungodly children.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 4] For from one that hath understanding shall a city be peopled; But a race of wicked men shall be made desolate.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 5] Many such things have I seen with mine eyes; And mine ear hath heard mightier things than these.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 6] In the congregation of sinners shall a fire be kindled; And in a disobedient nation wrath is kindled.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 7] He was not pacified toward the giants of old time, Who revolted in their strength.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 8] He spared not those with whom Lot sojourned, Whom he abhorred for their pride.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 9] He pitied not the people of perdition, Who were taken away in their sins.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 10] And in like manner the six hundred thousand footmen, Who were gathered together in the hardness of their hearts.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 11] Even if there be one stiff-necked person, It is marvel if he shall be unpunished: For mercy and wrath are with him; He is mighty to forgive, and he poureth out wrath.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 12] As his mercy is great, so is his correction also: He judgeth a man according to his works.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 13] The sinner shall not escape with his plunder; And the patience of the godly shall not be frustrate.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 14] He will make room for every work of mercy; Each man shall find according to his works.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 17] Say not thou, I shall be hidden from the Lord; And who shall remember me from on high? I shall not be known among so many people; For what is my soul in a boundless creation?
[ASV | EN | OT | Sirach | Chapter 16 | Verse 18] Behold, the heaven, and the heaven of heavens, The deep, and the earth, shall be moved when he shall visit.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 19] The mountains and the foundations of the earth together Are shaken with trembling, when he looketh upon them.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 20] And no heart shall think upon these things: And who shall conceive his ways?
[ASV | EN | OT | Sirach | Chapter 16 | Verse 21] And there is a tempest which no man shall see; Yea, the more part of his works are hidden.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 22] Who shall declare the works of his righteousness? Or who shall endure them? For his covenant is afar off.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 23] He that is wanting in understanding thinketh upon these things; And an unwise and erring man thinketh follies.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 24] My son, hearken unto me, and learn knowledge, And give heed to my words with thy heart.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 25] I will show forth instruction by weight, And declare knowledge exactly.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 26] In the judgment of the Lord are his works from the beginning; And from the making of them he disposed the parts thereof.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 27] He garnished his works forever, And the beginnings of them unto their generations: They neither hunger, nor are weary, And they cease not from their works.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 28] No one thrusteth aside his neighbor; And they shall never disobey his word.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 29] After this also the Lord looked upon the earth, And filled it with his blessings.
[ASV | EN | OT | Sirach | Chapter 16 | Verse 30] All manner of living things covered the face thereof; And into it is their return.
