[ASV | EN | OT | Sirach | Chapter 23 | Verse 1] O Lord, Father and Master of my life, Abandon me not to their counsel: Suffer me not to fall by them.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 2] Who will set scourges over my thought, And a discipline of wisdom over my heart? That they spare me not for mine ignorances, And my heart pass not by their sins:
[ASV | EN | OT | Sirach | Chapter 23 | Verse 3] That mine ignorances be not multiplied, And my sins abound not; And I shall fall before mine adversaries, And mine enemy rejoice over me.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 4] O Lord, Father and God of my life, Give me not a proud look,
[ASV | EN | OT | Sirach | Chapter 23 | Verse 5] And turn away concupiscense from me.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 6] Let not greediness and chambering overtake me; And give me not over to a shameless mind.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 7] Hear ye, my children, the discipline of the mouth; And he that keepeth it shall not be taken.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 8] The sinner shall be overtaken in his lips; And the reviler and the proud man shall stumble therein.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 9] Accustom not thy mouth to an oath; And be not accustomed to the naming of the Holy One.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 10] For as a servant that is continually scourged shall not lack a bruise, So he also that sweareth and nameth God continually shall not be cleansed from sin.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 11] A man of many oaths shall be filled with iniquity; And the scourge shall not depart from his house: If he shall offend, his sin shall be upon him; And if he disregard it, he hath sinned doubly; And if he hath sworn in vain, he shall not be justified; For his house shall be filled with calamities.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 12] There is a manner of speech that is clothed about with death: Let it not be found in the heritage of Jacob; For all these things shall be far from the godly, And they shall not wallow in sins.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 13] Accustom not thy mouth to gross rudeness, For therein is the word of sin.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 14] Remember thy father and thy mother, For thou sittest in the midst of great men; That thou be not forgetful before them, And become a fool by thy custom; So shalt thou wish that thou hadst not been born, And curse the day of thy nativity.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 15] A man that is accustomed to words of reproach Will not be corrected all the days of his life.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 16] Two sorts of men multiply sins, And the third will bring wrath: A hot mind, as a burning fire, will not be quenched till it be consumed: A fornicator in the body of his flesh will never cease till he hath burned out the fire.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 17] All bread is sweet to a fornicator: He will not leave off till he die.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 18] A man that goeth astray from his own bed, Saying in his heart, Who seeth me? Darkness is round about me, and the walls hide me, And no man seeth me; of whom am I afraid? The Most High will not remember my sins;
[ASV | EN | OT | Sirach | Chapter 23 | Verse 19] —And the eyes of men are his terror, And he knoweth not that the eyes of the Lord are ten thousand times brighter than the sun, Beholding all the ways of men, And looking into secret places.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 20] All things were known unto him or ever they were created; And in like manner also after they were perfected.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 21] This man shall be punished in the streets of the city; And where he suspected not he shall be taken.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 22] So also a wife that leaveth her husband, And bringeth in an heir by a stranger.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 23] For first, she was disobedient in the law of the Most High; And secondly, she trespassed against her own husband; And thirdly, she played the adulteress in whoredom, And brought in children by a stranger.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 24] She shall be brought out into the congregation; And upon her children shall there be visitation.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 25] Her children shall not spread into roots, And her branches shall bear no fruit.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 26] She shall leave her memory for a curse; And her reproach shall not be blotted out.
[ASV | EN | OT | Sirach | Chapter 23 | Verse 27] And they that are left behind shall know that there is nothing better than the fear of the Lord, And nothing sweeter than to take heed unto the commandments of the Lord.
