[ASV | EN | OT | Sirach | Chapter 41 | Verse 1] O death, how bitter is the remembrance of thee to a man that is at peace in his possessions, Unto the man that hath nothing to distract him, and hath prosperity in all things, And that still hath strength to receive meat!
[ASV | EN | OT | Sirach | Chapter 41 | Verse 2] O death, acceptable is thy sentence unto a man that is needy, and that faileth in strength, That is in extreme old age, and is distracted about all things, And is perverse, and hath lost patience!
[ASV | EN | OT | Sirach | Chapter 41 | Verse 3] Fear not the sentence of death; Remember them that have been before thee, and that come after: This is the sentence from the Lord over all flesh.
[ASV | EN | OT | Sirach | Chapter 41 | Verse 4] And why dost thou refuse, when it is the good pleasure of the Most High? Whether it be ten, or a hundred, or a thousand years, There is no inquisition of life in Hades.
[ASV | EN | OT | Sirach | Chapter 41 | Verse 5] The children of sinners are abominable children, And they frequent the dwellings of the ungodly.
[ASV | EN | OT | Sirach | Chapter 41 | Verse 6] The inheritance of sinners’ children shall perish, And with their posterity shall be a perpetual reproach.
[ASV | EN | OT | Sirach | Chapter 41 | Verse 7] Children will complain of an ungodly father, Because they shall be reproached for his sake.
[ASV | EN | OT | Sirach | Chapter 41 | Verse 8] Woe unto you, ungodly men, Who have forsaken the law of the Most High God!
[ASV | EN | OT | Sirach | Chapter 41 | Verse 9] If ye be born, ye shall be born to a curse; If ye die, a curse shall be your portion.
[ASV | EN | OT | Sirach | Chapter 41 | Verse 10] All things that are of the earth shall go back to the earth: So the ungodly shall go from a curse unto perdition.
[ASV | EN | OT | Sirach | Chapter 41 | Verse 11] The mourning of men is about their bodies: But the name of sinners being evil shall be blotted out.
[ASV | EN | OT | Sirach | Chapter 41 | Verse 12] Have regard to thy name; For it continueth with thee longer than a thousand great treasures of gold.
[ASV | EN | OT | Sirach | Chapter 41 | Verse 13] A good life hath its number of days; And a good name continueth forever.
[ASV | EN | OT | Sirach | Chapter 41 | Verse 14] My children, keep instruction in peace: But wisdom that is hidden, and a treasure that is not seen, What profit is in them both?
[ASV | EN | OT | Sirach | Chapter 41 | Verse 15] Better is a man that hideth his foolishness Than a man that hideth his wisdom.
[ASV | EN | OT | Sirach | Chapter 41 | Verse 16] Wherefore show reverence to my word: For it is not good to retain every kind of shame; And not all things are approved by all in good faith.
[ASV | EN | OT | Sirach | Chapter 41 | Verse 17] Be ashamed of whoredom before father and mother: And of a lie before a prince and a mighty man;
[ASV | EN | OT | Sirach | Chapter 41 | Verse 18] Of an offense before a judge and ruler; Of iniquity before the congregation and the people; Of unjust dealing before a partner and friend;
[ASV | EN | OT | Sirach | Chapter 41 | Verse 19] And of theft in regard of the place where thou sojournest, And in regard of the truth of God and his covenant; And of leaning with thine elbow at meat; And of scurrility in the matter of giving and taking;
[ASV | EN | OT | Sirach | Chapter 41 | Verse 20] And of silence before them that salute thee; And of looking upon a woman that is a harlot;
[ASV | EN | OT | Sirach | Chapter 41 | Verse 21] And of turning away thy face from a kinsman; Of taking away a portion or a gift; And of gazing upon a woman that hath a husband;
[ASV | EN | OT | Sirach | Chapter 41 | Verse 22] Of being over busy with his maid; and come not near her bed; Of upbraiding speeches before friends; And after thou hast given, upbraid not;
[ASV | EN | OT | Sirach | Chapter 41 | Verse 23] Of repeating and speaking what thou hast heard; And of revealing of secrets.
[ASV | EN | OT | Sirach | Chapter 41 | Verse 24] So shalt thou be truly shamefaced, And find favor in the sight of every man.
