[ASV | EN | OT | Sirach | Chapter 20 | Verse 1] There is a reproof that is not comely; And there is a man that keepeth silence, and he is wise.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 2] How good is it to reprove, rather than to be wroth; And he that maketh confession shall be kept back from hurt.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 4] As is the lust of a eunuch to deflower a virgin; So is he that executeth judgments with violence.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 5] There is one that keepeth silence, and is found wise; And there is one that is hated for his much talk.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 6] There is one that keepeth silence, for he hath no answer to make; And there is that keepeth silence, as knowing his time.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 7] A wise man will be silent till his time come; But the braggart and fool will overpass his time.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 8] He that useth many words shall be abhorred; And he that taketh to himself authority therein shall be hated.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 9] There is a prosperity that a man findeth in misfortunes; And there is a gain that turneth to loss.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 10] There is a gift that shall not profit thee; And there is a gift whose recompense is double.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 11] There is an abasement because of glory; And there is that hath lifted up his head from a low estate.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 12] There is that buyeth much for a little, And payeth for it again sevenfold.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 13] He that is wise in words shall make himself beloved; But the pleasantries of fools shall be wasted.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 14] The gift of a fool shall not profit thee; For his eyes are many instead of one.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 15] He will give little, and upbraid much; And he will open his mouth like a crier: Today he will lend, and tomorrow he will ask it again: Such a one is a hateful man.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 16] The fool will say, I have no friend, And I have no thanks for my good deeds; They that eat my bread are of evil tongue.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 17] How oft, and of how many, shall he be laughed to scorn!
[ASV | EN | OT | Sirach | Chapter 20 | Verse 18] A slip on a pavement is better than a slip with the tongue; So the fall of the wicked shall come speedily.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 19] A man without grace is as a tale out of season: It will be continually in the mouth of the ignorant.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 20] A wise sentence from a fool’s mouth will be rejected; For he will not speak it in its season.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 21] There is that is hindered from sinning through want; And when he taketh rest, he shall not be troubled.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 22] There is that destroyeth his soul through bashfulness; And by a foolish countenance he will destroy it.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 23] There is that for bashfulness promiseth to his friend; And he maketh him his enemy for nothing.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 24] A lie is a foul blot in a man: It will be continually in the mouth of the ignorant.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 25] A thief is better than a man that is continually lying: But they both shall inherit destruction.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 26] The disposition of a liar is dishonor; And his shame is with him continually.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 27] He that is wise in words shall advance himself; And one that is prudent will please great men.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 28] He that tilleth his land shall raise his heap high; And he that pleaseth great men shall get pardon for iniquity.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 29] Presents and gifts blind the eyes of the wise, And as a muzzle on the mouth, turn away reproofs.
[ASV | EN | OT | Sirach | Chapter 20 | Verse 30] Wisdom that is hidden, and treasure that is out of sight, What profit is in them both?
[ASV | EN | OT | Sirach | Chapter 20 | Verse 31] Better is a man that hideth his folly Than a man that hideth his wisdom.
