[ASV | EN | OT | Sirach | Chapter 10 | Verse 1] A wise judge will instruct his people; And the government of a man of understanding shall be well ordered.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 2] As is the judge of his people, so are his ministers; And as is the ruler of the city, such are all they that dwell therein.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 3] An uninstructed king will destroy his people; And a city will be established through the understanding of the powerful.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 4] In the hand of the Lord is the authority of the earth; And in due time he will raise up over it one that is profitable.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 5] In the hand of the Lord is the prosperity of a man; And upon the person of the scribe shall he lay his honor.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 6] Be not wroth with thy neighbor for every wrong; And do nothing by works of violence.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 7] Pride is hateful before the Lord and before men; And in the judgment of both will unrighteousness err.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 8] Sovereignty is transferred from nation to nation, Because of iniquities, and deeds of violence, and greed of money.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 9] Why is earth and ashes proud? Because in his life he hath cast away his bowels.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 10] It is a long disease; the physician mocketh: And he is a king today, and tomorrow he shall die.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 11] For when a man is dead, He shall inherit creeping things, and beasts, and worms.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 12] It is the beginning of pride when a man departeth from the Lord; And his heart is departed from him that made him.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 13] For the beginning of pride is sin; And he that keepeth it will pour forth abomination. For this cause the Lord brought upon them strange calamities, And overthrew them utterly.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 14] The Lord cast down the thrones of rulers, And set the meek in their stead.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 15] The Lord plucked up the roots of nations, And planted the lowly in their stead.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 16] The Lord overthrew the lands of nations, And destroyed them unto the foundations of the earth.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 17] He took some of them away, and destroyed them, And made their memorial to cease from the earth.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 18] Pride hath not been created for men, Nor wrathful anger for the offspring of women.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 19] What manner of seed hath honor? the seed of man. What manner of seed hath honor? they that fear the Lord. What manner of seed hath no honor? the seed of man. What manner of seed hath no honor? they that transgress the commandments.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 20] In the midst of brethren he that ruleth them hath honor; And in the eyes of the Lord they that fear him.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 22] The rich man, and the honorable, and the poor, Their glorying is the fear of the Lord.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 23] It is not right to dishonor a poor man that hath understanding; And it is not fitting to glorify a man that is a sinner.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 24] The great man, and the judge, and the mighty man, shall be glorified; And there is not one of them greater than he that feareth the Lord.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 25] Free men shall minister unto a wise servant; And a man that hath knowledge will not murmur thereat.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 26] Be not over wise in doing thy work; And glorify not thyself in the time of thy distress.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 27] Better is he that laboreth, and aboundeth in all things, Than he that glorifieth himself, and lacketh bread.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 28] My son, glorify thy soul in meekness, And give it honor according to the worthiness thereof.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 29] Who will justify him that sinneth against his own soul? And who will glorify him that dishonoreth his own life?
[ASV | EN | OT | Sirach | Chapter 10 | Verse 30] A poor man is glorified for his knowledge; And a rich man is glorified for his riches.
[ASV | EN | OT | Sirach | Chapter 10 | Verse 31] But he that is glorified in poverty, how much more in riches? And he that is inglorious in riches, how much more in poverty?
