[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 1] اُذْكُرْ يَارَبُّ مَاذَا صَارَ لَنَا. أَشْرِفْ وَٱنْظُرْ إِلَى عَارِنَا.
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 2] قَدْ صَارَ مِيرَاثُنَا لِلْغُرَبَاءِ. بُيُوتُنَا لِلْأَجَانِبِ.
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 3] صِرْنَا أَيْتَامًا بِلَا أَبٍ. أُمَّهَاتُنَا كَأَرَامِلَ.
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 4] شَرِبْنَا مَاءَنَا بِٱلْفِضَّةِ. حَطَبُنَا بِٱلثَّمَنِ يَأْتِي.
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 5] عَلَى أَعْنَاقِنَا نُضْطَهَدُ. نَتْعَبُ وَلَا رَاحَةَ لَنَا.
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 6] أَعْطَيْنَا ٱلْيَدَ لِلْمِصْرِيِّينَ وَٱلْأَشُّورِيِّينَ لِنَشْبَعَ خُبْزًا.
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 7] آبَاؤُنَا أَخْطَأُوا وَلَيْسُوا بِمَوْجُودِينَ، وَنَحْنُ نَحْمِلُ آثَامَهُمْ.
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 8] عَبِيدٌ حَكَمُوا عَلَيْنَا. لَيْسَ مَنْ يُخَلِّصُ مِنْ أَيْدِيهِمْ.
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 9] بِأَنْفُسِنَا نَأْتِي بِخُبْزِنَا مِنْ جَرَى سَيْفِ ٱلْبَرِّيَّةِ.
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 10] جُلُودُنَا ٱسْوَدَّتْ كَتَنُّورٍ مِنْ جَرَى نِيرَانِ ٱلْجُوعِ.
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 11] أَذَلُّوا ٱلنِّسَاءَ فِي صِهْيَوْنَ، ٱلْعَذَارَى فِي مُدُنِ يَهُوذَا.
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 12] ٱلرُّؤَسَاءُ بِأَيْدِيهِمْ يُعَلَّقُونَ، وَلَمْ تُعْتَبَرْ وُجُوهُ ٱلشُّيُوخِ.
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 13] أَخَذُوا ٱلشُّبَّانَ لِلطَّحْنِ، وَٱلصِّبْيَانَ عَثَرُوا تَحْتَ ٱلْحَطَبِ.
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 14] كَفَّتِ ٱلشُّيُوخُ عَنِ ٱلْبَابِ، وَٱلشُّبَّانُ عَنْ غِنَائِهِمْ.
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 15] مَضَى فَرَحُ قَلْبِنَا. صَارَ رَقْصُنَا نَوْحًا.
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 16] سَقَطَ إِكْلِيلُ رَأْسِنَا. وَيْلٌ لَنَا لِأَنَّنَا قَدْ أَخْطَأْنَا.
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 17] مِنْ أَجْلِ هَذَا حَزِنَ قَلْبُنَا. مِنْ أَجْلِ هَذِهِ أَظْلَمَتْ عُيُونُنَا.
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 18] مِنْ أَجْلِ جَبَلِ صِهْيَوْنَ ٱلْخَرِبِ. ٱلثَّعَالِبُ مَاشِيَةٌ فِيهِ.
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 19] أَنْتَ يَارَبُّ إِلَى ٱلْأَبَدِ تَجْلِسُ. كُرْسِيُّكَ إِلَى دَوْرٍ فَدَوْرٍ.
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 20] لِمَاذَا تَنْسَانَا إِلَى ٱلْأَبَدِ وَتَتْرُكُنَا طُولَ ٱلْأَيَّامِ؟
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 21] اُرْدُدْنَا يَارَبُّ إِلَيْكَ فَنَرْتَدَّ. جَدِّدْ أَيَّامَنَا كَٱلْقَدِيمِ.
[VANDYKE | AR | OT | Lamentations | Chapter 5 | Verse 22] هَلْ كُلَّ ٱلرَّفْضِ رَفَضْتَنَا؟ هَلْ غَضِبْتَ عَلَيْنَا جِدًّا؟
