[LXX | EL | OT | Lamentations | Chapter 5 | Verse 1] Μνήσθητι Κύριε, ὅ, τι ἐγενήθη ἡμῖν· ἐπίβλεψον, καὶ ἴδε τὸν ὀνειδισμὸν ἡμῶν.
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 2] Κληρονομία ἡμῶν μετεστράθη ἀλλοτρίοις, οἱ οἶκοι ἡμῶν ξένοις.
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 3] Ὀρφανοὶ ἐγενήθημεν, οὐχ ὑπάρχει πατὴρ, μητέρες ἡμῶν ὡς αἱ χῆραι.
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 4] Ὕδωρ ἡμῶν ἐν ἀργυρίῳ ἐπίομεν, ξύλα ἡμῶν ἐν ἀλλάγματι ἦλθεν ἐπὶ τὸν τράχηλον ἡμῶν·
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 5] ἐδιώχθημεν, ἐκοπιάσαμεν, οὐκ ἀνεπαύθημεν.
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 6] Αἴγυπτος ἔδωκε χεῖρα, Ἀσσοὺρ εἰς πλησμονὴν αὐτῶν.
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 7] Οἱ πατέρες ἡμῶν ἥμαρτον, οὐχ ὑπάρχουσιν, ἡμεῖς τὰ ἀνομήματα αὐτῶν ὑπέσχομεν.
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 8] Δοῦλοι ἐκυρίευσαν ἡμῶν, λυτρούμενος οὐκ ἔστιν ἐκ τῆς χειρὸς αὐτῶν.
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 9] Ἐν ταῖς ψυχαῖς ἡμῶν εἰσοίσομεν ἄρτον ἡμῶν, ἀπὸ προσώπου ῥομφαίας τῆς ἐρήμου.
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 10] Τὸ δέρμα ἡμῶν ὡς κλίβανος ἐπελιώθη, συνεσπάσθησαν ἀπὸ προσώπου καταιγίδων λιμοῦ.
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 11] Γυναῖκας ἐν Σιὼν ἐταπείνωσαν, παρθένους ἐν πόλεσιν Ἰούδα.
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 12] Ἄρχοντες ἐν χερσὶν αὐτῶν ἐκρεμάσθησαν, πρεσβύτεροι οὐκ ἐδοξάσθησαν.
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 13] Ἐκλεκτοὶ κλαυθμὸν ἀνέλαβον, καὶ νεανίσκοι ἐν ξύλῳ ἠσθένησαν.
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 14] Καὶ πρεσβύται ἀπὸ πύλης κατέπαυσαν, ἐκλεκτοὶ ἐκ ψαλμῶν αὐτῶν κατέπαυσαν.
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 15] Κατέλυσε χαρὰ καρδίας ἡμῶν, ἐστράφη εἰς πένθος ὁ χορὸς ἡμῶν·
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 16] Ἔπεσεν ὁ στέφανος ἡμῶν τῆς κεφαλῆς· οὐαὶ δὲ ἡμῖν, ὅτι ἡμάρτομεν.
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 17] Περὶ τούτου ἐγενήθη ὀδύνη, ὀδυνηρὰ ἡ καρδία ἡμῶν, περὶ τούτου ἐσκότασαν οἱ ὀφθαλμοὶ ἡμῶν.
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 18] Ἐπʼ ὄρος Σιὼν, ὅτι ἠφανίσθη, ἀλώπεκες διῆλθον ἐν αὐτῇ.
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 19] Σὺ δὲ Κύριε εἰς τὸν αἰῶνα κατοικήσεις, ὁ θρόνος σου εἰς γενεὰν καὶ γενεάν.
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 20] Ἱνατί εἰς νῖκος ἐπιλήσῃ ἡμῶν, καταλείψεις ἡμᾶς εἰς μακρότητα ἡμερῶν;
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 21] Ἐπίστρεψον ἡμᾶς Κύριε πρὸς σὲ, καὶ ἐπιστραφησόμεθα· καὶ ἀνακαίνισον ἡμέρας ἡμῶν καθὼς ἔμπροσθεν.
[LXX | EL | OT | Lamentations | Chapter 5 | Verse 22] Ὅτι ἀπωθούμενος ἀπώσω ἡμᾶς, ὠργίσθης ἐφʼ ἡμᾶς ἕως σθόδρα.
