[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 1] Now these are the last words of David. David, the son of Jesse, says, the man who was lifted up on high, the man on whom the God of Jacob put the holy oil, the loved one of Israel's songs, says:
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 2] The spirit of the Lord had voice through me, his word was on my tongue.
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 3] The God of Israel said, the word of the Rock of Israel came to me: When an upright king is ruling over men, when he is ruling in the fear of God,
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 4] It is as the light of the morning, when the sun comes up, a morning without clouds; making young grass come to life from the earth.
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 5] For is not my house so with God? For he has made with me an eternal agreement, ordered in all things and certain: as for all my salvation and all my desire, will he not give it increase?
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 6] But the evil-doers, all of them, will be like thorns to be pushed away, because they may not be gripped in the hand:
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 7] But anyone touching them has to be armed with iron and the rod of a spear; and they will be burned with fire, every one of them.
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 8] These are the names of David's men of war: Ishbaal the Hachmonite, chief of the three; his axe was lifted up against eight hundred put to death at one time.
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 9] After him was Eleazar, the son of Dodai the Ahohite, one of the three great fighters, who was with David in Pas-dammim when the Philistines came together there for the fight; and when the men of Israel had gone in flight,
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 10] He was with David and went on fighting the Philistines till his hand became tired and stiff from gripping his sword: and that day the Lord gave a great salvation, and the people came back after him only to take the goods of the Philistines.
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 11] After him was Shammah, the son of Ela the Hararite. And the Philistines came together in Lehi, where there was a bit of land full of seed; and the people went in flight from the Philistines.
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 12] But he kept his place in the middle of the bit of land, and kept back their attack and overcame the Philistines: and the Lord gave a great salvation.
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 13] And three of the thirty went down at the start of the grain-cutting, and they came to David at the strong place of Adullam; and the band of Philistines had taken up their position in the valley of Rephaim.
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 14] And at that time David had taken cover in the strong place, and an armed force of the Philistines was in Beth-lehem.
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 15] And David, moved by a strong desire, said, If only someone would give me a drink of water from the water-hole of Beth-lehem, by the doorway into the town!
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 16] And the three men, forcing their way through the Philistine army, got water from the water-hole of Beth-lehem, by the doorway into the town, and took it back to David: but he would not take it, but, draining it out, made an offering of it to the Lord.
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 17] And he said, Far be it from me, O Lord, to do this; how may I take as my drink the life-blood of men who have put their lives in danger? So he would not take it. These things did the three great men of war.
