[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 1] Now in the spring, at the time when kings go out to war, David sent Joab and his servants and all Israel with him; and they made waste the land of the children of Ammon, and took up their position before Rabbah, shutting it in. But David was still at Jerusalem.
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 2] Now one evening, David got up from his bed, and while he was walking on the roof of the king's house, he saw from there a woman bathing; and the woman was very beautiful.
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 3] And David sent to get knowledge who the woman was. And one said, Is this not Bath-sheba, the daughter of Eliam and wife of Uriah the Hittite?
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 4] And David sent and took her; and she came to him, and he took her to his bed: (for she had been made clean;) then she went back to her house.
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 5] And the woman became with child; and she sent word to David that she was with child.
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 6] And David sent to Joab saying, Send Uriah the Hittite to me. And Joab sent Uriah to David.
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 7] And when Uriah came to him, David put questions to him about how Joab and the people were, and how the war was going.
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 8] And David said to Uriah, Go down to your house and let your feet be washed. And Uriah went away from the king's house, and an offering from the king was sent after him.
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 9] But Uriah took his rest at the door of the king's house, with all the servants of his lord, and did not go down to his house.
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 10] And when word was given to David that Uriah had not gone down to his house, David said to Uriah, Have you not come from a journey? why did you not go down to your house?
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 11] And Uriah said to David, Israel and Judah with the ark are living in tents, and my lord Joab and the other servants of my lord are sleeping in the open field; and am I to go to my house and take food and drink, and go to bed with my wife? By the living Lord, and by the life of your soul, I will not do such a thing.
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 12] And David said to Uriah, Be here today, and after that I will let you go. So Uriah was in Jerusalem that day and the day after.
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 13] And when David sent for him, he took meat and drink with him, and David made him the worse for drink: and when evening came, he went to rest on his bed with the servants of his lord, but he did not go down to his house.
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 14] Now in the morning, David gave Uriah a letter to take to Joab.
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 15] And in the letter he said, Take care to put Uriah in the very front of the line, where the fighting is most violent, and go back from him, so that he may be overcome and put to death.
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 16] So while Joab was watching the town, he put Uriah in the place where it was clear to him the best fighters were.
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 17] And the men of the town went out and had a fight with Joab: and a number of David's men came to their death in the fight, and with them Uriah the Hittite.
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 18] Then Joab sent David news of everything which had taken place in the war:
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 19] And he gave orders to the man who took the news, saying, After you have given the king all the news about the war,
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 20] If the king is angry and says, Why did you go so near the town for the fight? was it not certain that their archers would be on the wall?
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 21] Who put Abimelech, the son of Jerubbaal, to death? did not a woman send a great stone down on him from the wall, putting him to death at Thebez? why did you go so near the wall? Then say to him, Your servant Uriah the Hittite is among the dead.
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 22] So the man went, and came to David, and gave him all the news which Joab had sent him to give; then David was angry with Joab and said, Why did you go so near the town for the fight? was it not certain that their archers would be on the wall? who put Abimelech, the son of Jerubbaal, to death? did not a woman send a great stone down on him from the wall, putting him to death at Thebez? why did you go so near the wall?
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 23] And the man said to David, Truly the men got the better of us, and came out against us into the open country, but we sent them back to the very doors of the town.
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 24] And the archers sent their arrows at your servants from the wall, and some of the king's servants are dead, and among them is your servant Uriah the Hittite.
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 25] Then David said to the man, Go and say to Joab, Do not let this be a grief to you; for one man may come to his death by the sword like another: put up an even stronger fight against the town, and take it: and do you put heart into him.
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 26] And when the wife of Uriah had news that her husband was dead, she gave herself up to weeping for him.
[BBE | EN | OT | 2 Samuel | Chapter 11 | Verse 27] And when the days of weeping were past, David sent for her, and took her into his house, and she became his wife and gave him a son. But the Lord was not pleased with the thing David had done.
