[WEBSTER | EN | NT | 3 John | Chapter 1 | Verse 1] The elder to the well-beloved Gaius, whom I love in truth.
[WEBSTER | EN | NT | 3 John | Chapter 1 | Verse 2] Beloved, I wish above all things that thou mayest prosper and be in health, even as thy soul prospereth.
[WEBSTER | EN | NT | 3 John | Chapter 1 | Verse 3] For I rejoiced greatly, when the brethren came and testified of the truth that is in thee, even as thou walkest in the truth.
[WEBSTER | EN | NT | 3 John | Chapter 1 | Verse 4] I have no greater joy than to hear that my children walk in truth.
[WEBSTER | EN | NT | 3 John | Chapter 1 | Verse 5] Beloved, thou doest faithfully whatever thou doest to the brethren, and to strangers;
[WEBSTER | EN | NT | 3 John | Chapter 1 | Verse 6] Who have borne testimony of thy charity before the church: whom if thou shalt bring forward on their journey after a godly sort, thou wilt do well:
[WEBSTER | EN | NT | 3 John | Chapter 1 | Verse 7] Because for his name's sake they went forth, taking nothing from the Gentiles.
[WEBSTER | EN | NT | 3 John | Chapter 1 | Verse 8] We therefore ought to receive such, that we may be fellow-helpers to the truth.
[WEBSTER | EN | NT | 3 John | Chapter 1 | Verse 9] I wrote to the church: but Diotrephes, who loveth to have the pre-eminence among them, receiveth us not.
[WEBSTER | EN | NT | 3 John | Chapter 1 | Verse 10] Wherefore, if I come, I will remember his deeds which he doeth, prating against us with malicious words: and not content with that, neither doth he himself receive the brethren, and forbiddeth them that would, and casteth them out of the church.
[WEBSTER | EN | NT | 3 John | Chapter 1 | Verse 11] Beloved, follow not that which is evil, but that which is good. He that doeth good is of God: but he that doeth evil hath not seen God.
[WEBSTER | EN | NT | 3 John | Chapter 1 | Verse 12] Demetrius hath good report by all men , and by the truth itself: and we also bear testimony; and ye know that our testimony is true.
[WEBSTER | EN | NT | 3 John | Chapter 1 | Verse 13] I had many things to write, but I will not with ink and pen write to thee:
[WEBSTER | EN | NT | 3 John | Chapter 1 | Verse 14] But I trust I shall shortly see thee, and we shall speak face to face. Peace be to thee. Our friends salute thee. Greet the friends by name.
