[ASV | EN | NT | 2 Corinthians | Chapter 6 | Verse 1] And working together with him we entreat also that ye receive not the grace of God in vain
[ASV | EN | NT | 2 Corinthians | Chapter 6 | Verse 2] (for he saith, At an acceptable time I hearkened unto thee, And in a day of salvation did I succor thee: behold, now is the acceptable time; behold, now is the day of salvation):
[ASV | EN | NT | 2 Corinthians | Chapter 6 | Verse 3] giving no occasion of stumbling in anything, that our ministration be not blamed;
[ASV | EN | NT | 2 Corinthians | Chapter 6 | Verse 4] but in everything commending ourselves, as ministers of God, in much patience, in afflictions, in necessities, in distresses,
[ASV | EN | NT | 2 Corinthians | Chapter 6 | Verse 5] in stripes, in imprisonments, in tumults, in labors, in watchings, in fastings;
[ASV | EN | NT | 2 Corinthians | Chapter 6 | Verse 6] in pureness, in knowledge, in long-suffering, in kindness, in the Holy Spirit, in love unfeigned,
[ASV | EN | NT | 2 Corinthians | Chapter 6 | Verse 7] in the word of truth, in the power of God; by the armor of righteousness on the right hand and on the left,
[ASV | EN | NT | 2 Corinthians | Chapter 6 | Verse 8] by glory and dishonor, by evil report and good report; as deceivers, and yet true;
[ASV | EN | NT | 2 Corinthians | Chapter 6 | Verse 9] as unknown, and yet well known; as dying, and behold, we live; as chastened, and not killed;
[ASV | EN | NT | 2 Corinthians | Chapter 6 | Verse 10] as sorrowful, yet always rejoicing; as poor, yet making many rich; as having nothing, and yet possessing all things.
[ASV | EN | NT | 2 Corinthians | Chapter 6 | Verse 11] Our mouth is open unto you, O Corinthians, our heart is enlarged.
[ASV | EN | NT | 2 Corinthians | Chapter 6 | Verse 12] Ye are not straitened in us, but ye are straitened in your own affections.
[ASV | EN | NT | 2 Corinthians | Chapter 6 | Verse 13] Now for a recompense in like kind (I speak as unto my children), be ye also enlarged.
[ASV | EN | NT | 2 Corinthians | Chapter 6 | Verse 14] Be not unequally yoked with unbelievers: for what fellowship have righteousness and iniquity? and what communion hath light with darkness?
[ASV | EN | NT | 2 Corinthians | Chapter 6 | Verse 15] And what concord hath Christ with Belial? or what portion hath a believer with an unbeliever?
[ASV | EN | NT | 2 Corinthians | Chapter 6 | Verse 16] And what agreement hath a temple of God with idols? for you are a temple of the living God; even as God said, I will dwell in them, and walk in them; and I will be their God, and they shall be my people.
[ASV | EN | NT | 2 Corinthians | Chapter 6 | Verse 17] Wherefore Come ye out from among them, and be ye separate, saith the Lord, And touch no unclean thing; And I will receive you,
[ASV | EN | NT | 2 Corinthians | Chapter 6 | Verse 18] And will be to you a Father, And ye shall be to me sons and daughters, saith the Lord Almighty.
