[ASV | EN | NT | 2 Corinthians | Chapter 3 | Verse 1] Are we beginning again to commend ourselves? unless we need, as do some, epistles of commendation to you or epistles of commendation from you?
[ASV | EN | NT | 2 Corinthians | Chapter 3 | Verse 2] Ye are our epistle, written in our hearts, known and read of all men;
[ASV | EN | NT | 2 Corinthians | Chapter 3 | Verse 3] being made manifest that ye are an epistle of Christ, ministered by us, written not with ink, but with the Spirit of the living God; not in tables of stone, but in tables that are hearts of flesh.
[ASV | EN | NT | 2 Corinthians | Chapter 3 | Verse 4] And such confidence have we through Christ to God-ward:
[ASV | EN | NT | 2 Corinthians | Chapter 3 | Verse 5] not that we are sufficient of ourselves, to account anything as from ourselves; but our sufficiency is from God;
[ASV | EN | NT | 2 Corinthians | Chapter 3 | Verse 6] who also made us sufficient as ministers of a new covenant; not of the letter, but of the spirit: for the letter killeth, but the spirit giveth life.
[ASV | EN | NT | 2 Corinthians | Chapter 3 | Verse 7] But if the ministration of death, written, and engraven on stones, came with glory, so that the children of Israel could not look steadfastly upon the face of Moses for the glory of his face; which glory was passing away:
[ASV | EN | NT | 2 Corinthians | Chapter 3 | Verse 8] how shall not rather the ministration of the spirit be with glory?
[ASV | EN | NT | 2 Corinthians | Chapter 3 | Verse 9] For if the ministration of condemnation is glory, much rather doth the ministration of righteousness exceed in glory.
[ASV | EN | NT | 2 Corinthians | Chapter 3 | Verse 10] For verily that which hath been made glorious hath not been made glorious in this respect, by reason of the glory that surpasseth.
[ASV | EN | NT | 2 Corinthians | Chapter 3 | Verse 11] For if that which passeth away was with glory, much more that which remaineth is in glory.
[ASV | EN | NT | 2 Corinthians | Chapter 3 | Verse 12] Having therefore such a hope, we use great boldness of speech,
[ASV | EN | NT | 2 Corinthians | Chapter 3 | Verse 13] and are not as Moses, who put a veil upon his own face, that the children of Israel should not look steadfastly on the end of that which was passing away:
[ASV | EN | NT | 2 Corinthians | Chapter 3 | Verse 14] but their minds were hardened: for until this day at the reading of the old covenant the same veil remaineth unlifted; which thing is done away in Christ.
[ASV | EN | NT | 2 Corinthians | Chapter 3 | Verse 15] But unto this day, when Moses is read, a veil lieth upon their heart.
[ASV | EN | NT | 2 Corinthians | Chapter 3 | Verse 16] But whensoever it shall turn to the Lord, the veil is taken away.
[ASV | EN | NT | 2 Corinthians | Chapter 3 | Verse 17] Now the Lord is the Spirit: and where the Spirit of the Lord is, there is liberty.
[ASV | EN | NT | 2 Corinthians | Chapter 3 | Verse 18] But we all, with unveiled face beholding as in a mirror the glory of the Lord, are transformed into the same image from glory to glory, even as from the Lord the Spirit.
