[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 1] Would that ye could bear with me a little in my foolishness: but indeed ye do bear with me.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 2] For I am jealous over you with a godly jealousy: for I espoused you to one husband, that I might present you as a pure virgin to Christ.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 3] But I fear, lest by any means, as the serpent beguiled Eve in his craftiness, so your minds should be corrupted from the simplicity that is in Christ.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 4] For if he that cometh preacheth another Jesus, whom we did not preach, or if ye receive a different spirit, which ye did not receive, or a different gospel, which ye did not accept, ye might well bear with him.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 5] For I reckon that I am not a whit behind the very chiefest apostles.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 6] But though I be rude in speech, yet am I not in knowledge; nay, in every way have we been made manifest unto you in all things.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 7] Or did I commit a sin in abasing myself that ye might be exalted, because I preached to you the gospel of God for nought?
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 8] I robbed other churches, taking wages of them that I might minister unto you;
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 9] and when I was present with you and was in want, I was not a burden on any man; for the brethren, when they came from Macedonia, supplied the measure of my want; and in everything I kept myself from being burdensome unto you, and so will I keep myself.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 10] As the truth of Christ is in me, no man shall stop me of this glorying in the regions of Achaia.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 11] Wherefore? because I love you not? God knoweth.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 12] But what I do, that I will do, that I may cut off occasion from them that desire an occasion; that wherein they glory, they may be found even as we.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 13] For such men are false apostles, deceitful workers, fashioning themselves into apostles of Christ.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 14] And no marvel; for even Satan fashioneth himself into an angel of light.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 15] It is no great thing therefore if his ministers also fashion themselves as ministers of righteousness; whose end shall be according to their works.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 16] I say again, Let no man think me foolish; but if ye do, yet as foolish receive me, that I also may glory a little.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 17] That which I speak, I speak not after the Lord, but as in foolishness, in this confidence of glorying.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 18] Seeing that many glory after the flesh, I will glory also.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 19] For ye bear with the foolish gladly, being wise yourselves.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 20] For ye bear with a man, if he bringeth you into bondage, if he devoureth you, if he taketh you captive, if he exalteth himself, if he smiteth you on the face.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 21] I speak by way of disparagement, as though we were weak. Yet whereinsoever any is bold (I speak in foolishness), I am bold also.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 22] Are they Hebrews? so am I. Are they Israelites? so am I. Are they the seed of Abraham? so am I.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 23] Are they ministers of Christ? (I speak as one beside himself) I more; in labors more abundantly, in stripes above measure, in prisons more abundantly, in deaths oft.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 24] Of the Jews five times received I forty stripes save one.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 25] Thrice was I beaten with rods, once was I stoned, thrice I suffered shipwreck, a night and a day have I been in the deep;
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 26] in journeyings often, in perils of rivers, in perils of robbers, in perils from my countrymen, in perils from the Gentiles, in perils in the city, in perils in the wilderness, in perils in the sea, in perils among false brethren;
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 27] in labor and travail, in watchings often, in hunger and thirst, in fastings often, in cold and nakedness.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 28] Besides those things that are without, there is that which presseth upon me daily, anxiety for all the churches.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 29] Who is weak, and I am not weak? who is caused to stumble, and I burn not?
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 30] If I must needs glory, I will glory of the things that concern my weakness.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 31] The God and Father of the Lord Jesus Christ, he who is blessed forevermore knoweth that I lie not.
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 32] In Damascus the governor under Aretas the king guarded the city of the Damascenes, desiring to take me:
[ASV | EN | NT | 2 Corinthians | Chapter 11 | Verse 33] and through a window was I let down in a basket by the wall, and escaped his hands.
