[ASV | EN | NT | 2 Corinthians | Chapter 13 | Verse 1] This is the third time I am coming to you. At the mouth of two witnesses or three shall every word be established.
[ASV | EN | NT | 2 Corinthians | Chapter 13 | Verse 2] I have said beforehand, and I do say beforehand, as if I were present the second time; and being absent now I write to them that have sinned heretofore, and to all the rest, that, if I come again, I will not spare;
[ASV | EN | NT | 2 Corinthians | Chapter 13 | Verse 3] seeing that ye seek a proof of Christ that speaketh in me; who to you-ward is not weak, but is powerful in you:
[ASV | EN | NT | 2 Corinthians | Chapter 13 | Verse 4] for though he was crucified through weakness, yet he liveth through the power of God. For we also are weak in him, but we shall live with him through the power of God toward you.
[ASV | EN | NT | 2 Corinthians | Chapter 13 | Verse 5] Try your own selves, whether ye are in the faith; prove your own selves. Or know ye not as to your own selves, that Jesus Christ is in you? unless indeed ye be reprobate.
[ASV | EN | NT | 2 Corinthians | Chapter 13 | Verse 6] But I hope that ye shall know that we are not reprobate.
[ASV | EN | NT | 2 Corinthians | Chapter 13 | Verse 7] Now I pray to God that ye do no evil; not that we may appear approved, but that ye may do that which is honorable, though we be as reprobate.
[ASV | EN | NT | 2 Corinthians | Chapter 13 | Verse 8] For we can do nothing against the truth, but for the truth.
[ASV | EN | NT | 2 Corinthians | Chapter 13 | Verse 9] For we rejoice, when we are weak, and ye are strong: and this we also pray for, even your perfecting.
[ASV | EN | NT | 2 Corinthians | Chapter 13 | Verse 10] For this cause I write these things while absent, that I may not when present deal sharply, according to the authority which the Lord gave me for building up, and not for casting down.
[ASV | EN | NT | 2 Corinthians | Chapter 13 | Verse 11] Finally, brethren, rejoice; be perfected; be comforted; be of the same mind; live in peace: and the God of love and peace shall be with you.
[ASV | EN | NT | 2 Corinthians | Chapter 13 | Verse 12] Salute one another with a holy kiss.
[ASV | EN | NT | 2 Corinthians | Chapter 13 | Verse 13] All the saints salute you.
