[KJV | EN | OT | 2 Chronicles | Chapter 17 | Verse 1] And Jehoshaphat his son reigned in his stead, and strengthened himself against Israel.
[KJV | EN | OT | 2 Chronicles | Chapter 17 | Verse 2] And he placed forces in all the fenced cities of Judah, and set garrisons in the land of Judah, and in the cities of Ephraim, which Asa his father had taken.
[KJV | EN | OT | 2 Chronicles | Chapter 17 | Verse 3] And the Lord was with Jehoshaphat, because he walked in the first ways of his father David, and sought not unto Baalim;
[KJV | EN | OT | 2 Chronicles | Chapter 17 | Verse 4] but sought to the Lord God of his father, and walked in his commandments, and not after the doings of Israel.
[KJV | EN | OT | 2 Chronicles | Chapter 17 | Verse 5] Therefore the Lord stablished the kingdom in his hand; and all Judah brought to Jehoshaphat presents; and he had riches and honour in abundance.
[KJV | EN | OT | 2 Chronicles | Chapter 17 | Verse 6] And his heart was lift up in the ways of the Lord: moreover he took away the high places and groves out of Judah.
[KJV | EN | OT | 2 Chronicles | Chapter 17 | Verse 7] Also in the third year of his reign he sent to his princes, even to Ben-hail, and to Obadiah, and to Zechariah, and to Nethaneel, and to Michaiah, to teach in the cities of Judah.
[KJV | EN | OT | 2 Chronicles | Chapter 17 | Verse 8] And with them he sent Levites, even Shemaiah, and Nethaniah, and Zebadiah, and Asahel, and Shemiramoth, and Jehonathan, and Adonijah, and Tobijah, and Tob-adonijah, Levites; and with them Elishama and Jehoram, priests.
[KJV | EN | OT | 2 Chronicles | Chapter 17 | Verse 9] And they taught in Judah, and had the book of the law of the Lord with them, and went about throughout all the cities of Judah, and taught the people.
[KJV | EN | OT | 2 Chronicles | Chapter 17 | Verse 10] And the fear of the Lord fell upon all the kingdoms of the lands that were round about Judah, so that they made no war against Jehoshaphat.
[KJV | EN | OT | 2 Chronicles | Chapter 17 | Verse 11] Also some of the Philistines brought Jehoshaphat presents, and tribute silver; and the Arabians brought him flocks, seven thousand and seven hundred rams, and seven thousand and seven hundred he goats.
[KJV | EN | OT | 2 Chronicles | Chapter 17 | Verse 12] And Jehoshaphat waxed great exceedingly; and he built in Judah castles, and cities of store.
[KJV | EN | OT | 2 Chronicles | Chapter 17 | Verse 13] And he had much business in the cities of Judah: and the men of war, mighty men of valour, were in Jerusalem.
[KJV | EN | OT | 2 Chronicles | Chapter 17 | Verse 14] And these are the numbers of them according to the house of their fathers: Of Judah, the captains of thousands; Adnah the chief, and with him mighty men of valour three hundred thousand.
[KJV | EN | OT | 2 Chronicles | Chapter 17 | Verse 15] And next to him was Jehohanan the captain, and with him two hundred and fourscore thousand.
[KJV | EN | OT | 2 Chronicles | Chapter 17 | Verse 16] And next him was Amasiah the son of Zichri, who willingly offered himself unto the Lord; and with him two hundred thousand mighty men of valour.
[KJV | EN | OT | 2 Chronicles | Chapter 17 | Verse 17] And of Benjamin; Eliada a mighty man of valour, and with him armed men with bow and shield two hundred thousand.
[KJV | EN | OT | 2 Chronicles | Chapter 17 | Verse 18] And next him was Jehozabad, and with him an hundred and fourscore thousand ready prepared for the war.
[KJV | EN | OT | 2 Chronicles | Chapter 17 | Verse 19] These waited on the king, besides those whom the king put in the fenced cities throughout all Judah.
