[LXX | EL | OT | Sirach | Chapter 30 | Verse 1] Ὁ ἀγαπῶν τὸν υἱὸν αὐτοῦ, ἐνδελεχήσει μάστιγας αὐτῷ, ἵνα εὐφρανθῇ ἐπʼ ἐσχάτῳ αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 30 | Verse 2] Ὁ παιδεύων τὸν υἱὸν αὐτοῦ ὀνήσεται ἐπʼ αὐτῷ, καὶ ἀναμέσον γνωρίμων ἐπʼ αὐτῷ καυχήσεται.
[LXX | EL | OT | Sirach | Chapter 30 | Verse 3] Ὁ διδάσκων τὸν υἱὸν αὐτοῦ παραζηλώσει τὸν ἐχθρὸν, καὶ ἔναντι φίλων ἐπʼ αὐτῷ ἀγαλλιάσεται.
[LXX | EL | OT | Sirach | Chapter 30 | Verse 4] Ἐτελεύτησεν αὐτοῦ ὁ πατὴρ, καὶ ὡς οὐκ ἀπέθανεν, ὅμοιον γὰρ αὐτῷ κατέλιπε μετʼ αὐτόν.
[LXX | EL | OT | Sirach | Chapter 30 | Verse 5] Ἐν τῇ ζωῇ αὐτοῦ εἶδε καὶ εὐφράνθη, καὶ ἐν τῇ τελευτῇ αὐτοῦ οὐκ ἐλυπήθη.
[LXX | EL | OT | Sirach | Chapter 30 | Verse 6] Ἐναντίον ἐχθρῶν κατέλιπεν ἔκδικον, καὶ τοῖς φίλοις ἀνταποδιδόντα χάριν.
[LXX | EL | OT | Sirach | Chapter 30 | Verse 7] Περιψύχων υἱὸν καταδεσμεύσει τραύματα αὐτοῦ, καὶ ἐπὶ πάσῃ βοῇ ταραχθήσεται σπλάγχνα αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 30 | Verse 8] Ἵππος ἀδάμαστος ἀποβαίνει σκληρὸς, καὶ υἱὸς ἀνειμένος ἐκβαίνει προαλής.
[LXX | EL | OT | Sirach | Chapter 30 | Verse 9] Τιθήνησον τέκνον καὶ ἐκθαμβήσει σε, σύμπαιζον αὐτῷ καὶ λυπήσει σε.
[LXX | EL | OT | Sirach | Chapter 30 | Verse 10] Μὴ συγγελάσῃς αὐτῷ ἵνα μὴ συνοδυνηθῇς, καὶ ἐπʼ ἐσχάτῳ γομφιάσεις τοὺς ὀδόντας σου.
[LXX | EL | OT | Sirach | Chapter 30 | Verse 11] Μὴ δῷς αὐτῷ ἐξουσίαν ἐν νεότητι.
[LXX | EL | OT | Sirach | Chapter 30 | Verse 12] Θλάσον τὰς πλευρὰς αὐτοῦ, ὡς ἔστι νήπιος, μήποτε σκληρυνθεὶς ἀπειθήσῃ σοι.
